Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2023-12-31,17381000000,10267000000,3288000000,4778000000,1748000000,135241000000,112628000000,4463000000,2836000000,-1615000000,1518000000
2023-09-30,14752000000,8023000000,1704000000,2847000000,1685000000,129321000000,106165000000,3056000000,-1953000000,-3132000000,1515000000
2023-06-30,15475000000,8501000000,1583000000,2982000000,1687000000,132213000000,109942000000,2638000000,7000000,-2730000000,1510000000
2023-03-31,14252000000,7509000000,927000000,1965000000,1655000000,133637000000,111964000000,3774000000,-7960000000,5708000000,1497000000
2022-12-31,16690000000,9632000000,2710000000,4034000000,1604000000,127243000000,105222000000,3965000000,-1319000000,-2852000000,1494000000
2022-09-30,14107000000,7430000000,-3196000000,-3611000000,1611000000,125850000000,105703000000,1901000000,-1697000000,713000000,1491000000
2022-06-30,15535000000,8290000000,1392000000,2572000000,1673000000,127503000000,108026000000,1321000000,172000000,-4196000000,1488000000
2022-03-31,14197000000,7335000000,733000000,1630000000,1679000000,133275000000,114162000000,3248000000,-1358000000,1377000000,1475000000
2021-12-31,16694000000,9501000000,2333000000,3674000000,1625000000,132001000000,113005000000,2544000000,-675000000,-2692000000,1474000000
2021-09-30,13251000000,7106000000,1130000000,1843000000,1606000000,144214000000,121858000000,2713000000,-629000000,-1748000000,1471000000
2021-06-30,14218000000,7852000000,1325000000,2337000000,1641000000,146814000000,124747000000,2625000000,-2671000000,-3131000000,1467000000
2021-03-31,13187000000,7027000000,955000000,1695000000,1616000000,148629000000,127116000000,4914000000,-2000000000,-5783000000,1457000000
2020-12-31,1926000000,5813000000,1356000000,1811000000,1540000000,155971000000,135244000000,5860000000,-558000000,-6293000000,1454000000
2020-09-30,17560000000,8430000000,1698000000,2762000000,1515000000,154128000000,132794000000,4285000000,-332000000,-1689000000,1453000000
2020-06-30,18123000000,8700000000,1361000000,2516000000,1582000000,154200000000,133512000000,3576000000,-1236000000,-1624000000,1450000000
2020-03-31,17571000000,7922000000,1175000000,897000000,1625000000,153403000000,133275000000,4476000000,-902000000,-115000000,1440000000
2019-12-31,2344000000,6145000000,3670000000,4306000000,1517000000,152186000000,131202000000,3451000000,128000000,-5675000000,1438000000
2019-09-30,18028000000,8336000000,1672000000,2564000000,1553000000,149620000000,131524000000,3619000000,-30373000000,-8177000000,1436000000
2019-06-30,19161000000,9010000000,2498000000,3422000000,1407000000,154652000000,136876000000,2941000000,4162000000,21031000000,1436000000
2019-03-31,18182000000,8043000000,1591000000,2393000000,1433000000,130926000000,114320000000,4759000000,-853000000,1863000000,1397000000
2018-12-31,21761000000,10687000000,1951000000,4947000000,1358000000,123382000000,106452000000,4119000000,455000000,-4605000000,1416000000
2018-09-30,18756000000,8803000000,2694000000,3537000000,1252000000,121990000000,102071000000,4232000000,-2969000000,-436000000,1431000000
2018-06-30,20003000000,9199000000,2404000000,3292000000,1364000000,121622000000,102974000000,2294000000,-635000000,-2519000000,1437000000
2018-03-31,19072000000,8247000000,1679000000,1644000000,1405000000,125285000000,106995000000,4602000000,-1764000000,-2909000000,1382000000
2017-12-31,22542000000,11049000000,-1054000000,4991000000,1378000000,125356000000,107631000000,5733000000,-3810000000,-919000000,1387000000
2017-09-30,19153000000,8981000000,2726000000,3616000000,1291000000,121636000000,101879000000,3570000000,-1906000000,-2756000000,1395000000
2017-06-30,19289000000,8968000000,2331000000,2977000000,1436000000,120495000000,101951000000,3466000000,-1668000000,-609000000,1403000000
2017-03-31,18155000000,7944000000,1750000000,1946000000,1484000000,117495000000,99047000000,3955000000,303000000,-2134000000,1321000000
2016-12-31,21770000000,11115000000,4501000000,5534000000,1406000000,117470000000,99078000000,3979000000,-3639000000,-1298000000,1329000000
