Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2023-12-31,30853000,24479000,5960000,1695000,22932000,379852000,51911000,-18971000,-112702000,156610000,None
2023-09-30,10043000,4600000,-11722000,-11576000,19150000,240547000,78916000,-15798000,-535000,1201000,None
2023-06-30,8565000,3558000,-13156000,-12986000,19241000,252836000,83448000,-18091000,29328000,8398000,None
2023-03-31,9315000,3917000,-13266000,-13196000,19581000,262100000,92557000,-26152000,28350000,-1087000,None
2022-12-31,2664000,-1725000,-18864000,-18229000,18756000,286686000,107266000,-16786000,-107899000,11543000,None
2022-09-30,8262000,3652000,-13273000,-13020000,17589000,291599000,109590000,-16348000,25790000,92816000,None
2022-06-30,5162000,968000,-18098000,-16034000,17587000,215826000,116290000,-16069000,6564000,-1020000,None
2022-03-31,13418000,8643000,-7527000,-7221000,16311000,233938000,118511000,5449000,-37803000,-650000,None
2021-12-31,4348000,-196000,-15167000,-15287000,15362000,255900000,134997000,-14729000,-4285000,10873000,None
2021-09-30,8313000,4843000,-13494000,-13056000,18309000,233480000,110655000,30134000,-62515000,89680000,None
2021-06-30,7026000,3736000,-11029000,-10518000,14634000,159818000,115987000,-14682000,20866000,9000,None
2021-03-31,3050000,-206000,-10643000,-10261000,10437000,129977000,76683000,-15971000,-6546000,202000,None
2020-12-31,5221000,2172000,-6342000,-6127000,9055000,144090000,81932000,-9349000,-96849000,-11000,None
2020-09-30,1710000,-1018000,-6137000,-5783000,6156000,154033000,86565000,-5392000,1843000,56390000,None
2020-06-30,462000,-2882000,-9928000,-9564000,7096000,102695000,86467000,54519000,9057000,2000,None
2020-03-31,971000,-807000,-5533000,-5278000,4878000,49849000,24990000,-9694000,13130000,5000000,None
2019-12-31,727000,-1375000,-6140000,-5999000,5799000,54093000,24619000,-5671000,4388000,0,None
2019-09-30,223000,-2244000,-11475000,-11409000,9532000,64739000,29908000,-10575000,10863000,1646000,None
2019-06-30,506000,-2047000,-11856000,-11417000,10166000,70087000,24666000,-7877000,-17587000,-509000,None
2019-03-31,None,-2415000,-12381000,-12311000,10350000,67105000,10522000,-11223000,19099000,23118000,None
2018-12-31,705000,-2833000,-11135000,-11011000,8931000,54873000,10282000,-9398000,9136000,-500000,None
2018-09-30,0,-1857000,-12139000,-11948000,10529000,64508000,9524000,-7372000,15774000,-498000,None
2018-06-30,307000,-1576000,-7907000,-6784000,5718000,73124000,6577000,-7215000,3338000,0,None
2018-03-31,237000,-1871000,-5306000,-5200000,3792000,80699000,6818000,-4431000,3870000,7000,None
2017-12-31,128000,-990000,-4318000,-4432000,3710000,85222000,6305000,-5837000,1855000,0,None
2017-09-30,128000,-1879000,2122000,-4338000,2750000,90786000,7814000,-4686000,-31437000,17001000,None
2017-06-30,737000,-2592000,-3598000,-2035000,2308000,49644000,3578000,-3885000,-113000,21666000,None
2017-03-31,737000,-2807000,-1989000,-2053000,1858000,53009000,3789000,-2164000,-108000,4021000,None
2016-12-31,0,-2168000,-7713000,-7824000,5656000,12595000,2517000,-1767000,-323000,-47000,None
2016-09-30,737000,-1879000,-374000,-7510000,819000,67342000,5238000,11528000,-4350000,10930000,None
2016-06-30,0,-2172000,-8479000,-8560000,6424000,74565000,5873000,1380000,5841000,92000,None
2016-03-31,0,-2367000,-7838000,-7934000,5567000,80937000,4578000,-4962000,-1950000,62000,None
2015-12-31,None,-2337000,-6563000,-6630000,4293000,87909000,4419000,31913000,35216000,-78162000,None
2015-09-30,None,-1822000,-6089000,-6101000,4279000,93842000,4465000,-6089000,-35136000,-2104000,None
2015-06-30,None,-1387000,-5852000,-5837493,4465000,101247000,6123000,-5852000,-87000,80876000,None
