Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2023-12-31,119575000000,54855000000,33916000000,43221000000,7696000000,353514000000,279414000000,39895000000,1927000000,-30585000000,3825000000
2023-09-30,88496000000,40427000000,22956000000,29622000000,7307000000,352583000000,290437000000,21598000000,2394000000,-23153000000,3758000000
2023-06-30,80799000000,36413000000,19881000000,26050000000,7442000000,335038000000,274764000000,26380000000,437000000,-24048000000,3849000000
2023-03-31,94836000000,41976000000,24160000000,31216000000,7457000000,332160000000,270002000000,28560000000,2319000000,-25724000000,3650000000
2022-12-31,116151000000,50332000000,29998000000,38932000000,7709000000,346747000000,290020000000,34005000000,-1445000000,-35563000000,3768000000
2022-09-30,89319000000,38095000000,20721000000,27759000000,6761000000,352755000000,302083000000,24127000000,-1217000000,-26794000000,3703000000
2022-06-30,82240000000,35885000000,19442000000,25881000000,6797000000,336309000000,278202000000,22892000000,4234000000,-27445000000,3811000000
2022-03-31,96587000000,42559000000,25010000000,32716000000,6387000000,350662000000,283263000000,28166000000,-9265000000,-28351000000,3595000000
2021-12-31,123251000000,54243000000,34630000000,44185000000,6306000000,381191000000,309259000000,46966000000,-16106000000,-28159000000,3732000000
2021-09-30,82688000000,35174000000,20551000000,26775000000,5772000000,351002000000,287912000000,20200000000,835000000,-20382000000,3640000000
2021-06-30,80769000000,35255000000,21744000000,26958000000,5717000000,329840000000,265560000000,21094000000,3572000000,-29396000000,3767000000
2021-03-31,88914000000,38079000000,23630000000,30300000000,5262000000,337158000000,267980000000,23981000000,-10368000000,-11326000000,3447000000
2020-12-31,110801000000,44328000000,28755000000,36200000000,5163000000,354054000000,287830000000,38763000000,-8584000000,-32249000000,3613000000
2020-09-30,64698000000,24689000000,12673000000,17477000000,4978000000,323888000000,258549000000,20576000000,5531000000,-21357000000,3511000000
2020-06-30,58988000000,22680000000,11253000000,15843000000,4758000000,317344000000,245062000000,16271000000,-5165000000,-19116000000,3656000000
2020-03-31,57556000000,22370000000,11249000000,15639000000,4565000000,320400000000,241975000000,13311000000,9013000000,-20940000000,3375000000
2019-12-31,91034000000,35217000000,22236000000,28385000000,4451000000,340618000000,251087000000,30516000000,-13668000000,-25407000000,3539000000
2019-09-30,64040000000,24313000000,13686000000,18804000000,4110000000,338516000000,248028000000,19910000000,-798000000,-21039000000,3479000000
2019-06-30,52943000000,20227000000,10044000000,14477000000,4257000000,322239000000,225783000000,11636000000,27502000000,-26804000000,3629000000
2019-03-31,57005000000,21821000000,11561000000,16455000000,3948000000,341998000000,236138000000,11155000000,13348000000,-29457000000,3443000000
2018-12-31,83420000000,32031000000,19965000000,26741000000,3902000000,373719000000,255827000000,26690000000,5844000000,-13676000000,3568000000
2018-09-30,62900000000,24084000000,14125000000,18872000000,3750000000,365725000000,258578000000,19523000000,-3001000000,-22580000000,3530000000
2018-06-30,53265000000,20421000000,11519000000,15277000000,3701000000,349197000000,234248000000,14488000000,3947000000,-31523000000,3653000000
2018-03-31,61137000000,23422000000,13822000000,18633000000,3378000000,367502000000,240624000000,15130000000,28710000000,-26272000000,3190000000
2017-12-31,88293000000,33912000000,20065000000,29019000000,3407000000,406794000000,266595000000,28293000000,-13590000000,-7501000000,3339000000
2017-09-30,52579000000,19931000000,10714000000,15604000000,2997000000,375319000000,241272000000,15749000000,-9942000000,-4089000000,3270000000
2017-06-30,45408000000,17488000000,8717000000,13122000000,2937000000,345173000000,212748000000,8672000000,-3180000000,-2078000000,3365000000
2017-03-31,52896000000,20591000000,11029000000,16429000000,2776000000,334532000000,200450000000,12570000000,-14202000000,418000000,2988000000
2016-12-31,78351000000,30176000000,17891000000,26346000000,2871000000,331141000000,198751000000,27234000000,-19122000000,-12225000000,3130000000
2016-09-30,47858000000,17813000000,9014000000,14309000000,2570000000,321686000000,193437000000,16533000000,-7397000000,-6889000000,3071000000
2016-06-30,41949000000,16106000000,7796000000,12631000000,2560000000,305602000000,179061000000,10634000000,-4470000000,-9441000000,3117000000
2016-03-31,50236000000,19921000000,10516000000,16464000000,2511000000,305277000000,174820000000,-9490000000,-13660000000,6884000000,2879000000
2015-12-31,75596000000,30423000000,18361000000,27125000000,2404000000,293284000000,165017000000,28548000000,-20450000000,-1681000000,2898000000
2015-09-30,51501000000,20548000000,11124000000,17742000000,2220000000,290345000000,170990000000,-43358000000,-1375000000,-6299000000,2950000000
2015-06-30,49404000000,19681000000,10677000000,17167000000,2034000000,273151000000,147474000000,10677000000,-11403000000,-2997000000,2997000000
2015-03-31,57847000000,23656000000,13569000000,20757000000,1918000000,261194000000,132188000000,13569000000,-22331000000,-2734000000,2734000000
2014-12-31,74468000000,29741000000,18024000000,26821000000,1895000000,261894000000,138566000000,62672000000,-21165000000,-6923000000,2750000000
2014-09-30,42123000000,16009000000,8467000000,13134000000,1686000000,231839000000,120292000000,16009000000,2997000000,-2807000000,2807000000
2014-06-30,37332000000,14735000000,7748000000,12228000000,1603000000,222520000000,101580000000,7748000000,-22214000000,-2830000000,2830000000
2014-03-31,45561000000,17947000000,10223000000,15480000000,1422000000,205989000000,85810000000,10919000000,11741000000,-2655000000,2655000000
2013-12-31,57510000000,21846000000,13072000000,19607000000,1330000000,225184000000,95500000000,22670000000,-15103000000,-7749000000,2739000000
2013-09-30,37472000000,13871000000,7512000000,11813000000,1168000000,207000000000,83451000000,9908000000,611000000,-7508000000,2763000000
2013-06-30,35270000000,13024000000,6900000000,10895000000,1178000000,199856000000,76502000000,7828000000,-6507000000,-2126000000,2789000000
2013-03-31,43603000000,16349000000,9547000000,14250000000,1119000000,194743000000,59253000000,12504000000,-14357000000,-2248000000,2490000000
2012-12-31,54512000000,21060000000,13078000000,18798000000,1010000000,196088000000,68742000000,23426000000,-13521000000,-4497000000,2486000000
2012-09-30,35966000000,14401000000,8223000000,11925000000,906000000,176064000000,57854000000,9136000000,-4313000000,-2022000000,2500000000
2012-06-30,35023000000,14994000000,8824000000,12408000000,876000000,162896000000,51150000000,10189000000,-12310000000,-55000000,0
2012-03-31,39186000000,18564000000,11622000000,16124000000,841000000,150934000000,48436000000,13977000000,-14476000000,310000000,0
2011-12-31,46333000000,20703000000,13064000000,18061000000,758000000,138681000000,48627000000,17554000000,-17128000000,69000000,0
2011-09-30,28270000000,11380000000,6623000000,9253000000,645000000,116371000000,39756000000,10429000000,-13136000000,431000000,None
2011-06-30,28571000000,11922000000,7308000000,9860000000,628000000,106758000000,37415000000,11108000000,-15032000000,37000000,None
2011-03-31,24708000000,10218000000,5987000000,8308000000,581000000,94904000000,33427000000,6219000000,-1522000000,547000000,None
2010-12-31,26741000000,10298000000,6004000000,8183000000,575000000,86742000000,32076000000,9773000000,-10729000000,429000000,None
2010-09-30,20343000000,7512000000,4308000000,5776000000,494000000,75183000000,27392000000,5683000000,-4383000000,256000000,None
2010-06-30,15700000000,6136000000,3253000000,4507000000,464000000,64725000000,21614000000,4801000000,-5430000000,316000000,None
2010-03-31,13499000000,5625000000,3074000000,3979000000,426000000,57057000000,17709000000,2330000000,-83000000,162000000,None
2009-12-31,15683000000,6411000000,3378000000,4934000000,398000000,53926000000,18158000000,5781000000,-3958000000,523000000,None
2009-09-30,12207000000,5105000000,2532000000,2390000000,358000000,47501000000,15861000000,3110000000,-3771000000,319000000,None
