Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2023-12-31,39605000000,31910000000,14017000000,17070000000,10517000000,229623000000,76455000000,19404000000,-6472000000,-8401000000,None
2023-09-30,34009000000,27799000000,11583000000,14269000000,9241000000,216274000000,73401000000,20402000000,-6077000000,-5875000000,None
2023-06-30,31884000000,25939000000,7788000000,9533000000,9344000000,206688000000,72655000000,17309000000,-5203000000,5292000000,None
2023-03-31,28591000000,22483000000,5709000000,7512000000,9381000000,184491000000,59696000000,13998000000,-6743000000,-10516000000,None
2022-12-31,31920000000,23584000000,4653000000,6455000000,9771000000,185727000000,60014000000,14511000000,-7531000000,-7060000000,None
2022-09-30,27710000000,21994000000,4395000000,5717000000,9170000000,178894000000,54800000000,9692000000,-9701000000,2147000000,None
2022-06-30,28818000000,23626000000,6687000000,8338000000,8690000000,169779000000,44012000000,12196000000,-6959000000,-6563000000,None
2022-03-31,27904000000,21899000000,7465000000,9050000000,7707000000,164218000000,40990000000,14076000000,-4779000000,-10660000000,None
2021-12-31,33527000000,27179000000,10285000000,12842000000,7046000000,165987000000,41108000000,18104000000,5829000000,-21742000000,None
2021-09-30,29006000000,23235000000,9194000000,10781000000,6316000000,169585000000,36225000000,14090000000,-330000000,-15252000000,None
2021-06-30,29073000000,23674000000,10394000000,12722000000,6096000000,170609000000,32382000000,13247000000,-8195000000,-8549000000,None
2021-03-31,26167000000,21036000000,9497000000,11706000000,5197000000,163523000000,29866000000,12242000000,-4874000000,-5185000000,None
2020-12-31,27940000000,22730000000,11219000000,13253000000,5207000000,159316000000,31026000000,14040000000,-5173000000,-3207000000,None
2020-09-30,21466000000,17272000000,7846000000,8325000000,4763000000,146437000000,28706000000,9829000000,-16599000000,-2911000000,None
2020-06-30,18683000000,14854000000,5178000000,6313000000,4462000000,139691000000,29244000000,3877000000,-4178000000,-2152000000,None
2020-03-31,17734000000,14275000000,4902000000,6035000000,4015000000,138371000000,33067000000,11001000000,-4109000000,-2022000000,None
2019-12-31,20966000000,17475000000,7349000000,9340000000,3878000000,133376000000,32322000000,9083000000,-4036000000,-2026000000,None
2019-09-30,17648000000,14493000000,6091000000,7529000000,3548000000,124418000000,30419000000,9307000000,-5050000000,-2019000000,None
2019-06-30,16883000000,13576000000,2616000000,5038000000,3315000000,117006000000,28244000000,8616000000,-4010000000,-1831000000,None
