Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2024-01-28,22103000000,16791000000,12285000000,14312000000,2465000000,65728000000,22750000000,11499000000,-6109000000,-3629000000,99000000
2023-10-29,18120000000,13400000000,9243000000,10730000000,2294000000,54148000000,20883000000,7332000000,-3170000000,-4525000000,99000000
2023-07-30,13507000000,9462000000,6188000000,7192000000,2040000000,49555000000,22054000000,6348000000,-446000000,-5099000000,99000000
2023-04-30,7192000000,4648000000,2043000000,2456000000,1875000000,44460000000,19940000000,2911000000,-841000000,-380000000,99000000
2023-01-29,6051000000,3833000000,1414000000,1908000000,1952000000,41182000000,19081000000,2248000000,-3000000,-1656000000,98000000
2022-10-30,5931000000,3177000000,680000000,859000000,1945000000,40488000000,19139000000,392000000,3148000000,-3753000000,100000000
2022-07-31,6704000000,2915000000,656000000,722000000,1824000000,43476000000,19625000000,1270000000,1618000000,-3762000000,100000000
2022-05-01,8288000000,5431000000,1618000000,2028000000,1618000000,45212000000,18892000000,1731000000,2612000000,-2446000000,100000000
2022-01-30,7643000000,4999000000,3003000000,3071000000,1466000000,44187000000,17575000000,3033000000,-1586000000,-745000000,101000000
2021-10-31,7103000000,4631000000,2464000000,2843000000,1403000000,40632000000,16834000000,1519000000,-4439000000,-1420000000,100000000
2021-08-01,6507000000,4215000000,2374000000,2740000000,1245000000,38650000000,17503000000,2682000000,-2533000000,4501000000,100000000
2021-05-02,5661000000,3629000000,1912000000,2378000000,1153000000,30796000000,12022000000,1874000000,-1272000000,-471000000,99000000
2021-01-31,5003000000,3156000000,1457000000,1811000000,1146000000,28791000000,11898000000,2067000000,-3129000000,-342000000,99000000
2020-10-25,4726000000,2960000000,1336000000,1700000000,1047000000,26881000000,11547000000,1279000000,-2001000000,-301000000,99000000
2020-07-26,3866000000,2275000000,622000000,1067000000,997000000,25180000000,11266000000,1567000000,-13490000000,-297000000,99000000
2020-04-26,3080000000,2004000000,917000000,1113000000,735000000,23254000000,10155000000,909000000,-1055000000,4744000000,98000000
2020-01-26,3105000000,2015000000,950000000,1134000000,738000000,17315000000,5111000000,1465000000,-151000000,-183000000,98000000
2019-10-27,3014000000,1916000000,899000000,1064000000,712000000,15810000000,4596000000,1640000000,1256000000,-236000000,98000000
2019-07-28,2579000000,1541000000,552000000,711000000,704000000,14775000000,4439000000,936000000,3545000000,-148000000,97000000
2019-04-28,2220000000,1296000000,394000000,493000000,674000000,14021000000,4317000000,720000000,1495000000,-225000000,97000000
2019-01-27,2205000000,1207000000,567000000,417000000,647000000,13292000000,3950000000,898000000,40000000,-877000000,98000000
2018-10-28,3181000000,1921000000,1230000000,1164000000,605000000,13657000000,4182000000,487000000,219000000,-703000000,91000000
2018-07-29,3123000000,1975000000,1101000000,1252000000,581000000,12882000000,4087000000,913000000,-805000000,-155000000,91000000
2018-04-29,3207000000,2068000000,1244000000,1383000000,542000000,11460000000,3743000000,1445000000,-3551000000,-1131000000,91000000
2018-01-28,2911000000,1801000000,1118000000,1147000000,507000000,11241000000,3770000000,1358000000,-24000000,-134000000,91000000
2017-10-29,2636000000,1569000000,838000000,961000000,462000000,9830000000,3477000000,1157000000,286000000,-629000000,84000000
2017-07-30,2230000000,1302000000,583000000,748000000,416000000,9402000000,3427000000,705000000,262000000,-968000000,84000000
2017-04-30,1937000000,1150000000,507000000,599000000,411000000,9410000000,3271000000,282000000,754000000,-813000000,82000000
2017-01-29,2173000000,1303000000,655000000,792000000,394000000,9841000000,4048000000,721000000,-373000000,-522000000,76000000
2016-10-30,2004000000,1183000000,542000000,685000000,373000000,9612000000,4243000000,432000000,-327000000,1409000000,61000000
2016-07-31,1428000000,826000000,261000000,376000000,350000000,7461000000,2909000000,201000000,-269000000,-52000000,62000000
2016-05-01,1305000000,751000000,208000000,298000000,346000000,7108000000,2833000000,319000000,176000000,-544000000,62000000
2016-01-31,1401000000,791000000,207000000,311000000,344000000,7370000000,2814000000,511000000,-213000000,-173000000,61000000
2015-10-25,1305000000,733000000,247000000,306000000,329000000,7174000000,2709000000,255000000,-199000000,-20000000,53000000
2015-07-26,1153000000,634000000,26000000,133000000,320000000,6979000000,2794000000,163000000,247000000,-439000000,52000000
2015-04-26,1151000000,653000000,134000000,238000000,339000000,7291000000,2735000000,246000000,-235000000,-44000000,46000000
2015-01-25,1251000000,699000000,193000000,292000000,349000000,7201000000,2783000000,443000000,-318000000,-23000000,46000000
2014-10-26,1225000000,677000000,173000000,276000000,340000000,6885869000,2681276000,216000000,-15000000,-321000000,46100000
2014-07-27,1103000000,619000000,128000000,223000000,337000000,6933719000,2628933000,96000000,-64000000,-26000000,47400000
2014-04-27,1103000000,604000000,137000000,229000000,334000000,6864663000,2697678000,151000000,-330000000,-464000000,47000000
2014-01-26,1144218000,619242000,146917000,230806000,336807000,7250894000,2795894000,400566000,-1099659000,1288795000,47993000
2013-10-27,1053967000,584415000,118734000,205029000,340294000,5711373000,1390726000,162315000,-187373000,-4179000,43397000
2013-07-28,977238000,545538000,96448000,174496000,331738000,5569592000,1397419000,96469000,711818000,-778389000,43343000
2013-04-28,954739000,518568000,77891000,148659000,327161000,6279527000,1454591000,175650000,-230786000,-116227000,46267000
2013-01-27,1106902000,585602000,173973000,241974000,298007000,6412245000,1585245000,451009000,-141436000,-102175000,46866000
2012-10-28,1204110000,636658000,209080000,309365000,284180000,6075144000,1352298000,181485000,-182799000,27084000,0
2012-07-29,1044270000,540719000,119046000,195818000,281193000,5891881000,1438216000,200886000,-84703000,14300000,0
2012-04-29,924877000,463364000,60437000,127317000,283902000,5708167000,1420739000,-9208000,-335054000,45521000,0
2012-01-29,953194000,490013000,116025000,174212000,266862000,5552928000,1407204000,410518000,-328495000,19037000,None
2011-10-30,1066180000,556717000,178273000,249477000,256498000,5089043000,1115593000,244417000,-289145000,78930000,None
2011-07-31,1016517000,525284000,151573000,226190000,247721000,4864424000,1174955000,82021000,-273218000,40178000,None
2011-05-01,962039000,484503000,135219000,202626000,231524000,4736744000,1288936000,172200000,-252506000,98578000,None
2011-01-30,886376000,426359000,171651000,226171000,215563000,4495246000,1313784000,434673000,-309251000,88765000,None
2010-10-31,843912000,392062000,84862000,150569000,204527000,3915579000,1017699000,212177000,-163984000,25978000,None
2010-08-01,811208000,134292000,-140961000,-128634000,210635000,3731268000,970754000,34344000,-119101000,14498000,None
2010-05-02,1001813000,456377000,137594000,194540000,218105000,3803030000,942385000,-5397000,-57342000,62780000,None
2010-01-31,982488000,438721000,131076000,182196000,216251000,3585918000,920778000,69245000,-283774000,47260000,77972000
2009-10-25,903206000,391783000,107577000,156615000,197948000,3463574000,1039939000,141317000,-95497000,44885000,None
