Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2023-12-31,12422000,-2663000,-16161000,None,1513000,84564000,11573000,-21575000,31716000,14000,None
2023-09-30,None,-6842000,-32954000,None,17519000,140063000,51852000,-24941000,-22763000,18000,None
2023-06-30,354000,-7834000,-35044000,None,22982000,169337000,49962000,-23660000,61001000,2000,None
2023-03-31,None,-8466000,-28844000,None,19988000,197881000,45982000,-26054000,31372000,150000,None
2022-12-31,6753000,-1394000,-34295000,None,27149000,228470000,50492000,-27199000,17991000,32000,None
2022-09-30,802000,-9187000,-33726000,None,25854000,262651000,53590000,-24932000,-108218000,124000,None
2022-06-30,802000,-8593000,-29089000,None,21075000,284609000,44321000,-30846000,-41369000,0,None
2022-03-31,132647000,118500000,92105000,None,24273000,310958000,44704000,-30684000,168312000,440000,None
2021-12-31,1740000,-9041000,-33583000,None,23646000,211721000,42070000,-30430000,43661000,1000,None
2021-09-30,1677000,-6674000,-30608000,None,23987000,230816000,32245000,-25387000,4524000,379000,None
2021-06-30,2187000,-6855000,-30500000,None,23697000,258918000,34341000,-24111000,-13738000,49746000,None
2021-03-31,30499000,21838000,-1073000,None,21755000,234697000,33868000,-29823000,-85235000,2043000,None
2020-12-31,4124000,-3463000,-29791000,None,23195000,263737000,67742000,-11612000,-955000,51995000,None
2020-09-30,567000,-7856000,-28232000,None,20417000,228362000,58140000,-28887000,38844000,410000,None
2020-06-30,567000,-8226000,-35340000,None,27471000,258238000,63534000,-27987000,52010000,241000,None
2020-03-31,1759000,-6011000,-35331000,None,29310000,288788000,62247000,-25846000,114997000,447000,None
2019-12-31,550000,-5230000,-24167000,None,20342000,310567000,52060000,-26333000,-20027000,22575000,None
2019-09-30,441000,-5597000,-29627000,None,25691000,316759000,58937000,-25484000,-13137000,614000,None
2019-06-30,392000,-5146000,-26270000,None,22827000,341156000,56414000,-21670000,-38302000,134699000,None
2019-03-31,270000,-4587000,-23852000,None,20536000,233026000,58762000,-17871000,19667000,325000,None
2018-12-31,980002,-4106669,-18786000,None,16281000,259094000,62739000,-8079000,10202000,41000,None
2018-09-30,954149,-2889194,-14148000,None,13394000,268396823,55636648,-13692000,-45255000,25000,None
2018-06-30,926477,-3600858,-12426000,None,10290000,270314772,43516341,-9747000,-93374000,151886000,None
2018-03-31,823372,-3004650,-10217000,None,7997000,129078151,40840872,-11044000,6640000,-958000,None
