Title,Published At,URL,Content,Rating,,,,,,,,,,,,,,,,,,,,,,,,,,
"IBM Study: Widespread Discontent in Retail Experiences, Consumers Signal Interest in AI-Driven Shopping Amid Economic Strain",2024-01-08T14:01:16+00:00,https://www.marketscreener.com/quote/stock/IBM-4828/news/IBM-Study-Widespread-Discontent-in-Retail-Experiences-Consumers-Signal-Interest-in-AI-Driven-Shopp-45692513/?utm_medium=RSS&utm_content=20240108,Forbidden. XID: 144836050 Varnish cache server,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Sizzling Stocks Top Friday’s Wall Street Upgrade and Downgrades,2024-01-05T14:05:50+00:00,https://247wallst.com/investing/2024/01/05/4-sizzling-stocks-top-fridays-wall-street-upgrade-and-downgrades/,,No rating found,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM: Jefferies initiates 'hold' coverage,2024-01-05T13:00:02+00:00,https://www.marketscreener.com/quote/stock/IBM-4828/news/IBM-Jefferies-initiates-hold-coverage-45681155/?utm_medium=RSS&utm_content=20240105,Forbidden. XID: 65361892 Varnish cache server,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SessionGuardian Mobile delivers identity assurance and data protection for iOS mobile devices,2024-01-05T12:00:19+00:00,https://www.helpnetsecurity.com/2024/01/05/sessionguardian-mobile-software/,"In a bold leap towards fortifying against cyber threats, SessionGuardian unveiled its SessionGuardian Mobile software.  This solution delivers relentless identity assurance and data protection for iOS mobile devices. This offering seamlessly complements the existing SessionGuardian VDI and SessionGuardian Web. In an increasingly remote-friendly, bring-your-own-device-friendly employment environment, the need to secure each session has never been greater. According to IBM‘s reports on data breaches, 51% of organizations plan to increase security investments as a result of a breach. The global average cost of a single breach, as per the same report, was a staggering $4.45 million. For most enterprise organizations with dispersed, remote, or on-the-go teams, the cost of deploying SessionGuardian Mobile is a small investment when compared to the costs of a data breach and its multi-year ramifications. By deploying SessionGuardian Mobile, organizations can elevate their defense mechanisms to unprecedented heights. SessionGuardian’s elegant design allows mobile users to effortlessly utilize the strictest security controls. SessionGuardian Mobile’s features include: Identity assurance through: Data protection by: End-user privacy protection: Extended security visibility with: Device posture compliance by: George Marks, CEO of SessionGuardian, expressed his excitement about the launch, stating, “SessionGuardian Mobile shows our unyielding commitment to providing comprehensive identity assurance and data protection solutions. With the growing remote and hybrid workforce, we are dedicated to safeguarding users�?data access on mobile devices seamlessly.�?The release of SessionGuardian Mobile offers numerous benefits, including: This release extends the coverage of SessionGuardian’s offerings to a wider remote and hybrid workforce, making Continuous Identity Assurance and Protection accessible to users worldwide.",0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hybrid arrangements tripled since 2022, trend far from over, says Capterra",2024-01-04T19:17:13+00:00,https://www.itworldcanada.com/article/hybrid-arrangements-tripled-since-2022-trend-far-from-over-says-capterra/555789,"Videos PodcastsBlogsSlideshows Nearly 70 per cent of Canadian hybrid workers go to the office two to three times a week, a new Capterra report that surveyed 1,021 part- and full-time employees working at least some days from the office has found. The increased prevalence of hybrid work comes as companies like IBM, Amazon, Disney, Google, and even remote work poster child Zoom have vehemently pushed return to office (RTO) mandates. Another report from Resume Builder also revealed that 91 per cent of companies will require employees to go to the office on a monthly basis, and 75 per cent will require employees to work from the office weekly. 

Related

HR Predictions 2024: Generative AI, employee experience, remote work and more


 Companies are even taking it a step further, with 95 per cent saying that employees will suffer consequences if they don’t comply. Their employment, bonuses, and salaries will likely be at risk, Resume Builder says. Reportedly, 80 per cent of companies will also track office attendance in 2024. The Capterra report says that the RTO trend after COVID-19 restrictions temporarily closed some workplaces was perhaps influenced by employers who don’t want their investments in physical office space to go to waste. But many organizations requiring employees to come to the office at least sometimes also tout increased productivity, valuable social connections, and higher trust at work, Capterra acknowledged. However, some businesses perceive such rigid RTO policies to clamp down on things like absenteeism can be perceived as disregarding employees�?well being. Several companies have, in fact, seen employees quit en masse following stringent in-office mandates. In Canada, only 23 per cent of surveyed employees in Canada report having company-wide mandatory in-office days. The same number of surveyed employees said their department also enforces mandatory in-office days. But employees should be incentivized back to the office, Capterra says. Nearly a third of employees who go to the office less than five times a week (32 per cent) said perks like free snacks and coffee would motivate them to come in more often. “Free food might seem like an oversimplified tactic for boosting office attendance, but it could be a deciding factor for many workers,�?said Tessa Anaya, analyst at Capterra, in an interview with ITWC. She added, “Factors such as social events, a better office location, or even a more diverse and inclusive work environment were selected by far fewer employee respondents, which speaks to the motivational power of a good cup of coffee.�?The Resume Builder report also noted that a whopping 91 per cent of companies say they will provide incentives to employees for going into the office. These incentives include happy hours (52 per cent), catered meals (46 per cent), and upgraded office space (41 per cent). But fewer employers will offer bigger incentives such as raises (40 per cent) and child care benefits (37 per cent). Other ...",0,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging cybersecurity trends and expectations for 2024,2024-01-03T05:30:27+00:00,https://www.helpnetsecurity.com/2024/01/03/2024-cyber-attacks-video/," In this Help Net Security video, John Dwyer, Head of Research at IBM X-Force, discusses how 2024 is poised to be an incredibly impactful year for cyber attacks, driven by world events and access to advanced technologies like AI.",-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kochi to be developed as AI hub: Minister Rajeeve ,2024-01-03T03:32:09+00:00,https://www.thehindubusinessline.com/info-tech/kochi-to-be-developed-as-ai-hub-minister-rajeeve/article67698421.ece,"Get businessline apps on Connect with us TO ENJOY ADDITIONAL BENEFITS Connect With Us Get BusinessLine apps on By BL Kochi Bureau 
Comments
 
READ LATER
 The Kerala government has initiated steps to make Kochi the hub for artificial intelligence technology in the country. State Industry Minister, P. Rajeeve, and Principal Secretary Suman Billa, have held discussions with IBM India and an in-principle agreement has been reached to start the company’s hub in Kochi.  As part of the initiative, the State government will conduct a Global Artificial Intelligence Summit in Kochi by the middle of this year, the Minister said after discussions with IBM India Senior Vice-President (Products), Dinesh Nirmal. Launch of IBM’s AI hub would result in an influx of top technology professionals to Kochi and could also lead to reverse migration, the minister said. Besides adding to IBM’s employee strength, the proposed AI hub could prompt other industry players to follow suit. This would augment the prospects of Infopark, which is entering its second stage of expansion, he said, adding that the proposed hub would work on the basis of generative AI, beyond just generic AI.  Suman Billa said the summit would be conducted in association with the Industry Department. The IT Parks, Kerala Startup Mission, Digital University and APJ Abdul Kalam Technological University would collaborate in hosting the summit. Kerala State Industrial Development Corporation will make presentations on the preparations to make Kochi the country’s principal AI hub. 
Comments
 BACK TO TOP Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments.  We have migrated to a new commenting platform. If you are already a registered user of TheHindu Businessline and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle. Terms & conditions  |  Institutional Subscriber",3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala to host global AI summit ahead of IBM making Kochi its hub,2024-01-02T13:02:21+00:00,https://www.thehindu.com/news/national/kerala/kerala-to-host-global-ai-summit-ahead-of-ibm-making-kochi-its-hub/article67698199.ece,"To enjoy additional benefits CONNECT WITH US  January 02, 2024 06:32 pm | Updated 06:32 pm IST - KOCHI  
COMMents
  SHARE
 
READ LATER
 Kerala will host an artificial intelligence (AI) global summit in Kochi ahead of IBM making the city its country hub for AI-assisted technology.  Industries Minister P. Rajeeve and Industries Principal Secretary Suman Billa held talks with IBM India here on Tuesday to discuss the possibility of starting IBM’s hub in Kochi. An in-principle agreement has been reached on the issue, according to a communication from the Industries department here. The Global Artificial Intelligence Summit was expected to be held in Kochi in the middle of this year as part of the initiative, Mr. Rajeeve said after discussions with IBM India Senior Vice-President (Products) Dinesh Nirmal. “By becoming the AI hub of IBM, Kochi will see an influx of top technology professionals from across the globe,�?the Minister said. This would also mark reverse migration, he said. IBM making Kochi its AI hub would prompt other players in the industry to follow suit. Adding to the prospects would be Infopark entering its second stage of expansion, strengthening the facilities for IBM’s initiatives, he said. The proposed Kochi hub would work on the basis of generative AI, beyond just generic AI. IBM was already providing AI services to international big players such as Boeing. “We are working towards ensuring the participation of Boeing in the upcoming AI summit,�?the Minister added. The summit would be organised in association with the State’s Department of Industry, Mr. Billa said. The IT Parks, Kerala Startup Mission, Digital University, and APJ Abdul Kalam Technological University would collaborate.  Kerala State Industrial Development Corporation will make presentations on the preparations to make Kochi the country’s principal AI hub. 
COMMents
  SHARE
 BACK TO TOP Terms & conditions  |  Institutional Subscriber Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments.  We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",3,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Briefing Jan. 16 �?Thomson Reuters acquires majority stake of Pagero; Toronto non profit announces new digital literacy program; IBM and SAP team up; and more,2024-01-16T16:17:18+00:00,https://www.itworldcanada.com/article/coffee-briefing-jan-16-thomson-reuters-acquires-majority-stake-of-pagero-toronto-non-profit-announces-new-digital-literacy-program-ibm-and-sap-team-up-and-more/556490,"Videos PodcastsBlogsSlideshows Coffee Briefings are timely deliveries of the latest ITWC headlines, interviews, and podcasts. Today’s Coffee Briefing is delivered by IT World Canada’s editorial team!  Missed the last Coffee Briefing? We’ve got you covered.  Thomson Reuters has announced that it has raised its offer to acquire Sweden’s Pagero, a provider in e-invoicing and indirect tax solutions.  The company initially offered 40 Swedish crowns (SEK) per Pagero share, and raised it yesterday to 50, valuing the company at 8.1 billion SEK. As a result, Thomson Reuters now controls about 54 per cent of the company. “Since the announcement of our initial offer for Pagero on 11 January, following constructive discussions with Bengt Nilsson, Summa Equity and other key shareholders of Pagero, we are pleased to have reached an agreement for them to sell their shares to Thomson Reuters �?making us the majority shareholder in Pagero at 53.81 per cent. This validates Thomson Reuters as the best home for Pagero and supports our shared vision to provide customers with automated, secure, and compliant tax solutions.�?Said Steve Hasker, CEO and President, Thomson Reuters.�?Thomson Reuters said that the acquisition will accelerate the companies�?joint vision for a connected suite of global indirect tax, reporting and e-invoicing capabilities.    A Toronto non profit that seeks to empower adult learners, ABC Life Literacy Canada, has announced its latest digital literacy program, ABC Connect for Learning. The program brings together all of ABC’s free digital literacy programming for anyone just getting started with the internet or who wants to learn about any new technology. For example, adults can learn about computer basics such as how to use a mouse and a keyboard, explore how to search for things on Google, and better understand how to stay safe online. Intermediate-level internet users can access lesson plans on using different websites, apps, and software, such as Facebook, Zoom, Gmail, on a phone, tablet or computer. Some courses are offered online and can be completed at the learner’s own pace. “We know that digital literacy is an important skill set that all Canadians need, especially with 84 per cent of jobs currently requiring computer and technical skills,�?said Alison Howard, executive director of ABC Life Literacy Canada. “We are pleased to offer this programming to help adults equip themselves with the know-how to use digital technologies and navigate safely online.�?ABC Connect for Learning is partly funded by the Government of Canada through the Digital Literacy Exchange Program.    IBM has announced that it is collaborating with SAP to help clients in the consumer packaged goods (CPG) and retail industries enhance their supply chain, finance operations, sales, and services using generative AI. IBM has already integrated its AI and data platform, watsonx, into SAP solutions and is working with CPG clients worldwide to gather detailed requirements ...",2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karnataka Woos Global Giants: Johnson & Johnson, IBM, and Schneider Unveil Major Investments at WEF Davos Meet",2024-01-16T12:16:22+00:00,https://www.deccanchronicle.com/nation/karnataka-woos-global-giants-johnson-johnson-ibm-and-schneider-unveil-major-investments-at-wef-davos-meet-878549,"Vijayapura: In pursuit of drawing investments to the state, Karnataka's high-level delegation, spearheaded by MB Patil, the Minister for Large and Medium Industries, and Infrastructure Development, engaged in a series of talks with top global leaders during the World Economic Forum Meet in Davos, Switzerland on Monday. Having engaged in extensive high-level discussions with Johnson & Johnson, IBM, and Schneider, Minister Patil assured the government's full support and collaboration for their upcoming initiatives in Karnataka. ""During the 2024 World Economic Forum Meet in Davos, we introduced crucial initiatives set to reshape the infrastructure of Karnataka. These strategic revelations underscore our steadfast dedication to promoting sustainable growth, innovation, and global collaboration, paving the way for a transformative period in economic development,"" MB Patil stated in a press statement. According to the statement, Johnson & Johnson (J&J) is poised to establish its Global Service Centre in Karnataka, creating 200 job opportunities. The company also expressed its intention to expand manufacturing operations in India, particularly in the medical technology and life sciences sectors. The company emphasizes the significance of skilled talent availability, identifying Karnataka as an attractive location. IBM announced its interest in exploring the North Bengaluru area, citing the significant availability of talent, with the local population reaching almost 40,000, the majority being in Karnataka. The dialogue also delved into the domain of data analytics, as direct cash transfers and various government schemes, collectively valued at 7 billion dollars, were anticipated to generate substantial data, paving the way for improved policy designs and informed decision-making. Schneider Electric is actively investing in its Atibele facility, envisioning a comprehensive campus with five factories, anticipating a doubling of output through enhanced efficiencies and the integration of cutting-edge technologies.  Under CSR, talks are underway to collaborate with six NGOs in Bengaluru to educate electrician. Building upon their existing partnership, the Government of Karnataka and Schneider Electric plan to extend their collaboration to train trainers.",2,,,,,,,,,,,,,,,,,,,,,,,,,,
