Title,Published At,URL,Content,Rating
Acer Unveils New Nitro 17 Gaming Laptop,2024-01-08T23:36:00+00:00,https://www.channelnews.com.au/acer-unveils-new-nitro-17-gaming-laptop/,"Acer has revealed the new Nitro 17 gaming laptop, complete improved performance, and enhanced features. Powered by the latest Intel Core 14th Gen processors, featuring Intel’s Performance Hybrid Architecture. It also comes with NVIDIA’s GeForce RTX 40 Series GPUs with DLSS 3.5 technology, packed with specialised AI Tensor Cores. Microsoft CoPilot is also built in, with access granted via a dedicated key. It has a 17-inch QHD display with a 165Hz refresh rate and support for the NVIDIA Advanced Optimus feature. It’s further supported by an advanced cooling system, AI-assisted communication features, and NitroSense software. This Windows 11 gaming laptop also ships with one month of Xbox Game Pass Ultimate, with access to a library of hundreds of games. There’s been a significant upgrade, adding up to an Intel Core i7 processor 14700HX and up to a NVIDIA GeForce RTX 4060 Laptop GPU. Built with the NVIDIA Ada Lovelace architecture, the GeForce GPU powers the graphics with AI-enhanced DLSS 3.5 technology, and full ray tracking. GeForce RTX technologies are supported in over 500 popular games and apps, including ‘Cyberpunk 2077’ and ‘Alan Wake 2.’ The Nitro 17 also supports up to 32GB of DDR5 5600 MHz memory and up to 2TB of PCIe NVMe SSD storage.  The QHD display boasts a 16:9 aspect ratio, 165Hz refresh rate, 3ms overdrive response time, an DCI-P3 100% colour gamut. There’s also support for the NVIDIA Advanced Optimus feature, which solidifies frames and allows for dynamic graphics switching without rebooting the device. Using a thermal design with integrated dual fan quad-intake and quad exhaust systems, vector pipes, and liquid metal thermal grease on the CPU, it minimises throttle and helps components operate at full capacity for longer. Acer PurifiedVoice 2.0 with a three-microphone setup uses AI to filter unwanted ambient noise and allows the users’ vpice to stand out through speakers with DTS:X Ultra. The HD webcam uses the Acer PurifiedView’s AI-powered solutions for enhanced experiences with automatic framing, eye-contact, and background blur. Additionally, an integrated NitroSense and mode switch key allows extra control, providing access to customise the 4-zone RGB keyboard lighting, as well as an overview of the performance, temperature, power meters, and more of the laptop. For high-quality connectivity, the laptop also provides a range of ports including, two USB-C with Thunderbolt 4, HDMI 2.1, and a Micro SD card reader. Also, it comes with Killer DoubleShot Pro Ethernet E3100G and Wi-Fi 6E compatibility. The Acer Nitro 17 Australian pricing is still to come.   02 9002 5900   [email protected] Level 1, 275 Alfred Street
North Sydney
NSW 2060
Australia
  ",2
The Acer Predator Helios 18 has the most mesmerizing hinge on a laptop at CES 2024,2024-01-08T23:00:45+00:00,https://www.engadget.com/the-acer-predator-helios-18-has-the-most-mesmerizing-hinge-on-a-laptop-at-ces-2024-230045775.html?src=rss,"Without a new generation of NVIDIA GPUs to accommodate, this year at CES 2024 in Las Vegas, laptop manufacturers have been forced to come up with other ways of getting attention. Some OEMs have opted for complete redesigns while others have introduced smaller (and super light) versions of existing models. But on the 2024 Predator Helios 18, Acer has opted for the flashiest method yet, featuring a captivating new hinge along with updated specs. Compared to last year’s model, the outside of the Helios 18 doesn’t look that much different. It features a familiar matte black chassis and, at 7.17 pounds and 1.14 inches thick, it’s about the same size and weight as well. But then you get to the back where its new hinge is waiting to dazzle you with a seemingly endless series of RGB lights to gawk at. It’s a cool effect that Acer has dubbed the Infinity Mirror lighting bar, and while I’m not sure that alone would cause me to buy one, it’s certainly fun to stare into. All hail the hypno hinge. Aside from that, the other new design change is the introduction of Acer’s MagKey 3.0 on the Helios 18’s WASD buttons, which allows you to swap not only the keycaps but also the mechanical switches beneath for a truly customized gaming experience. The laptop will come with two extra sets of keycaps and switches in the box. I just wish Acer allowed owners to swap out every key and keycap instead of just WASD. Unfortunately, because I only saw a pre-production model, I didn’t have the chance to try it myself. Inside, the Helios 18 has been refreshed with an Intel Core i9-14900X CPU and support for up to 32GB of RAM, 4TB of storage and NVIDIA RTX 4090 graphics. Meanwhile, to keep its operating temps in check, Acer has upgraded to 5th-gen Aeroblade 3D fans and switched to liquid metal thermal grease for improved heat conductivity. And as you’d expect on a system this big and starts at $2,000, the Helios 18 has great connectivity including Wi-Fi 7 and tons of ports (full-size HDMI 2.1, Ethernet, microSD, dual USB-C and more). The Helios 18’s display has also gotten some attention with the move to a 250Hz mini LED panel with a peak brightness of 1,000 nits and a gamut that covers 100 percent of DCI-P3. And while I didn’t get to see it myself, if you don’t want a gaming laptop this big, there will also be a Predator Helios 16 that offers all the same specs (up to an RTX 4090) including a 90 Whr battery, but in a chassis that weighs 5.95 pounds and measures 1.05 inches thick. But it doesn’t stop there because at CES 2024, Acer is announcing more budget-friendly Neo versions of the machines above. Also available with 16- and 18-inch screens, the Predator Helios Neo 18 and Predator Helios Neo 16 come with the same i9-14900X chip, but with a slightly slower 240Hz display and GPU options that cap out at an RTX 4070. Sadly, similar to the Predator Helios 18, the Helios Neo 16 I saw was a pre-production model and had some finishes and speaker grilles that didn’t match the rest of...",2
"Nvidia GeForce Now adds Blizzard games, G-Sync, and day passes",2024-01-08T21:35:19+00:00,https://www.pocket-lint.com/activision-blizzard-games-geforce-now-ces-2024/,无法获取内容,0
Nvidia rallies to record high as chipmaker announces AI-related components,2024-01-08T21:21:37+00:00,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/news/Nvidia-rallies-to-record-high-as-chipmaker-announces-AI-related-components-45695085/?utm_medium=RSS&utm_content=20240108,Forbidden. XID: 378603384 Varnish cache server,3
NVIDIA Corporation (NVDA) J.P. Morgan 42nd Annual Healthcare Conference (Transcript),2024-01-08T21:16:04+00:00,https://seekingalpha.com/article/4661766-nvidia-corporation-nvda-j-p-morgan-42nd-annual-healthcare-conference-transcript?source=feed_all_articles,,No rating found
"Nvidia (NVDA) Shares Skyrocket, What You Need To Know",2024-01-08T20:01:03+00:00,https://www.investing.com/news/stock-market-news/nvidia-nvda-shares-skyrocket-what-you-need-to-know-3269770,"This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. 
Cloudflare Ray ID: 8715007ba91493f3
•

      Your IP:
      Click to reveal
2a02:c7c:ec87:4b00:4905:7e0b:660d:64e6
•

Performance & security by Cloudflare
",0
NVIDIA's RTX 40 Super Cards Have Arrived: Here's How Much They'll Cost You,2024-01-08T19:51:19+00:00,https://www.slashgear.com/1487721/nvidia-rtx-40-series-super-cards-release-price/,"
NVIDIA has lifted the covers from its souped-up range of ""Super"" graphics cards in the RTX 4000 series, and these come with a welcome price surprise. The three new additions to NVIDIA's lineup are the GeForce RTX 4070 Super, RTX 4070 Ti Super, and RTX 4080 Super.





Starting at the top of the summit, the RTX 4080 Super GPU will be up for grabs from January 31 onwards with a sticker price of $999. It's a healthy $200 cut compared to the $1,199 asking price for the GeForce RTX 4080. That's an official price cut we are talking about here, but third-party sellers such as Zotac were hawking the RTX 4080 at close to the RTX 4080 Super's asking price a few months ago.
Hardware improvements for the RTX 4080 Super compared to the RTX 4080 include more shader cores (52 TFLOPs vs 49 TFLOPs), more raytracing cores, and stronger Tensor core (836 TFLOPs vs 780 TFLOPs) output. The boost clock speed is also slightly higher at 2.55GHz, but most importantly, the number of CUDA cores has also been bumped up to 10,240, up from the 9,728 CUDA cores crammed inside the older non-Super variant. NVIDIA claims that its latest offering also features faster memory and says the RTX 4080 Super is 1.4 times as fast as its predecessor, the GeForce RTX 3080 Ti.





 NVIDIA has lifted the covers from its souped-up range of ""Super"" graphics cards in the RTX 4000 series, and these come with a welcome price surprise. The three new additions to NVIDIA's lineup are the GeForce RTX 4070 Super, RTX 4070 Ti Super, and RTX 4080 Super. Starting at the top of the summit, the RTX 4080 Super GPU will be up for grabs from January 31 onwards with a sticker price of $999. It's a healthy $200 cut compared to the $1,199 asking price for the GeForce RTX 4080. That's an official price cut we are talking about here, but third-party sellers such as Zotac were hawking the RTX 4080 at close to the RTX 4080 Super's asking price a few months ago. Hardware improvements for the RTX 4080 Super compared to the RTX 4080 include more shader cores (52 TFLOPs vs 49 TFLOPs), more raytracing cores, and stronger Tensor core (836 TFLOPs vs 780 TFLOPs) output. The boost clock speed is also slightly higher at 2.55GHz, but most importantly, the number of CUDA cores has also been bumped up to 10,240, up from the 9,728 CUDA cores crammed inside the older non-Super variant. NVIDIA claims that its latest offering also features faster memory and says the RTX 4080 Super is 1.4 times as fast as its predecessor, the GeForce RTX 3080 Ti. 
Next in line is the RTX 4070 Ti Super graphics engine. Where the RTX 4080 Super targets 4K ray-traced gaming, this one goes for the 1440p category while offering a taste of 4K visuals. Touted to be 1.6x faster compared to the RTX 3070 Ti, this one also aims to bump up the number of CUDA cores (8,448 vs. 7,680 on the RTX 4070 Ti), delivers a slight bump in the base clock speed, and gets 16GB of memory, eclipsing the 12GB GDDR6 module inside the RTX 4070 Ti.





Another crucial tweak is the ...",3
"Nvidia’s AI-powered NPCs are getting better, but still sound uncanny",2024-01-08T19:39:58+00:00,https://www.polygon.com/24030322/nvidia-ace-ai-npcs-convai-ces-2024,"Filed under: Ubisoft, Mihoyo, and Tencent are using the tech At the Consumer Electronics Show (CES) on Monday, Nvidia showed off the latest advancements in its generative AI-powered NPCs, showcasing automated conversations between a player and computer-generated characters that could change how games are made. Nvidia’s Avatar Cloud Engine (ACE) tech combines speech-to-text recognition and text-to-speech responses with generative AI facial animation and automated character personas to spit out computer-created character interactions. Nvidia’s special address at CES 2024 featured Seth Schneider, senior product manager of ACE, demoing the technologies working in tandem. According to Schneider, the demo interprets a player’s speech, transforming it into text. That text is then fed to a cloud-based large-language model to generate a response from an NPC. The response text is fed into Omniverse Audio2Face, which lip syncs the generated spoken audio, which is then rendered in-game. 
    Related
   The demo is an update to a previous version of the tech shown at 2023’s Computex, which featured a character speaking to a futuristic ramen shop owner, Jin. Nvidia’s new demo expands upon that by having Jin and another NPC, Nova, have AI-generated conversations that can be unique on each playthrough. The CES 2024 demo also shows off new technology from another company called Convai, which lets AI-powered NPCs do more than just converse. Those NPCs can also interact with objects in their environment. In the newer demo, Jin is shown pulling out a bottle of booze when prompted to “bring out the good stuff” by Schneider. According to an asset shared by Convai, environment-aware AI NPCs would be able to interact with a number of objects, including bowls, bottles, lights, and other props in the scene. Nvidia says a number of game developers are already utilizing its ACE production services, which includes the Audio2Face facial animation generative AI and Riva automatic speech recognition. Schneider named “top digital avatar developers” like Genshin Impact publisher Mihoyo, NetEase Games, Tencent, and Ubisoft as some of the companies making AI-powered NPCs for their products. 
    Related
   It’s not clear yet which games will incorporate these types of AI-generated NPCs, but Nvidia and Convai boast the tech will integrate “seamlessly” with game engines like Unreal Engine and Unity. It’s also unclear whether the real-world output will be any good, or like Jin and Nova’s conversation, unnervingly uncanny. Both characters sound robotic and strange in their respective deliveries, despite the clever output of nearly convincing conversations. One thing’s almost guaranteed to come out of Nvidia’s new demo: increased suspicion the bad NPC interactions we’ll experience in future games is crafted by AI instead of an actual human being. Take a break from your day by playing a puzzle or two! We’ve got SpellTower, Typeshift, crosswords, and more. A weekly roundup of the best thi...",2
Watch NVIDIA's CES 2024 keynote in 10 minutes,2024-01-08T19:25:33+00:00,https://www.engadget.com/watch-nvidias-ces-2024-keynote-in-10-minutes-192533238.html?src=rss,"NVIDIA was one of the first big-name companies to hold a keynote at CES 2024. If you don't have time to watch the full video but still want to find out how NVIDIA revealed its news, you can watch our supercut, which boils the event down to just under 10 minutes. As expected, the company refreshed its lineup of graphics cards with RTX 40 Super GPUs that are slated to deliver performance boosts at lower prices. The RTX 4080 Super ($999) and RTX 4070 Ti Super ($799) are set to go on sale later this month and are said to be faster than their predecessors. NVIDIA hasn't divulged the full specs of the latest GPUs yet, but the RTX 4070 Ti Super will have 16GB of memory, compared with the previous model's 12GB. With DLSS enabled, the 4080 Super is said to deliver twice the performance of the 3080 Ti. NVIDIA will also offer a mid-range RTX 4070 Super GPU, which will cost $599 and have 20 percent more cores than the previous version. Given the current landscape, NVIDIA had a number of AI products to discuss too. For one thing, it's partnering with Getty Images to offer a text-to-image generative AI service that appears to include intuitive editing tools. The keynote took a look at some of NVIDIA's robotics work as well. NVIDIA also announced several GeForce Now updates. The service will soon support G-Sync as well as day passes, which provide 24 hours of access to the paid tiers. More notable games such as Overwatch 2 and Diablo IV are on the way to the platform, which will soon open for business in Japan. We're reporting live from CES 2024 in Las Vegas from January 6-12. Keep up with all the latest news from the show here. Nintendo just shut down the online servers for both the Wii U and 3DS. Games like the original Mario Kart 8 and Splatoon are no longer playable online. The Chipotle Challenger Series featuring Tekken 8 will kick off on PS5 Tournaments with a qualifier round from April 15 to 26. Fly Me To The Moon is an upcoming comedy movie that sees a PR expert (Scarlett Johansson) tasked with faking the Apollo 11 Moon landing -— just in case something goes wrong. President Biden’s CHIPS Act money continues to get doled out. TSMC just snagged $6.6 billion in grants to build three new factories in Arizona. Scientists have developed a system that lets drones autonomously charge by hooking onto power lines, potentially allowing them to remain in operation indefinitely. Google has finally rolled out its long-awaited Find My Device network. This tool helps to locate lost gadgets and works similarly to related technology offered from Apple and Tile. To find out all the details of watching and recording the total solar eclipse on April 8, read on. A GoPro Hero 12 bundle that includes a battery grip is on sale for $499. That's $100 off and a record low price. Walmart has discounted the Nintendo Switch Lite and 'Animal Crossing"" New Horizons' bundle by $21. The biggest news stories this morning: 
Best Buy’s Geek Squad agents say they were hit by mass layoffs th...",2
Nvidia’s RTX 40 Super GPUs deliver more power without price hikes,2024-01-08T18:54:08+00:00,https://www.polygon.com/24030072/nvidia-rtx-40-super-4070-ti-4080-specs-price-launch,"Filed under: The $599.99 RTX 4070 Super ships first on Jan. 17 During CES 2024, Nvidia announced its mid-gen refresh of the GeForce RTX 40 series desktop graphics cards, titled the RTX 40 Super series. Three of its GPUs are getting super-fied: the RTX 4070, the 4070 Ti, and the 4080. Across the board, these GPUs are packed with more everything, from shader and ray tracing cores, to the Tensor AI cores that are integral to making its deep learning supersampling (DLSS) graphics feature work. Nvidia’s blog post covering this announcement goes deeper into the improvements, but here’s the quick version. Each of the three come in at a price that is either the same or slightly cheaper than the original RTX 40 series versions. The lowest-end RTX 4070 Super with 12 GB of GDDR6X video memory is at the same $599.99 price (launching Jan. 17), but its core count puts it much closer to the performance of the RTX 4070 Ti, likely making it a stellar choice for people who want to play games without compromise at 1440p. While its total graphics power has risen to 220 W over the 200 in the RTX 4070, it still requires a 650 W power supply in your PC. Moving up the rungs, the $799.99 RTX 4070 Ti Super is now much closer to the RTX 4080 in terms of performance (seeing a trend here?) than the original model was. That’s due to a boost in cores, plus a jump from 12 GB to 16 GB of video memory. Power requirements are virtually identical between the new and old 4070 Ti versions, requiring at least a 700 W power supply. It’s tough to imagine this card struggling to run anything in 1440p well — or in 4K, depending on the title. This one will debut on Jan. 24. Finally, the RTX 4080 Super is as super as it gets, currently. It’s a similar story for this new $999.99 4K-ready graphics card, with more cores, a minor boost in clock speed, with minor power savings while gaming compared to the original RTX 4080. However, its price is $200 cheaper than the launch price for the RTX 4080. You’ll need a 750 W power supply to use this massive 3-slot GPU. This graphics card will launch on Jan. 31. As with all previous Nvidia GeForce GPU launches, expect to see more than just Nvidia’s own sleek Founders Edition variations hitting the market. More options from other manufacturers will find their way onto shelves, including ones with even higher clock speeds, cooler designs, and flashy RGB lighting. Stay tuned for more info on where and when you can buy the RTX 40 Super card that you’re after. Take a break from your day by playing a puzzle or two! We’ve got SpellTower, Typeshift, crosswords, and more. A weekly roundup of the best things from Polygon Please check your email to find a confirmation email, and follow the steps to confirm your humanity. Oops. Something went wrong. Please enter a valid email and try again. Filed under: ",3
