Title,Published At,URL,Content,Rating
"Xponance Inc. Acquires 1,505 Shares of McDonald’s Co. (NYSE:MCD)",2024-01-01T23:52:42+00:00,https://www.etfdailynews.com/2024/01/01/xponance-inc-acquires-1505-shares-of-mcdonalds-co-nysemcd/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
Sigma Investment Counselors Inc. Sells 614 Shares of iShares Core S&P Small-Cap ETF (NYSEARCA:IJR),2024-01-01T23:42:41+00:00,https://www.etfdailynews.com/2024/01/01/sigma-investment-counselors-inc-sells-614-shares-of-ishares-core-sp-small-cap-etf-nysearcaijr/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
Broadcom Inc. (NASDAQ:AVGO) Position Decreased by SVB Wealth LLC,2024-01-01T23:42:41+00:00,https://www.etfdailynews.com/2024/01/01/broadcom-inc-nasdaqavgo-position-decreased-by-svb-wealth-llc/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
"B. Riley Financial, Inc. 5.00% Senior Notes due 2026 (NASDAQ:RILYG) to Issue Quarterly Dividend of $0.31",2024-01-01T23:32:42+00:00,https://www.etfdailynews.com/2024/01/01/b-riley-financial-inc-5-00-senior-notes-due-2026-nasdaqrilyg-to-issue-quarterly-dividend-of-0-31/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
"B. Riley Financial, Inc. 5.25% Senior Notes due 2028 (NASDAQ:RILYZ) Announces Quarterly Dividend of $0.33",2024-01-01T23:32:41+00:00,https://www.etfdailynews.com/2024/01/01/b-riley-financial-inc-5-25-senior-notes-due-2028-nasdaqrilyz-announces-quarterly-dividend-of-0-33/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
"Hartford Financial Management Inc. Decreases Stock Position in Mondelez International, Inc. (NASDAQ:MDLZ)",2024-01-02T23:56:43+00:00,https://www.etfdailynews.com/2024/01/02/hartford-financial-management-inc-decreases-stock-position-in-mondelez-international-inc-nasdaqmdlz/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
Fundamentum LLC Has $2.37 Million Holdings in Broadcom Inc. (NASDAQ:AVGO),2024-01-02T23:46:42+00:00,https://www.etfdailynews.com/2024/01/02/fundamentum-llc-has-2-37-million-holdings-in-broadcom-inc-nasdaqavgo/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
Fundamentum LLC Grows Position in Thermo Fisher Scientific Inc. (NYSE:TMO),2024-01-02T23:46:41+00:00,https://www.etfdailynews.com/2024/01/02/fundamentum-llc-grows-position-in-thermo-fisher-scientific-inc-nysetmo/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
Thermo Fisher Scientific Inc. (NYSE:TMO) Shares Sold by Eagle Ridge Investment Management,2024-01-02T23:46:41+00:00,https://www.etfdailynews.com/2024/01/02/thermo-fisher-scientific-inc-nysetmo-shares-sold-by-eagle-ridge-investment-management/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",3
"Monte Financial Group LLC Trims Holdings in The Travelers Companies, Inc. (NYSE:TRV)",2024-01-02T23:42:55+00:00,https://www.etfdailynews.com/2024/01/02/monte-financial-group-llc-trims-holdings-in-the-travelers-companies-inc-nysetrv/,"Monitor your portfolio in real-time. Access our top stock picks, proprietary research reports, stock screeners and more. Try MarketBeat All Access for free today. Sign up to receive the latest headlines and analysts' recommendations for your stocks with our free daily email newsletter: Sign up for MarketBeat All Access to gain access to MarketBeat's full suite of research tools: View the latest news, buy/sell ratings, SEC filings and insider transactions for your stocks. Compare your portfolio performance to leading indices and get personalized stock ideas based on your portfolio. Get daily stock ideas from top-performing Wall Street analysts. Get short term trading ideas from the MarketBeat Idea Engine. View which stocks are hot on social media with MarketBeat's trending stocks report. Identify stocks that meet your criteria using seven unique stock screeners. See what's happening in the market right now with MarketBeat's real-time news feed. Export data to Excel for your own analysis.  As Featured By: 
345 N Reid Place, Suite 620, Sioux Falls, SD 57103

contact@marketbeat.com

(844) 978-6257
 © MarketBeat Media, LLC® 2010-2024. All rights reserved. 
© 2024 Market data provided is at least 10-minutes delayed and hosted by Barchart Solutions. Information is provided 'as-is' and solely for informational purposes, not for trading purposes or advice, and is delayed. To see all exchange delays and terms of use please see Barchart's disclaimer. 
 My Account - ",0
