Date,Open,High,Low,Close,Volume
2024-04-12,25.6000,30.9200,25.6000,28.8900,271985
2024-04-11,21.6500,25.0000,21.3900,23.8100,81621
2024-04-10,21.3800,21.7000,20.9700,21.4800,15742
2024-04-09,20.3976,21.5000,20.2850,21.3000,12737
2024-04-08,20.2200,21.6650,20.2200,21.4200,16482
2024-04-05,20.6700,20.6900,20.2000,20.2200,12689
2024-04-04,21.9100,21.9100,20.6800,20.7100,31921
2024-04-03,21.6300,21.9900,20.2400,21.2900,52162
2024-04-02,19.3800,22.7900,18.8550,21.9800,104233
2024-04-01,17.2900,18.9500,17.0500,18.0000,24883
2024-03-28,15.9800,17.0400,15.9700,17.0400,28565
2024-03-27,17.0600,17.3299,15.2451,16.1700,26914
2024-03-26,15.0700,17.3500,15.0700,16.6500,39987
2024-03-25,0.9200,0.9725,0.9000,0.9347,401467
2024-03-22,0.8774,0.9433,0.8550,0.9276,226018
2024-03-21,0.8780,0.8995,0.8701,0.8848,123287
2024-03-20,0.8600,0.9600,0.8600,0.9049,569316
2024-03-19,0.9140,0.9400,0.8812,0.9002,359113
2024-03-18,0.9100,0.9112,0.8780,0.9000,370010
2024-03-15,0.9236,0.9400,0.9157,0.9157,150416
2024-03-14,0.9083,0.9556,0.9083,0.9273,297302
2024-03-13,0.8830,0.9140,0.8705,0.9100,88770
2024-03-12,0.8904,0.9045,0.8800,0.8975,162644
2024-03-11,0.8900,0.9100,0.8900,0.9100,138854
2024-03-08,0.8900,0.9200,0.8801,0.8898,135005
2024-03-07,0.9000,0.9200,0.8624,0.9024,158416
2024-03-06,0.8819,0.9300,0.8667,0.9094,79814
2024-03-05,0.8800,0.8999,0.8799,0.8812,131625
2024-03-04,0.9000,0.9000,0.8640,0.8917,219177
2024-03-01,0.9300,0.9400,0.8800,0.8931,221704
2024-02-29,0.9011,0.9300,0.8828,0.9200,364686
2024-02-28,0.9187,0.9348,0.8960,0.9200,418851
2024-02-27,0.8920,0.9194,0.8700,0.9150,369101
2024-02-26,0.8500,0.9000,0.8340,0.8919,668241
2024-02-23,0.8400,0.8686,0.8260,0.8621,1118277
2024-02-22,0.8421,0.8699,0.8001,0.8510,667456
2024-02-21,0.8000,0.8800,0.7901,0.8700,853387
2024-02-20,0.8150,0.8300,0.7800,0.8239,487252
2024-02-16,0.7297,0.8200,0.7200,0.8001,1359437
2024-02-15,0.7199,0.7300,0.7000,0.7200,1310240
2024-02-14,0.7187,0.7200,0.7000,0.7050,241379
2024-02-13,0.7007,0.7189,0.6960,0.7067,260083
2024-02-12,0.6850,0.7200,0.6833,0.6940,571769
2024-02-09,0.7050,0.7170,0.6951,0.6957,266267
2024-02-08,0.7044,0.7200,0.6848,0.7050,533822
2024-02-07,0.7199,0.7399,0.6800,0.7103,146758
2024-02-06,0.7000,0.7390,0.6859,0.7064,549613
2024-02-05,0.6769,0.7400,0.6769,0.7020,366955
2024-02-02,0.6901,0.7200,0.6900,0.7003,260872
2024-02-01,0.6600,0.7150,0.6600,0.6998,724828
2024-01-31,0.6400,0.6800,0.6391,0.6700,218847
2024-01-30,0.6561,0.6800,0.6400,0.6602,283709
2024-01-29,0.7025,0.7198,0.6502,0.6781,520800
2024-01-26,0.6231,0.7449,0.6231,0.6960,2009379
2024-01-25,0.5900,0.6501,0.5900,0.6306,909121
2024-01-24,0.6195,0.6200,0.5801,0.5930,525106
2024-01-23,0.5802,0.6085,0.5802,0.5900,134106
2024-01-22,0.5900,0.6040,0.5800,0.5820,201469
2024-01-19,0.5750,0.6098,0.5750,0.5856,34564
2024-01-18,0.5800,0.5950,0.5706,0.5776,301427
2024-01-17,0.5800,0.6050,0.5702,0.5939,160914
2024-01-16,0.5950,0.6366,0.5770,0.5802,161163
2024-01-12,0.6000,0.6146,0.5810,0.5963,149487
2024-01-11,0.6051,0.6301,0.5910,0.6050,154611
2024-01-10,0.6440,0.6551,0.6150,0.6160,126497
2024-01-09,0.6050,0.6600,0.6050,0.6585,354342
2024-01-08,0.6100,0.6199,0.5825,0.6010,322902
2024-01-05,0.6300,0.6350,0.6000,0.6200,207723
2024-01-04,0.5800,0.6284,0.5710,0.6210,152225
2024-01-03,0.5710,0.5980,0.5611,0.5890,142984
2024-01-02,0.5880,0.6400,0.5880,0.6033,195567
