Date,Open,High,Low,Close,Volume
2024-04-12,172.3400,173.8099,170.3644,171.0500,64722669
2024-04-11,172.5500,175.8800,168.5100,174.6000,94515987
2024-04-10,173.0400,174.9300,170.0100,171.7600,84532407
2024-04-09,172.9100,179.2200,171.9200,176.8800,102327658
2024-04-08,169.3400,174.5000,167.7900,172.9800,104039371
2024-04-05,169.0800,170.8600,160.5100,164.9000,136439809
2024-04-04,170.0700,177.1900,168.0100,171.1100,122061224
2024-04-03,164.0200,168.8200,163.2800,168.3800,82223543
2024-04-02,164.7500,167.6900,163.4300,166.6300,115344925
2024-04-01,176.1700,176.7500,170.2100,175.2200,80751684
2024-03-28,177.4500,179.5700,175.3000,175.7900,77654838
2024-03-27,181.4100,181.9100,176.0000,179.8300,81804043
2024-03-26,178.5800,184.2500,177.3800,177.6700,113186227
2024-03-25,168.7600,175.2400,168.7300,172.6300,74228615
2024-03-22,166.6900,171.2000,166.3000,170.8300,75580637
2024-03-21,176.3900,178.1800,171.8000,172.8200,73178014
2024-03-20,173.0000,176.2500,170.8200,175.6600,83846726
2024-03-19,172.3600,172.8200,167.4200,171.3200,77271428
2024-03-18,170.0200,174.7200,165.9000,173.8000,108214358
2024-03-15,163.1600,165.1845,160.7600,163.5700,97146832
2024-03-14,167.7700,171.1700,160.5100,162.5000,125494925
2024-03-13,173.0500,176.0500,169.1500,169.4800,104717978
2024-03-12,177.7700,179.4300,172.4101,177.5400,87009098
2024-03-11,175.4500,182.8700,174.8000,177.7700,85013157
2024-03-08,181.5000,182.7300,174.7000,175.3400,85544644
2024-03-07,174.3500,180.0400,173.7000,178.6500,102129004
2024-03-06,179.9900,181.5760,173.7000,176.5400,107920944
2024-03-05,183.0500,184.5900,177.5700,180.7400,119660758
2024-03-04,198.7300,199.7500,186.7200,188.1400,134334869
2024-03-01,200.5200,204.5200,198.5000,202.6400,82243119
2024-02-29,204.1800,205.2800,198.4463,201.8800,85906974
2024-02-28,200.4200,205.3000,198.4400,202.0400,99806173
2024-02-27,204.0400,205.6000,198.2600,199.7300,108645412
2024-02-26,192.2900,201.7800,192.0000,199.4000,111747116
2024-02-23,195.3100,197.5700,191.5000,191.9700,78841917
2024-02-22,194.0000,198.3200,191.3600,197.4100,92739461
2024-02-21,193.3600,199.4400,191.9500,194.7700,103844008
2024-02-20,196.1300,198.6000,189.1300,193.7600,104545762
2024-02-16,202.0600,203.1700,197.4000,199.9500,111346705
2024-02-15,189.1600,200.8800,188.8595,200.4500,120831762
2024-02-14,185.3000,188.8900,183.3500,188.7100,81202987
2024-02-13,183.9900,187.2600,182.1087,184.0200,86759478
2024-02-12,192.1100,194.7300,187.2800,188.1300,95498597
2024-02-09,190.1800,194.1200,189.4800,193.5700,84476347
2024-02-08,189.0000,191.6171,185.5800,189.5600,83034043
2024-02-07,188.1800,189.7900,182.6800,187.5800,111535217
2024-02-06,177.2100,186.4900,177.1100,185.1000,122675954
2024-02-05,184.2600,184.6800,175.0100,181.0600,134294447
2024-02-02,185.0400,188.6900,182.0000,187.9100,110612672
2024-02-01,188.5000,189.8800,184.2800,188.8600,91843275
2024-01-31,186.9950,193.9700,185.8459,187.2900,103221430
2024-01-30,195.3300,196.3593,190.6100,191.5900,109982327
2024-01-29,185.6300,191.4800,183.6700,190.9300,125013148
2024-01-26,185.5000,186.7800,182.1000,183.2500,107343231
2024-01-25,189.7000,193.0000,180.0600,182.6300,198076787
2024-01-24,211.8800,212.7300,206.7700,207.8300,112930989
2024-01-23,211.3000,215.6500,207.7516,209.1400,106605946
2024-01-22,212.2600,217.8000,206.2700,208.8000,117952527
2024-01-19,209.9900,213.1900,207.5600,212.1900,102260343
2024-01-18,216.8800,217.4500,208.7400,211.8800,108595431
2024-01-17,214.8600,215.6700,212.0100,215.5500,103164400
2024-01-16,215.1000,223.4900,212.1800,219.9100,115355046
2024-01-12,220.0800,225.3400,217.1501,218.8900,123043812
2024-01-11,230.5700,230.9300,225.3700,227.2200,105873612
2024-01-10,235.1000,235.5000,231.2900,233.9400,91628502
2024-01-09,238.1100,238.9646,232.0400,234.9600,96705664
2024-01-08,236.1400,241.2500,235.3000,240.4500,85166580
2024-01-05,236.8600,240.1196,234.9001,237.4900,92240035
2024-01-04,239.2500,242.7000,237.7300,237.9300,102629283
2024-01-03,244.9800,245.6800,236.3200,238.4500,121082599
2024-01-02,250.0800,251.2500,244.4100,248.4200,104654163
