发布时间,新闻标题,URL,影响评分
2024-05-16,万华化学：融资净买入328.79万元，融资余额19.22亿元（05-15）,http://stock.eastmoney.com/a/202405163077869124.html,2
2024-05-15,万华化学：连续3日融资净偿还累计1267.08万元（05-14）,http://stock.eastmoney.com/a/202405153076524194.html,-2
2024-05-14,万华化学：融资净偿还18.73万元，融资余额19.3亿元（05-13）,http://stock.eastmoney.com/a/202405143075432027.html,0
2024-05-11,万华化学：融资净偿还180.13万元，融资余额19.3亿元（05-10）,http://stock.eastmoney.com/a/202405113073553615.html,-1
2024-05-10,万华化学：融资净买入4190.93万元，融资余额19.32亿元（05-09）,http://stock.eastmoney.com/a/202405103072081081.html,1
2024-05-10,万华化学05月09日被沪股通减持313.47万股,http://stock.eastmoney.com/a/202405103071804578.html,-2
2024-05-09,万华化学：融资净偿还189.42万元，融资余额18.9亿元（05-08）,http://stock.eastmoney.com/a/202405093070844237.html,-1
2024-05-08,万华化学：融资净买入674.27万元，融资余额18.92亿元（05-07）,http://stock.eastmoney.com/a/202405083069474144.html,2
2024-05-07,六国化工拟向万华化学出让徽阳子公司部分股权 后者建设重要转型项目,http://finance.eastmoney.com/a/202405073068982462.html,2
2024-05-07,万华化学：融资净偿还2059.94万元，融资余额18.85亿元（05-06）,http://stock.eastmoney.com/a/202405073068105793.html,-1
2024-05-01,万华化学：融资净买入488.04万元，融资余额19.05亿元（04-30）,http://stock.eastmoney.com/a/202405013065999430.html,1
2024-04-30,“国家队”持仓曝光：证金、汇金重仓中国平安 社保基金新进万华化学,http://finance.eastmoney.com/a/202404303065758754.html,3
2024-04-30,万华化学：融资净偿还1267.26万元，融资余额19.01亿元（04-29）,http://stock.eastmoney.com/a/202404303064731832.html,-1
2024-04-29,万华化学：福建工业园MDI装置完成技改扩能 已具备试生产条件,http://finance.eastmoney.com/a/202404293063818760.html,3
2024-04-29,万华化学大涨超6%，化工ETF(516020)大涨超2.7%，盘中价创近5个月新高,http://stock.eastmoney.com/a/202404293063577451.html,3
2024-04-27,万华化学：融资净偿还1572.14万元，融资余额19.13亿元（04-26）,http://stock.eastmoney.com/a/202404273061988276.html,-1
2024-04-26,兴发集团、万华化学等5亿元成立矿业公司,http://finance.eastmoney.com/a/202404263061159512.html,0
2024-04-26,万华化学：融资净买入1191.11万元，融资余额19.29亿元（04-25）,http://stock.eastmoney.com/a/202404263060282870.html,1
2024-04-25,中邮证券给予万华化学买入评级，聚氨酯销量持续增长，逆市扩张弹性可期,http://finance.eastmoney.com/a/202404253058922158.html,3
2024-04-25,万华化学：连续3日融资净偿还累计2992.6万元（04-24）,http://stock.eastmoney.com/a/202404253058446256.html,2
2024-04-24,万华化学：融资净偿还569.68万元，融资余额19.21亿元（04-23）,http://stock.eastmoney.com/a/202404243056761327.html,-1
2024-04-22,万华化学：化学，让生活更美好,http://finance.eastmoney.com/a/202404223054643929.html,4
2024-04-22,东莞证券给予万华化学买入评级,http://finance.eastmoney.com/a/202404223054225173.html,3
2024-04-21,国海证券给予万华化学买入评级 点评报告，近期获13份券商研报关注，目标均价涨幅22.36%,http://finance.eastmoney.com/a/202404213053190724.html,3
2024-04-20,华安证券给予万华化学买入评级 一季度业绩环比改善 新产能落地持续成长,http://finance.eastmoney.com/a/202404203053042976.html,3
2024-04-20,万华化学：连续3日融资净买入累计3652.07万元（04-19）,http://stock.eastmoney.com/a/202404203052786629.html,2
2024-04-19,国联证券给予万华化学买入评级 Q1净利同环比微增 新项目稳步推进 目标价格为105.9元,http://finance.eastmoney.com/a/202404193052481951.html,3
2024-04-19,开源证券发布万华化学研报,http://finance.eastmoney.com/a/202404193051995777.html,2
2024-04-19,国信证券给予万华化学买入评级，一季度营收及净利同环比提升，聚氨酯龙头稳健发展,http://finance.eastmoney.com/a/202404193051975186.html,2
2024-04-19,国金证券给予万华化学买入评级，一季度运行平稳，产能带动业绩提升,http://finance.eastmoney.com/a/202404193051880355.html,3
2024-04-19,万华化学(600309.SH)：2024年前一季度净利润为41.57亿元，同比增长2.57%,http://finance.eastmoney.com/a/202404193051863492.html,-1
2024-04-19,万华化学：2024年第一季度净利润约41.57亿元,http://finance.eastmoney.com/a/202404193051318587.html,2
2024-04-19,万华化学：融资净买入1615.6万元，融资余额19.41亿元（04-18）,http://stock.eastmoney.com/a/202404193051165454.html,1
