发布时间,新闻标题,URL,影响评分
2024-05-18,三安光电：融资净买入529.72万元，融资余额46.1亿元（05-17）,http://stock.eastmoney.com/a/202405183080560398.html,1
2024-05-17,三安光电：连续3日融资净偿还累计1043.88万元（05-16）,http://stock.eastmoney.com/a/202405173079370936.html,-1
2024-05-17,三安光电05月16日获沪股通增持109.47万股,http://stock.eastmoney.com/a/202405173079000685.html,2
2024-05-16,三安光电：融资净偿还709.93万元，融资余额46.06亿元（05-15）,http://stock.eastmoney.com/a/202405163077888559.html,-1
2024-05-15,三安光电：融资净偿还193.42万元，融资余额46.13亿元（05-14）,http://stock.eastmoney.com/a/202405153076575210.html,-1
2024-05-14,三安光电：融资净买入542.1万元，融资余额46.15亿元（05-13）,http://stock.eastmoney.com/a/202405143075422161.html,1
2024-05-13,三安光电：全资子公司通过高新技术企业认定,http://finance.eastmoney.com/a/202405133074868964.html,2
2024-05-13,三安光电：公司滤波器产品覆盖国内外所需频段,http://finance.eastmoney.com/a/202405133074819093.html,2
2024-05-13,三安光电：1200V/8mΩ碳化硅MOSFET是车规级产品,http://finance.eastmoney.com/a/202405133074818869.html,3
2024-05-13,三安光电：公司滤波器产能为150KK/月，产品覆盖国内外所需频段,http://finance.eastmoney.com/a/202405133074712574.html,1
2024-05-13,三安光电：公司照明产品为各种路灯提供LED光源,http://finance.eastmoney.com/a/202405133074704739.html,2
2024-05-13,三安光电：全资子公司安瑞光电已与多家知名民族品牌车企建立长期稳定的战略合作关系,http://finance.eastmoney.com/a/202405133074705123.html,2
2024-05-11,三安光电：融资净买入101.57万元，融资余额46.1亿元（05-10）,http://stock.eastmoney.com/a/202405113073560593.html,2
2024-05-10,三安光电：融资净偿还981.67万元，融资余额46.09亿元（05-09）,http://stock.eastmoney.com/a/202405103072111217.html,-1
2024-05-10,三安光电05月09日获沪股通增持277.64万股,http://stock.eastmoney.com/a/202405103071823054.html,2
2024-05-09,三安光电：融资净买入1107.13万元，融资余额46.19亿元（05-08）,http://stock.eastmoney.com/a/202405093070786145.html,1
2024-05-09,三安光电05月08日被沪股通减持100.6万股,http://stock.eastmoney.com/a/202405093070439998.html,-2
2024-05-08,三安光电应邀出席中法企业家委员会第六次会议闭幕式,http://finance.eastmoney.com/a/202405083069786056.html,3
2024-05-08,三安光电：融资净偿还713.45万元，融资余额46.08亿元（05-07）,http://stock.eastmoney.com/a/202405083069476783.html,-1
2024-05-08,三安光电05月07日获沪股通增持197.16万股,http://stock.eastmoney.com/a/202405083069099813.html,2
2024-05-07,三安光电：业绩说明会定于5月21日举行,http://finance.eastmoney.com/a/202405073068848731.html,0
2024-05-07,三安光电应邀出席中法企业家委员会第六次会议闭幕式,http://finance.eastmoney.com/a/202405073068610642.html,3
2024-05-07,三安光电：融资净买入753.06万元，融资余额46.15亿元（05-06）,http://stock.eastmoney.com/a/202405073068114888.html,1
2024-05-07,三安光电05月06日获沪股通增持106.24万股,http://stock.eastmoney.com/a/202405073067742851.html,2
2024-05-01,三安光电：连续6日融资净偿还累计6232.15万元（04-30）,http://stock.eastmoney.com/a/202405013066025450.html,2
2024-04-30,三安光电：连续5日融资净偿还累计2781.76万元（04-29）,http://stock.eastmoney.com/a/202404303064732335.html,2
2024-04-30,三安光电04月29日获沪股通增持593.86万股,http://stock.eastmoney.com/a/202404303064366795.html,2
2024-04-27,三安光电：4月25日召开董事会会议,http://finance.eastmoney.com/a/202404273062180827.html,0
2024-04-27,三安光电：2024年第一季度净利润约1.19亿元,http://finance.eastmoney.com/a/202404273062179420.html,-3
2024-04-27,三安光电：连续4日融资净偿还累计1665.78万元（04-26）,http://stock.eastmoney.com/a/202404273062024550.html,-2
2024-04-27,三安光电04月26日获沪股通增持343.04万股,http://stock.eastmoney.com/a/202404273061696820.html,2
2024-04-27,三安光电：2023年度净利润约3.67亿元，同比下降46.5%,http://finance.eastmoney.com/a/202404273061936832.html,-3
2024-04-26,大宗交易：三安光电成交3767.75万元，成交均价11.68元（04-26）,http://stock.eastmoney.com/a/202404263061547693.html,2
2024-04-26,三安光电发生4笔大宗交易 合计成交3767.75万元,http://finance.eastmoney.com/a/202404263061529516.html,2
2024-04-26,三安光电：连续3日融资净偿还累计1340.53万元（04-25）,http://stock.eastmoney.com/a/202404263060276638.html,-2
2024-04-26,三安光电04月25日获沪股通增持81.26万股,http://stock.eastmoney.com/a/202404263059952911.html,1
2024-04-25,三安光电：融资净偿还31.31万元，融资余额46.65亿元（04-24）,http://stock.eastmoney.com/a/202404253058467776.html,0
