发布时间,新闻标题,URL,影响评分
2024-05-16,上汽集团：连续3日融资净买入累计1999.28万元（05-15）,http://stock.eastmoney.com/a/202405163077875140.html,2
2024-05-15,上汽集团：融资净买入759.89万元，融资余额12.73亿元（05-14）,http://stock.eastmoney.com/a/202405153076510093.html,1
2024-05-14,上汽集团：融资净买入833.24万元，融资余额12.65亿元（05-13）,http://stock.eastmoney.com/a/202405143075419095.html,3
2024-05-13,大宗交易：上汽集团成交1460万元，成交价14.60元（05-13）,http://stock.eastmoney.com/a/202405133074810243.html,0
2024-05-11,外资品牌将使用上汽集团插混等技术 芦勇：技术开始反向输出,http://finance.eastmoney.com/a/202405113073760161.html,3
2024-05-11,上汽集团4月销量下滑3.73% 旗下板块表现不一,http://finance.eastmoney.com/a/202405113073660272.html,-1
2024-05-11,上汽集团：融资净偿还524.84万元，融资余额12.57亿元（05-10）,http://stock.eastmoney.com/a/202405113073586396.html,2
2024-05-10,上汽集团：4月份整车销量36万辆 海外销量达9.2万辆,http://finance.eastmoney.com/a/202405103073131897.html,3
2024-05-10,上汽集团：4月新能源汽车销量同比增长9.33%,http://finance.eastmoney.com/a/202405103073031648.html,2
2024-05-10,上汽集团：4月新能源汽车产销两旺,http://finance.eastmoney.com/a/202405103072957740.html,2
2024-05-10,上汽集团4月销售整车36万辆 自主品牌销量占比超六成,http://finance.eastmoney.com/a/202405103072949572.html,3
2024-05-10,上汽集团(600104.SH)：4月整车合计销量36万辆 同比下降3.73%,http://finance.eastmoney.com/a/202405103072926062.html,3
2024-05-10,上汽集团：4月份汽车销量合计360010辆,http://finance.eastmoney.com/a/202405103072889136.html,3
2024-05-10,上汽集团：4月份汽车销量合计同比下降3.73%,http://finance.eastmoney.com/a/202405103072846420.html,-2
2024-05-10,上汽集团今年4月销售整车达36万辆,http://finance.eastmoney.com/a/202405103072838164.html,3
2024-05-10,上汽集团：4月份新能源车销量达7.5万辆 同比增长9.3%,http://finance.eastmoney.com/a/202405103072824832.html,3
2024-05-10,上汽集团：4月份销售整车36万辆，其中新能源车销量7.5万辆,http://finance.eastmoney.com/a/202405103072827497.html,2
2024-05-10,上汽集团4月份销售整车36万辆 其中新能源车销量7.5万辆,http://finance.eastmoney.com/a/202405103072814452.html,3
2024-05-10,上汽集团旗下智己L6全系搭载智能生态驾舱系统IMOS3.0,http://finance.eastmoney.com/a/202405103072751640.html,3
2024-05-10,上汽集团：连续5日融资净买入累计8028.91万元（05-09）,http://stock.eastmoney.com/a/202405103072075849.html,2
2024-05-09,上汽集团：连续4日融资净买入累计7968.28万元（05-08）,http://stock.eastmoney.com/a/202405093070767462.html,2
2024-05-08,上汽集团回应欧盟反补贴调查：已提供商业敏感内容外所有必要信息,http://finance.eastmoney.com/a/202405083070047734.html,-2
2024-05-08,突发！这家公司涉嫌内幕交易被罚超2亿元；正式公告！李益波被查；上汽集团霸气回应“欧盟反补贴调查”；监管出手！影视大佬收警示函,http://finance.eastmoney.com/a/202405083069721396.html,-1
2024-05-08,上汽集团：连续3日融资净买入累计7373.66万元（05-07）,http://stock.eastmoney.com/a/202405083069466692.html,2
2024-05-08,上汽集团05月07日被沪股通减持396.23万股,http://stock.eastmoney.com/a/202405083069143764.html,-3
2024-05-07,上汽集团回应欧盟反补贴调查：已提供所有必要信息,http://finance.eastmoney.com/a/202405073069003177.html,-1
2024-05-07,ESG点评 | 上汽集团：首遭MSCI下调评级至CCC 全球车企倒数前三 员工离职率高于比亚迪,http://finance.eastmoney.com/a/202405073068935685.html,-3
2024-05-07,上汽集团：融资净买入3488.88万元，创近一年新高（05-06）,http://stock.eastmoney.com/a/202405073068119268.html,3
