发布时间,新闻标题,URL,影响评分
2024-05-16,上海机场联络线年末通车 全线将实现5G信号覆盖,http://finance.eastmoney.com/a/202405163078683887.html,0
2024-05-16,上海机场：融资净买入848.69万元，融资余额12.96亿元（05-15）,http://stock.eastmoney.com/a/202405163077871251.html,1
2024-05-15,上海机场(600009.SH)：拟推不超过1050.85万股限制性股票激励计划,http://finance.eastmoney.com/a/202405153077409237.html,2
2024-05-15,上海机场：浦东国际机场4月份旅客吞吐量同比增长72.70%,http://finance.eastmoney.com/a/202405153077354214.html,3
2024-05-15,上海机场拟推千万股限制性股票激励计划：今年净利增幅不得低于90%,http://finance.eastmoney.com/a/202405153077253196.html,2
2024-05-15,上海机场：融资净偿还21.12万元，融资余额12.88亿元（05-14）,http://stock.eastmoney.com/a/202405153076505718.html,-1
2024-05-14,展现国企担当！上海机场实施股权激励计划 拟发行不超过1050.85万股,http://finance.eastmoney.com/a/202405143076413566.html,3
2024-05-14,上海机场：4月浦东国际机场旅客吞吐量同比增长72.7%,http://finance.eastmoney.com/a/202405143076362812.html,3
2024-05-14,上海机场：浦东国际机场4月旅客吞吐量607.39万人次 同比增长72.7%,http://finance.eastmoney.com/a/202405143076346915.html,3
2024-05-14,上海机场：4月浦东国际机场旅客吞吐量同比增长72.7%,http://finance.eastmoney.com/a/202405143076344674.html,3
2024-05-14,上海机场：5月14日召开董事会会议,http://finance.eastmoney.com/a/202405143076341762.html,2
2024-05-14,上海机场：浦东国际机场4月旅客吞吐量同比增长72.7%,http://finance.eastmoney.com/a/202405143076328336.html,3
2024-05-14,上海机场：融资净买入57.63万元，融资余额12.88亿元（05-13）,http://stock.eastmoney.com/a/202405143075428913.html,3
2024-05-11,上海机场：融资净偿还59.47万元，融资余额12.88亿元（05-10）,http://stock.eastmoney.com/a/202405113073569411.html,4
2024-05-10,上海机场：融资净买入833.07万元，融资余额12.88亿元（05-09）,http://stock.eastmoney.com/a/202405103072076588.html,1
2024-05-09,上海机场：融资净买入81.73万元，融资余额12.8亿元（05-08）,http://stock.eastmoney.com/a/202405093070811955.html,1
