发布时间,新闻标题,URL,影响评分
2024-05-16,中国石化：目前公司加油站均为自营加油站,http://finance.eastmoney.com/a/202405163078669694.html,2
2024-05-16,中国石化：福建联合石油化工有限公司是中国石化参股公司 据了解 该公司已整改完毕,http://finance.eastmoney.com/a/202405163078658651.html,1
2024-05-16,中国石化：融资净偿还601.55万元，融资余额12.86亿元（05-15）,http://stock.eastmoney.com/a/202405163077871536.html,-1
2024-05-15,中国石化05月14日被沪股通减持1395.93万股,http://stock.eastmoney.com/a/202405153076957411.html,-3
2024-05-15,中国石化：融资净买入970.71万元，融资余额12.92亿元（05-14）,http://stock.eastmoney.com/a/202405153076507389.html,1
2024-05-14,中国石化打造水上绿色综合服务区,http://finance.eastmoney.com/a/202405143076430950.html,2
2024-05-14,中国石化：吴泊辞去监事职务,http://finance.eastmoney.com/a/202405143076223871.html,0
2024-05-14,中国石化：连续5日融资净偿还累计3734.79万元（05-13）,http://stock.eastmoney.com/a/202405143075427935.html,-2
2024-05-13,中国石化：监事吴泊辞职,http://finance.eastmoney.com/a/202405133074947415.html,-1
2024-05-13,中国石化：5月13日召开董事会会议,http://finance.eastmoney.com/a/202405133074913280.html,0
2024-05-13,注意！中国石化将于6月28日召开股东大会,http://finance.eastmoney.com/a/202405133074912018.html,0
2024-05-13,中国石化：监事吴泊辞职,http://finance.eastmoney.com/a/202405133074905939.html,0
2024-05-13,中国石化：吴泊辞去监事职务,http://finance.eastmoney.com/a/202405133074905050.html,0
2024-05-13,中国石化“院士进课堂”走进岳西,http://finance.eastmoney.com/a/202405133074616251.html,0
2024-05-13,中国石化品牌价值超3892亿元,http://finance.eastmoney.com/a/202405133074604127.html,3
2024-05-12,中国石化品牌价值超3892亿元 首次跻身全国第一,http://finance.eastmoney.com/a/202405123073807984.html,3
2024-05-11,中国石化：连续4日融资净偿还累计2852.4万元（05-10）,http://stock.eastmoney.com/a/202405113073540972.html,-2
2024-05-11,中国石化05月10日被沪股通减持2276.69万股,http://stock.eastmoney.com/a/202405113073204226.html,2
2024-05-10,中国石化：连续3日融资净偿还累计2067.14万元（05-09）,http://stock.eastmoney.com/a/202405103072082510.html,-2
2024-05-10,中国石化05月09日被沪股通减持1749.16万股,http://stock.eastmoney.com/a/202405103071849540.html,-3
2024-05-09,利用职务便利划拨天然气指标 中国石化一分公司原副总经理被公诉,http://finance.eastmoney.com/a/202405093071710854.html,-3
2024-05-09,中国石化：融资净偿还244.59万元，融资余额13.04亿元（05-08）,http://stock.eastmoney.com/a/202405093070819187.html,-1
2024-05-08,中国石化：融资净偿还1353.23万元，融资余额13.06亿元（05-07）,http://stock.eastmoney.com/a/202405083069468026.html,-1
2024-05-08,中国石化05月07日被沪股通减持2002.57万股,http://stock.eastmoney.com/a/202405083069128995.html,-2
2024-05-07,中国石化与道达尔能源签署战略合作框架协议,http://finance.eastmoney.com/a/202405073068902227.html,3
2024-05-07,中国石化与道达尔签署战略合作框架协议,http://finance.eastmoney.com/a/202405073068904132.html,3
2024-05-07,中国石化：与道达尔签署战略合作框架协议,http://finance.eastmoney.com/a/202405073068721413.html,3
2024-05-07,中国石化与道达尔签署战略合作框架协议,http://finance.eastmoney.com/a/202405073068718919.html,3
2024-05-07,中国石化：融资净买入829.78万元，融资余额13.2亿元（05-06）,http://stock.eastmoney.com/a/202405073068123063.html,3
2024-05-01,中国石化：融资净偿还8151.03万元，融资余额13.11亿元（04-30）,http://stock.eastmoney.com/a/202405013066022312.html,-2
2024-04-30,中国石化，受化工业务拖累,http://finance.eastmoney.com/a/202404303065461920.html,-2
2024-04-30,中国神华、中国石化、中国海油纷纷涨超2%，仅含24只煤炭石油股的能源ETF(159930)涨1.23%昨日吸金1240万元,http://finance.eastmoney.com/a/202404303065308749.html,3
2024-04-30,三桶油集体回暖，中国海油、中国石化涨超2%，中国石油升超1%,http://finance.eastmoney.com/a/202404303065252590.html,2
2024-04-30,三桶油集体回暖，中国海油、中国石化涨超2%,http://stock.eastmoney.com/a/202404303065239986.html,2
2024-04-30,中国石化：融资净买入5618.82万元，融资余额13.93亿元（04-29）,http://stock.eastmoney.com/a/202404303064728278.html,1
2024-04-29,中国石化西藏石油15年：推进援藏工作 助力乡村振兴,http://finance.eastmoney.com/a/202404293064015387.html,2
2024-04-29,中国石化重要人事调整 赵东任总裁,http://finance.eastmoney.com/a/202404293063885359.html,0
2024-04-29,中国石化人事变动：赵东任总裁 原总裁喻宝才任高级副总裁,http://finance.eastmoney.com/a/202404293063782044.html,0
2024-04-29,中国石化：聘任赵东为总裁 聘任万涛、喻宝才为高级副总裁,http://finance.eastmoney.com/a/202404293063782134.html,0
2024-04-29,中国石化(600028.SH)：2024年一季度实现净利润183.16亿元 同比下降8.88%,http://finance.eastmoney.com/a/202404293063726172.html,-2
2024-04-29,中国石化：一季度实现净利润187亿元,http://finance.eastmoney.com/a/202404293063573261.html,3
2024-04-29,三桶油短线下挫，中国石化绩后跌超4%,http://stock.eastmoney.com/a/202404293063379063.html,-3
2024-04-28,中国石化一季度净利逾183亿元 新增产能持续释放,http://finance.eastmoney.com/a/202404283062806964.html,-2
2024-04-28,中国石化一季度净利润同比减少8.88%,http://finance.eastmoney.com/a/202404283062800132.html,-2
2024-04-28,中国石化第一季度实现净利润187亿元,http://finance.eastmoney.com/a/202404283062776769.html,3
2024-04-28,中国石化一季度净利降幅收窄 化工板块仍亏损,http://finance.eastmoney.com/a/202404283062779028.html,-1
