发布时间,新闻标题,URL,影响评分
2024-05-16,中国联通：连续3日融资净买入累计4765.2万元（05-15）,http://stock.eastmoney.com/a/202405163077871094.html,2
2024-05-15,中国联通：公司董事会换届 提名董事候选人13名,http://finance.eastmoney.com/a/202405153077712386.html,0
2024-05-15,中国联通：公司董事会换届 提名董事候选人13名,http://finance.eastmoney.com/a/202405153077712562.html,0
2024-05-15,中国联通：公司董事会换届 提名董事候选人13名,http://finance.eastmoney.com/a/202405153077710656.html,0
2024-05-15,中国联通：5月15日召开董事会会议,http://finance.eastmoney.com/a/202405153077702589.html,0
2024-05-15,中国联通05月14日被沪股通减持1404.42万股,http://stock.eastmoney.com/a/202405153076948415.html,1
2024-05-15,中国联通：融资净买入2414.96万元，融资余额24.05亿元（05-14）,http://stock.eastmoney.com/a/202405153076522841.html,2
2024-05-14,中国联通：融资净买入1464.97万元，融资余额23.81亿元（05-13）,http://stock.eastmoney.com/a/202405143075418236.html,2
2024-05-11,中国联通联合中兴通讯完成业界首个5G-A灵活帧结构技术真实场景验证,http://finance.eastmoney.com/a/202405113073769863.html,3
2024-05-11,中国联通：融资净偿还2613.34万元，融资余额23.67亿元（05-10）,http://stock.eastmoney.com/a/202405113073588361.html,-1
2024-05-10,中国联通智能路由器VS017正式上市,http://finance.eastmoney.com/a/202405103072630450.html,2
2024-05-10,港股电信股集体走高，中国联通涨超4%,http://finance.eastmoney.com/a/202405103072537985.html,3
2024-05-10,中国联通：融资净偿还1379万元，融资余额23.93亿元（05-09）,http://stock.eastmoney.com/a/202405103072076995.html,-1
2024-05-10,中国联通05月09日被沪股通减持1508.65万股,http://stock.eastmoney.com/a/202405103071845853.html,-2
2024-05-09,中国联通：融资净买入1865.39万元，融资余额24.06亿元（05-08）,http://stock.eastmoney.com/a/202405093070841439.html,1
2024-05-09,中国联通05月08日被沪股通减持982.84万股,http://stock.eastmoney.com/a/202405093070495295.html,-3
2024-05-08,中国联通：融资净偿还393.94万元，融资余额23.88亿元（05-07）,http://stock.eastmoney.com/a/202405083069447630.html,3
2024-05-07,中国联通原总经理李国华受贿、滥用职权案件一审被判16年,http://finance.eastmoney.com/a/202405073069054539.html,-3
2024-05-07,5月车市预计总体向好；中国联通推出车联网AI大模型丨明日主题前瞻,http://stock.eastmoney.com/a/202405073069053187.html,3
2024-05-07,中国贸促会会长任鸿斌赴中国联通调研,http://finance.eastmoney.com/a/202405073069028669.html,2
2024-05-07,中国贸促会会长任鸿斌赴中国联通调研,http://finance.eastmoney.com/a/202405073069028454.html,2
