发布时间,新闻标题,URL,影响评分
2024-04-24,中航沈飞：连续3日融资净偿还累计2536.45万元（04-23）,http://stock.eastmoney.com/a/202404243056763296.html,-2
2024-04-23,大宗交易：中航沈飞成交223.56万元，成交价38.02元（04-23）,http://stock.eastmoney.com/a/202404233056064243.html,0
2024-04-23,国防军工行业资金流出榜：中国船舶、七一二等净流出资金居前,http://finance.eastmoney.com/a/202404233056014381.html,1
2024-04-23,A股三大指数缩量下跌 教育板块领涨 贵金属、有色金属走弱,http://finance.eastmoney.com/a/202404233055752894.html,0
2024-04-23,低空经济利好频出，高端装备ETF(159638)有望长期收益,http://stock.eastmoney.com/a/202404233055731648.html,1
2024-04-23,东吴证券：看好军工行业反转机会,http://finance.eastmoney.com/a/202404233055247698.html,3
2024-04-23,中航沈飞：融资净偿还1325.47万元，融资余额9.25亿元（04-22）,http://stock.eastmoney.com/a/202404233055171170.html,-2
2024-04-22,亚星锚链2023年度分配预案：拟10派1.05元,http://finance.eastmoney.com/a/202404223054636279.html,0
2024-04-22,逆势涨停潮！军工大爆发 北向提前布局43股,http://finance.eastmoney.com/a/202404223054515233.html,3
2024-04-22,主力动向：4月22日特大单净流出100.20亿元,http://finance.eastmoney.com/a/202404223054444942.html,0
2024-04-22,中航沈飞：业绩说明会定于5月6日举行,http://finance.eastmoney.com/a/202404223054338067.html,0
2024-04-22,国防军工行业资金流入榜：中兵红箭、七一二等净流入资金居前,http://finance.eastmoney.com/a/202404223054319334.html,0
2024-04-22,中央汇金大手笔买入多只ETF 合计超3100亿元 多位知名基金经理一季报持仓曝光,http://finance.eastmoney.com/a/202404223054223379.html,2
2024-04-22,民族品牌指数收涨0.35% 科沃斯上涨6.54%,http://stock.eastmoney.com/a/202404223054217913.html,2
2024-04-22,刘彦春、李晓星、赵蓓 一季度最新调仓情况曝光！,http://finance.eastmoney.com/a/202404223054174463.html,3
2024-04-22,军工板块获主力加仓超11亿元，机构建议把握反弹机会,http://finance.eastmoney.com/a/202404223054165828.html,2
2024-04-22,午前权重股突现跳水 沪指半日收跌0.47%,http://stock.eastmoney.com/a/202404223054107420.html,2
2024-04-22,巨丰午评：市场反弹遇阻 农业、消费板块活跃,http://finance.eastmoney.com/a/202404223054155642.html,2
2024-04-22,央企科技ETF涨幅达2.19% 机构战略看多央企的投资机会,http://finance.eastmoney.com/a/202404223054066454.html,2
2024-04-22,品牌工程指数上周涨1.34%,http://finance.eastmoney.com/a/202404223053325460.html,2
2024-04-20,中航沈飞：融资净偿还397.96万元，融资余额9.38亿元（04-19）,http://stock.eastmoney.com/a/202404203052836464.html,3
2024-04-19,国防军工行业资金流入榜：中船科技等8股净流入资金超3000万元,http://stock.eastmoney.com/a/202404193052217272.html,0
2024-04-19,中航沈飞：融资净买入178.6万元，融资余额9.42亿元（04-18）,http://stock.eastmoney.com/a/202404193051201435.html,2
2024-04-18,中航沈飞：融资净偿还259.09万元，融资余额9.41亿元（04-17）,http://stock.eastmoney.com/a/202404183049621187.html,-2
2024-04-17,中航沈飞：融资净买入167.47万元，融资余额9.43亿元（04-16）,http://stock.eastmoney.com/a/202404173047575779.html,1
2024-04-16,140股今日获机构买入评级,http://finance.eastmoney.com/a/202404163046935531.html,4
2024-04-16,中航沈飞：融资净偿还59.04万元，融资余额9.42亿元（04-15）,http://stock.eastmoney.com/a/202404163045317224.html,0
2024-04-15,中航沈飞：获评“2023年上市公司投资者关系管理最佳实践”奖,http://finance.eastmoney.com/a/202404153044407482.html,2
2024-04-13,山东证监局持续推进上市公司调研：现场办公集中“会诊” 切实解决企业困难,http://finance.eastmoney.com/a/202404133043139449.html,2
2024-04-13,山东开展新一轮上市公司走访调研 推动解决企业难题,http://finance.eastmoney.com/a/202404133043135521.html,2
2024-04-13,山东开展新一轮上市公司走访调研 助力企业高质量发展,http://finance.eastmoney.com/a/202404133043056540.html,2
2024-04-13,中航沈飞：融资净偿还530.26万元，融资余额9.42亿元（04-12）,http://stock.eastmoney.com/a/202404133042918225.html,3
2024-04-12,中航沈飞：融资净买入575.54万元，融资余额9.47亿元（04-11）,http://stock.eastmoney.com/a/202404123041525654.html,4
2024-04-11,中航沈飞：融资净买入949.2万元，融资余额9.42亿元（04-10）,http://stock.eastmoney.com/a/202404113040001496.html,4
2024-04-10,中航沈飞：融资净偿还1029.88万元，融资余额9.32亿元（04-09）,http://stock.eastmoney.com/a/202404103038391839.html,-2
2024-04-09,107股今日获机构买入评级,http://finance.eastmoney.com/a/202404093037761586.html,0
2024-04-09,198家公司获机构调研（附名单）,http://finance.eastmoney.com/a/202404093037242715.html,0
2024-04-09,中航沈飞：融资净买入2127.28万元，融资余额9.42亿元（04-08）,http://stock.eastmoney.com/a/202404093036987215.html,2
2024-04-09,中航沈飞04月08日被沪股通减持61.35万股,http://stock.eastmoney.com/a/202404093036615136.html,-2
2024-04-08,87股今日获机构买入评级 7股上涨空间超50%,http://finance.eastmoney.com/a/202404083036508340.html,0
2024-04-08,220家公司获机构调研（附名单）,http://stock.eastmoney.com/a/202404083035673751.html,0
2024-04-07,科创辽宁周报：辽宁基金参设盛京英才基金，完成对冷芯半导体首笔股权投资；航空工业飞行器机体快速研制中试验证平台在沈阳成立,http://finance.eastmoney.com/a/202404073035182595.html,2
2024-04-04,中航沈飞：融资净偿还122.16万元，融资余额9.21亿元（04-03）,http://stock.eastmoney.com/a/202404043034750392.html,-2
2024-04-03,133股今日获机构买入评级 5股上涨空间超50%,http://finance.eastmoney.com/a/202404033034249773.html,0
2024-04-03,中航沈飞：融资净买入3349.05万元，融资余额9.22亿元（04-02）,http://stock.eastmoney.com/a/202404033033408682.html,2
2024-04-02,176股今日获机构买入评级,http://stock.eastmoney.com/a/202404023032675349.html,0
2024-04-02,中泰证券给予中航沈飞买入评级，盈利能力再创新高，航空链长地位凸显,http://finance.eastmoney.com/a/202404023032122531.html,3
2024-04-02,中航沈飞：融资净买入2320.63万元，融资余额8.89亿元（04-01）,http://stock.eastmoney.com/a/202404023031898076.html,2
2024-04-01,55股今日获机构买入评级 15股上涨空间超20%,http://stock.eastmoney.com/a/202404013031552919.html,0
2024-04-01,国防军工行业今日净流出资金11.81亿元，光启技术等11股净流出资金超3000万元,http://finance.eastmoney.com/a/202404013031550351.html,-2
2024-04-01,【调研快报】中航沈飞接待国泰君安证券等多家机构调研,http://stock.eastmoney.com/a/202404013031282026.html,2
2024-03-31,“消费男神”胡昕炜如何调仓？2023年遗憾科技、低估值板块配置较低,http://finance.eastmoney.com/a/202403313030424273.html,0
