发布时间,新闻标题,URL,影响评分
2024-05-17,新冠影响出清？复星医药：海外业务收入占比将持续提升|直击业绩会,http://finance.eastmoney.com/a/202405173080300640.html,2
2024-05-17,复星医药：融资净偿还159.89万元，融资余额22.15亿元（05-16）,http://stock.eastmoney.com/a/202405173079328121.html,0
2024-05-17,复星医药05月16日被沪股通减持68.12万股,http://stock.eastmoney.com/a/202405173079003612.html,-1
2024-05-16,复星医药：融资净买入417.82万元，融资余额22.17亿元（05-15）,http://stock.eastmoney.com/a/202405163077868372.html,2
2024-05-15,复星医药子公司复星健康将获佛山禅西城投3亿元增资,http://finance.eastmoney.com/a/202405153077489125.html,2
2024-05-15,中国医药董事长、副董事长辞职；复星医药、恒瑞医药新药获批临床试验丨医药上市公司追踪,http://finance.eastmoney.com/a/202405153077360663.html,2
2024-05-15,复星医药：融资余额22.13亿元，创近一年新低（05-14）,http://stock.eastmoney.com/a/202405153076528022.html,-2
2024-05-14,复星医药：子公司拉索昔芬片临床试验获批,http://finance.eastmoney.com/a/202405143076356467.html,2
2024-05-14,复星医药：控股子公司复星健康签订增资扩股协议,http://finance.eastmoney.com/a/202405143076325825.html,1
2024-05-14,复星医药：佛山禅西城投拟对复星健康增资,http://finance.eastmoney.com/a/202405143076260923.html,2
2024-05-14,复星医药：控股子公司复星健康签订增资扩股协议,http://finance.eastmoney.com/a/202405143076254838.html,1
2024-05-14,复星医药：子公司HLX78获药品临床试验批准,http://finance.eastmoney.com/a/202405143076251282.html,2
2024-05-14,复星医药：控股子公司签订增资扩股协议,http://finance.eastmoney.com/a/202405143076251727.html,2
2024-05-14,复星医药：控股子公司HLX78获药品临床试验批准,http://finance.eastmoney.com/a/202405143076248661.html,2
2024-05-14,复星医药：融资余额22.2亿元，创近一年新低（05-13）,http://stock.eastmoney.com/a/202405143075385698.html,-1
2024-05-11,复星医药：融资余额22.21亿元，创近一年新低（05-10）,http://stock.eastmoney.com/a/202405113073542648.html,-2
2024-05-10,复星医药：融资余额22.26亿元，创近一年新低（05-09）,http://stock.eastmoney.com/a/202405103072088059.html,-1
2024-05-09,复星医药：子公司阿立哌唑口崩片上市注册申请获批,http://finance.eastmoney.com/a/202405093071679143.html,2
2024-05-09,复星医药：子公司阿立哌唑口崩片获药品注册批准,http://finance.eastmoney.com/a/202405093071624754.html,2
2024-05-09,复星医药：子公司阿立哌唑口崩片获药品注册批准,http://finance.eastmoney.com/a/202405093071623417.html,2
2024-05-09,复星医药子公司阿立哌唑口崩片上市注册申请获批,http://finance.eastmoney.com/a/202405093071622885.html,2
2024-05-09,复星医药：融资余额22.5亿元，创近一年新低（05-08）,http://stock.eastmoney.com/a/202405093070763495.html,-2
2024-05-08,复星医药：融资余额22.54亿元，创近一年新低（05-07）,http://stock.eastmoney.com/a/202405083069457042.html,-1
2024-05-07,复星医药：融资余额22.64亿元，创近一年新低（05-06）,http://stock.eastmoney.com/a/202405073068043611.html,-2
2024-05-06,复星医药：子公司获美国FDA药品临床试验批准,http://finance.eastmoney.com/a/202405063067616623.html,2
2024-05-06,复星医药：控股子公司获美国FDA药品临床试验批准,http://finance.eastmoney.com/a/202405063067465939.html,2
2024-05-06,复星医药：控股子公司获美国FDA药品临床试验批准,http://finance.eastmoney.com/a/202405063067457621.html,2
2024-05-01,复星医药：融资余额22.68亿元，创近一年新低（04-30）,http://stock.eastmoney.com/a/202405013066009739.html,-2
2024-04-30,复星医药：融资余额22.73亿元，创近一年新低（04-29）,http://stock.eastmoney.com/a/202404303064704088.html,-2
2024-04-29,复星医药：一季度营业收入101.57亿元,http://finance.eastmoney.com/a/202404293064217681.html,2
2024-04-29,复星医药2024年一季度创新产品加速兑现 持续推进创新转型,http://finance.eastmoney.com/a/202404293064043319.html,4
2024-04-29,复星医药：一季度净利润6.1亿元 同比下降38.22%,http://finance.eastmoney.com/a/202404293063916522.html,-3
2024-04-29,复星医药：一季度净利润6.1亿元 同比下降38.22%,http://finance.eastmoney.com/a/202404293063912914.html,-3
2024-04-27,复星医药：融资余额22.74亿元，创近一年新低（04-26）,http://stock.eastmoney.com/a/202404273061989943.html,-2
2024-04-27,复星医药04月26日获沪股通增持54.67万股,http://stock.eastmoney.com/a/202404273061670124.html,2
2024-04-26,复星医药：融资余额22.87亿元，创近一年新低（04-25）,http://stock.eastmoney.com/a/202404263060260244.html,-2
2024-04-26,复星医药04月25日获沪股通增持68.12万股,http://stock.eastmoney.com/a/202404263059912462.html,2
2024-04-25,复星医药：融资净偿还160.29万元，融资余额22.99亿元（04-24）,http://stock.eastmoney.com/a/202404253058500744.html,0
2024-04-24,复星医药：子公司环丝氨酸胶囊上市注册申请获批,http://finance.eastmoney.com/a/202404243057803113.html,2
2024-04-24,复星医药：子公司环丝氨酸胶囊上市注册申请获批,http://finance.eastmoney.com/a/202404243057829559.html,2
2024-04-24,"复星医药：截至目前 健嘉医疗及其控股子公司/机构共有员工约2,000人",http://finance.eastmoney.com/a/202404243057798925.html,0
2024-04-24,复星医药：控股子公司获环丝氨酸胶囊药品注册批准,http://finance.eastmoney.com/a/202404243057687893.html,2
2024-04-24,复星医药：融资净买入423.33万元，融资余额23.01亿元（04-23）,http://stock.eastmoney.com/a/202404243056719910.html,2
2024-04-23,复星医药：融资净偿还1124.82万元，融资余额22.97亿元（04-22）,http://stock.eastmoney.com/a/202404233055211917.html,-1
2024-04-20,复星医药：融资净买入279.99万元，融资余额23.08亿元（04-19）,http://stock.eastmoney.com/a/202404203052800629.html,1
2024-04-19,复星医药：融资净买入1281.29万元，融资余额23.05亿元（04-18）,http://stock.eastmoney.com/a/202404193051171741.html,1
2024-04-18,复星医药：收到药品临床试验批准,http://finance.eastmoney.com/a/202404183050435997.html,2
2024-04-18,复星医药：膦甲酸钠注射液药品注册申请获受理,http://finance.eastmoney.com/a/202404183050365451.html,2
2024-04-18,复星医药：融资余额22.92亿元，创近一年新低（04-17）,http://stock.eastmoney.com/a/202404183049564823.html,-1
2024-04-17,复星医药子公司获药品临床试验批准,http://finance.eastmoney.com/a/202404173049073544.html,2
2024-04-17,复星医药：控股子公司获药物临床试验批准,http://finance.eastmoney.com/a/202404173048839083.html,2
2024-04-17,复星医药：子公司膦甲酸钠注射液药品注册申请获受理,http://finance.eastmoney.com/a/202404173048829046.html,2
2024-04-17,复星医药：融资余额22.95亿元，创近一年新低（04-16）,http://stock.eastmoney.com/a/202404173047497293.html,-2
2024-04-17,复星医药04月16日获沪股通增持53.1万股,http://stock.eastmoney.com/a/202404173047223746.html,2
2024-04-16,复星医药：融资余额23.01亿元，创近一年新低（04-15）,http://stock.eastmoney.com/a/202404163045346492.html,-2
2024-04-16,复星医药04月15日获沪股通增持62.85万股,http://stock.eastmoney.com/a/202404163044980754.html,2
2024-04-13,复星医药：融资净买入390.16万元，融资余额23.14亿元（04-12）,http://stock.eastmoney.com/a/202404133042900390.html,1
2024-04-12,复星医药：连续3日融资净偿还累计1581.68万元（04-11）,http://stock.eastmoney.com/a/202404123041468843.html,-1
2024-04-12,复星医药04月11日被沪股通减持75.18万股,http://stock.eastmoney.com/a/202404123041112234.html,-1
2024-04-11,复星医药等50亿元成立生物医药产业私募合伙企业,http://finance.eastmoney.com/a/202404113040762236.html,2
2024-04-11,复星医药：融资净偿还197.31万元，融资余额23.1亿元（04-10）,http://stock.eastmoney.com/a/202404113039978420.html,0
2024-04-10,复星医药：本集团实际对外担保金额折合人民币约266.19亿元,http://finance.eastmoney.com/a/202404103039396069.html,-2
2024-04-10,复星医药：融资净偿还1376.69万元，融资余额23.12亿元（04-09）,http://stock.eastmoney.com/a/202404103038342988.html,-1
2024-04-10,复星医药04月09日获沪股通增持60.82万股,http://stock.eastmoney.com/a/202404103038016373.html,2
2024-04-09,中泰证券给予复星医药买入评级 剔除新冠营收增长 多重改善利润弹性大,http://finance.eastmoney.com/a/202404093037399556.html,2
2024-04-09,复星医药：融资净买入1678.97万元，融资余额23.26亿元（04-08）,http://stock.eastmoney.com/a/202404093036956557.html,2
2024-04-09,复星医药04月08日被沪股通减持87.69万股,http://stock.eastmoney.com/a/202404093036586517.html,-2
2024-04-08,复星医药：子公司药品注册申请获受理,http://finance.eastmoney.com/a/202404083036505322.html,2
2024-04-08,复星医药：控股子公司药品注册申请获受理,http://finance.eastmoney.com/a/202404083036471587.html,2
2024-04-08,复星医药子公司获药品注册申请受理,http://finance.eastmoney.com/a/202404083036446362.html,2
2024-04-08,复星医药：控股子公司获药品注册申请受理,http://finance.eastmoney.com/a/202404083036238080.html,2
2024-04-08,复星医药：控股子公司地拉罗司颗粒、地拉罗司片药品注册申请获受理,http://finance.eastmoney.com/a/202404083036251987.html,2
2024-04-04,复星医药：融资余额23.09亿元，创近一年新低（04-03）,http://stock.eastmoney.com/a/202404043034697533.html,-1
2024-04-03,【调研快报】复星医药接待太平资管等多家机构调研,http://stock.eastmoney.com/a/202404033034303798.html,2
2024-04-03,复星医药：2023年新获批上市创新产品进院节奏均超预期,http://finance.eastmoney.com/a/202404033034296266.html,2
2024-04-03,深圳引导基金与复星医药合资基金成立 出资额50亿元,http://finance.eastmoney.com/a/202404033033963280.html,2
2024-04-03,复星医药：融资余额23.16亿元，创近一年新低（04-02）,http://stock.eastmoney.com/a/202404033033363655.html,-1
2024-04-02,复星医药：融资余额23.23亿元，创近一年新低（04-01）,http://stock.eastmoney.com/a/202404023031840194.html,-1
2024-03-30,复星医药：融资余额23.33亿元，创近一年新低（03-29）,http://stock.eastmoney.com/a/202403303030003422.html,-1
2024-03-29,复星医药吴以芳：抗疫产品需求下降对2024年基本不会再有影响,http://finance.eastmoney.com/a/202403293029289394.html,2
2024-03-29,复星医药：连续4日融资净偿还累计2277.65万元（03-28）,http://stock.eastmoney.com/a/202403293028708216.html,-1
2024-03-29,复星医药03月28日获沪股通增持73.95万股,http://stock.eastmoney.com/a/202403293028337710.html,2
2024-03-28,复星医药2024年拟轻装上阵 推进创新产品落地,http://finance.eastmoney.com/a/202403283027989066.html,-2
2024-03-28,复星医药：本集团实际对外担保折合人民币约265.64亿元,http://finance.eastmoney.com/a/202403283027935464.html,-2
2024-03-28,复星医药董事长吴以芳：针对不同市场选择最合适的方式出海,http://finance.eastmoney.com/a/202403283027886026.html,2
2024-03-28,新冠产品拖累2023年业绩，复星医药董事长：最困难时刻已经过去,http://finance.eastmoney.com/a/202403283027682243.html,-2
2024-03-28,抗疫类产品收入大幅下降拖累业绩 复星医药今年力争创新药收入过百亿|直击业绩会,http://finance.eastmoney.com/a/202403283027746493.html,-2
2024-03-28,复星医药：连续3日融资净偿还累计1760.95万元（03-27）,http://stock.eastmoney.com/a/202403283026836669.html,-2
2024-03-27,复星医药董事长吴以芳回应去年营收下滑：新冠产品需求下降造成的影响现已基本消除,http://finance.eastmoney.com/a/202403273026535533.html,-2
2024-03-27,突围艰难一年 复星医药10亿元单品加减法,http://finance.eastmoney.com/a/202403273026445285.html,-2
2024-03-27,复星医药董事长：抗疫产品影响基本消化 仿制药与创新药并进,http://finance.eastmoney.com/a/202403273026346619.html,-1
2024-03-27,复星医药2023营收超400亿元 如何加速推进创新转型？,http://finance.eastmoney.com/a/202403273026300540.html,-2
2024-03-27,复星医药2023年营收达到414亿元,http://finance.eastmoney.com/a/202403273025783860.html,2
2024-03-27,复星医药(600196.SH)：2023年全年实现净利润23.86亿元 同比下降36.04%,http://finance.eastmoney.com/a/202403273025693852.html,-2
2024-03-27,复星医药：融资净偿还619.67万元，融资余额23.58亿元（03-26）,http://stock.eastmoney.com/a/202403273025237290.html,0
2024-03-26,药企年报解读|新冠业务拖累复星医药业绩 销售费用增至97亿,http://finance.eastmoney.com/a/202403263024799510.html,-2
2024-03-26,复星医药2023年加速创新产品本土化 进一步夯实全球运营能力,http://finance.eastmoney.com/a/202403263024795726.html,4
