发布时间,新闻标题,URL,影响评分
18:32,机构现身龙虎榜，天微电子涨停（04-24）,http://stock.eastmoney.com/a/202404243057759292.html,3
18:29,天微电子4月24日龙虎榜数据,http://finance.eastmoney.com/a/202404243057759043.html,1
16:54,天微电子(688511)龙虎榜数据(04-24),http://stock.eastmoney.com/a/202404243057653961.html,2
11:27,天微电子涨停 6只科创板股涨超10%,http://stock.eastmoney.com/a/202404243057325896.html,2
11:03,军工信息化概念延续近期强势，天微电子20CM涨停,http://finance.eastmoney.com/a/202404243057312432.html,3
10:55,军工信息化概念延续强势 天微电子20CM涨停,http://stock.eastmoney.com/a/202404243057292656.html,3
07:36,天微电子：融资净偿还171.56万元，融资余额4932.59万元（04-23）,http://stock.eastmoney.com/a/202404243056730198.html,1
2024-04-23,天微电子：融资净偿还366.77万元，创近一年新高（04-22）,http://stock.eastmoney.com/a/202404233055127514.html,-2
2024-04-20,天微电子：融资净买入80.95万元，融资余额5470.92万元（04-19）,http://stock.eastmoney.com/a/202404203052929640.html,2
2024-04-19,天微电子：融资净买入93.89万元，融资余额5389.98万元（04-18）,http://stock.eastmoney.com/a/202404193051298431.html,2
2024-04-18,天微电子：融资净偿还34.01万元，融资余额5296.08万元（04-17）,http://stock.eastmoney.com/a/202404183049546969.html,3
2024-04-17,天微电子：融资净买入91.88万元，融资余额5330.09万元（04-16）,http://stock.eastmoney.com/a/202404173047640484.html,1
2024-04-16,天微电子：融资净买入32.17万元，融资余额5238.21万元（04-15）,http://stock.eastmoney.com/a/202404163045300297.html,3
2024-04-13,天微电子：连续4日融资净偿还累计153.49万元（04-12）,http://stock.eastmoney.com/a/202404133042879880.html,-2
2024-04-12,天微电子：连续3日融资净偿还累计137.85万元（04-11）,http://stock.eastmoney.com/a/202404123041447716.html,-2
2024-04-11,天微电子：融资净偿还56.87万元，融资余额5239.67万元（04-10）,http://stock.eastmoney.com/a/202404113039967526.html,-2
2024-04-10,天微电子：融资净偿还62.98万元，融资余额5296.54万元（04-09）,http://stock.eastmoney.com/a/202404103038348565.html,-2
2024-04-09,天微电子：融资净买入116.46万元，融资余额5359.52万元（04-08）,http://stock.eastmoney.com/a/202404093036925617.html,1
2024-04-04,天微电子：融资净买入26.39万元，融资余额5243.06万元（04-03）,http://stock.eastmoney.com/a/202404043034814172.html,2
2024-04-03,天微电子：连续4日融资净偿还累计63.2万元（04-02）,http://stock.eastmoney.com/a/202404033033371214.html,-2
2024-04-02,天微电子：连续3日融资净偿还累计55.13万元（04-01）,http://stock.eastmoney.com/a/202404023031817643.html,-2
2024-03-30,天微电子：融资净偿还8.52万元，融资余额5270.96万元（03-29）,http://stock.eastmoney.com/a/202403303030145994.html,2
2024-03-29,天微电子：融资净偿还3940元，融资余额5279.48万元（03-28）,http://stock.eastmoney.com/a/202403293028652513.html,-2
2024-03-28,天微电子：融资净买入62.5万元，融资余额5279.87万元（03-27）,http://stock.eastmoney.com/a/202403283026981843.html,2
2024-03-27,天微电子：融资净买入127.33万元，融资余额5217.37万元（03-26）,http://stock.eastmoney.com/a/202403273025229794.html,2
2024-03-26,天微电子：连续6日融资净偿还累计701.14万元（03-25）,http://stock.eastmoney.com/a/202403263023642638.html,0
2024-03-23,天微电子：连续5日融资净偿还累计652.75万元（03-22）,http://stock.eastmoney.com/a/202403233021845567.html,-2
2024-03-22,天微电子：连续4日融资净偿还累计634万元（03-21）,http://stock.eastmoney.com/a/202403223020316432.html,-2
2024-03-21,天微电子：连续3日融资净偿还累计580.77万元（03-20）,http://stock.eastmoney.com/a/202403213018745517.html,-2
2024-03-20,天微电子：融资净偿还154.78万元，融资余额5423.52万元（03-19）,http://stock.eastmoney.com/a/202403203017394145.html,-1
2024-03-19,天微电子：融资净偿还212.89万元，融资余额5578.3万元（03-18）,http://stock.eastmoney.com/a/202403193015995278.html,2
2024-03-16,天微电子：融资净买入101.23万元，融资余额5791.18万元（03-15）,http://stock.eastmoney.com/a/202403163014151385.html,2
