发布时间,新闻标题,URL,影响评分
2024-05-16,山东黄金：融资净买入1827.06万元，融资余额11.46亿元（05-15）,http://stock.eastmoney.com/a/202405163077965289.html,1
2024-05-15,银泰黄金：山东黄金增持公司股份约1.61亿股 增持计划实施完毕,http://finance.eastmoney.com/a/202405153077649639.html,3
2024-05-15,注意！山东黄金将于6月6日召开股东大会,http://finance.eastmoney.com/a/202405153077641074.html,0
2024-05-15,山东黄金：融资净买入3120.37万元，融资余额11.28亿元（05-14）,http://stock.eastmoney.com/a/202405153076565613.html,2
2024-05-14,山东黄金：融资净偿还2010.88万元，融资余额10.96亿元（05-13）,http://stock.eastmoney.com/a/202405143075378552.html,-1
2024-05-11,恒丰银行与山东黄金集团签署战略合作协议,http://finance.eastmoney.com/a/202405113073705397.html,2
2024-05-11,山东黄金：融资净买入5706.61万元，两市排名第14（05-10）,http://stock.eastmoney.com/a/202405113073523979.html,2
2024-05-11,山东黄金05月10日被沪股通减持428.04万股,http://stock.eastmoney.com/a/202405113073191664.html,-3
2024-05-10,山东黄金：融资净偿还290.35万元，融资余额10.59亿元（05-09）,http://stock.eastmoney.com/a/202405103072092791.html,-1
2024-05-10,山东黄金05月09日被沪股通减持182.82万股,http://stock.eastmoney.com/a/202405103071821091.html,4
2024-05-09,山东黄金：融资净买入937.34万元，融资余额10.62亿元（05-08）,http://stock.eastmoney.com/a/202405093070754423.html,1
2024-05-08,山东黄金：融资净偿还1598.21万元，融资余额10.53亿元（05-07）,http://stock.eastmoney.com/a/202405083069421086.html,-1
2024-05-07,避险需求再度升温，行业最大黄金股ETF(517520)强势续涨超1%，山东黄金、湖南黄金等纷纷走高,http://finance.eastmoney.com/a/202405073068573928.html,3
2024-05-07,山东黄金：融资净买入5147.86万元，融资余额10.69亿元（05-06）,http://stock.eastmoney.com/a/202405073068091839.html,2
2024-05-07,山东黄金05月06日被沪股通减持135.78万股,http://stock.eastmoney.com/a/202405073067715036.html,-2
2024-05-06,非农数据超预期疲软，行业最大黄金股ETF(517520)探底回升强势翻红，权重股山东黄金涨超4%！,http://finance.eastmoney.com/a/202405063067259955.html,3
2024-05-01,山东黄金：连续4日融资净偿还累计6686.58万元（04-30）,http://stock.eastmoney.com/a/202405013065949455.html,-2
2024-04-30,山东黄金：连续3日融资净偿还累计6466.06万元（04-29）,http://stock.eastmoney.com/a/202404303064727447.html,-2
2024-04-30,山东黄金04月29日获沪股通增持169.47万股,http://stock.eastmoney.com/a/202404303064368580.html,2
2024-04-29,金价狂飙，11家黄金企业一季度赚超90亿！多家今年要扩产 山东黄金增速超10%,http://finance.eastmoney.com/a/202404293063972637.html,3
2024-04-27,山东黄金：2024年第一季度净利润约7亿元,http://finance.eastmoney.com/a/202404273062196317.html,3
2024-04-27,山东黄金：4月26日召开董事会会议,http://finance.eastmoney.com/a/202404273062179352.html,0
2024-04-27,山东黄金：公司为全资子公司香港公司提供的担保总额为18亿美元,http://finance.eastmoney.com/a/202404273062180667.html,-2
