发布时间,新闻标题,URL,影响评分
2024-05-16,海外BD再传捷报！恒瑞医药GLP-1类创新药组合实现海外许可,http://finance.eastmoney.com/a/202405163078964428.html,3
2024-05-16,恒瑞医药海外BD“再下一城” GLP-1类创新药组合实现海外许可,http://finance.eastmoney.com/a/202405163078947060.html,3
2024-05-16,恒瑞医药GLP-1类创新药组合实现海外许可,http://finance.eastmoney.com/a/202405163078931866.html,4
2024-05-16,恒瑞医药：将取得美国Hercules公司19.9%股权,http://finance.eastmoney.com/a/202405163078884167.html,2
2024-05-16,恒瑞医药：将GLP-1产品组合有偿许可给美国Hercules公司,http://finance.eastmoney.com/a/202405163078868960.html,3
2024-05-16,恒瑞医药：将取得美国Hercules公司19.9%的股权,http://finance.eastmoney.com/a/202405163078822074.html,3
2024-05-16,恒瑞医药：将取得美国Hercules公司19.9%的股权,http://finance.eastmoney.com/a/202405163078816896.html,2
2024-05-16,恒瑞医药：本次回购股份事项完成,http://finance.eastmoney.com/a/202405163078786973.html,2
2024-05-16,恒瑞医药：拟以6亿元—12亿元回购公司股份,http://finance.eastmoney.com/a/202405163078676742.html,3
2024-05-16,恒瑞医药：连续3日融资净买入累计5507.91万元（05-15）,http://stock.eastmoney.com/a/202405163078024394.html,2
2024-05-15,恒瑞医药：拟6亿元至12亿元回购股份 回购价格不超过67.38元/股,http://finance.eastmoney.com/a/202405153077811525.html,2
2024-05-15,恒瑞医药拟6亿至12亿元回购股份 用于员工持股计划,http://finance.eastmoney.com/a/202405153077797324.html,2
2024-05-15,公告精选：*ST世茂拟终止上市；恒瑞医药拟6亿元至12亿元回购股份,http://finance.eastmoney.com/a/202405153077795230.html,2
2024-05-15,恒瑞医药拟斥资6.00亿元至12.00亿元回购股份,http://finance.eastmoney.com/a/202405153077785689.html,2
2024-05-15,5月16日十大利好公告：恒瑞医药拟以6亿元-12亿元回购股份,http://finance.eastmoney.com/a/202405153077782085.html,2
2024-05-15,5月16日上市公司重要公告集锦：恒瑞医药拟6亿元至12亿元回购股份,http://finance.eastmoney.com/a/202405153077766383.html,2
2024-05-15,5月15日晚间公告汇总：恒瑞医药拟6亿元-12亿元回购公司股份,http://finance.eastmoney.com/a/202405153077763050.html,2
2024-05-15,上次回购花了6.35亿元 “药茅”恒瑞医药又出手 拟6亿元~12亿元回购股份,http://finance.eastmoney.com/a/202405153077762898.html,3
2024-05-15,恒瑞医药：拟以6亿元-12亿元回购股份,http://finance.eastmoney.com/a/202405153077746860.html,2
2024-05-15,恒瑞医药：5月15日召开董事会会议,http://finance.eastmoney.com/a/202405153077713061.html,2
2024-05-15,恒瑞医药：拟6亿元—12亿元回购股份,http://finance.eastmoney.com/a/202405153077710844.html,3
2024-05-15,恒瑞医药：拟回购不低于6亿元且不超过12亿元公司股份,http://finance.eastmoney.com/a/202405153077710231.html,3
2024-05-15,恒瑞医药：拟6亿元-12亿元回购公司股份,http://finance.eastmoney.com/a/202405153077708093.html,2
2024-05-15,恒瑞医药：拟回购6亿元-12亿元公司股份 回购价不超67.38元/股,http://finance.eastmoney.com/a/202405153077705658.html,3
2024-05-15,恒瑞医药：拟6亿元-12亿元回购公司股份,http://finance.eastmoney.com/a/202405153077701278.html,3
2024-05-15,恒瑞医药：累计回购约1435万股,http://finance.eastmoney.com/a/202405153077674823.html,1
2024-05-15,中国医药董事长、副董事长辞职；复星医药、恒瑞医药新药获批临床试验丨医药上市公司追踪,http://finance.eastmoney.com/a/202405153077360663.html,2
2024-05-15,恒瑞医药：融资净买入2254.82万元，融资余额33.99亿元（05-14）,http://stock.eastmoney.com/a/202405153076523989.html,2
2024-05-14,恒瑞医药：子公司SHR-2173注射液药物临床试验获批,http://finance.eastmoney.com/a/202405143076272091.html,2
2024-05-14,恒瑞医药：SHR-2173注射液临床试验获批,http://finance.eastmoney.com/a/202405143076253713.html,3
2024-05-14,恒瑞医药：获得《药物临床试验批准通知书》,http://finance.eastmoney.com/a/202405143076240150.html,2
2024-05-14,恒瑞医药：子公司SHR-2173注射液药物临床试验获批,http://finance.eastmoney.com/a/202405143076234040.html,2
2024-05-14,恒瑞医药：子公司获得药物临床试验批准通知书,"http://finance.eastmoney.com/news/1354,202405143076236384.html",2
2024-05-14,恒瑞医药：子公司获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202405143076218747.html,2
2024-05-14,恒瑞医药：融资净买入1492.44万元，融资余额33.77亿元（05-13）,http://stock.eastmoney.com/a/202405143075361430.html,1
2024-05-14,恒瑞医药05月13日获沪股通增持473万股,http://stock.eastmoney.com/a/202405143075069652.html,2
2024-05-11,恒瑞医药：融资净偿还105.64万元，融资余额33.62亿元（05-10）,http://stock.eastmoney.com/a/202405113073526033.html,-1
2024-05-10,恒瑞医药：融资净买入1082.45万元，融资余额33.63亿元（05-09）,http://stock.eastmoney.com/a/202405103072094832.html,1
2024-05-09,恒瑞医药：HRS-5965胶囊获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202405093071405750.html,2
2024-05-09,恒瑞医药：注射用HRS5580获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202405093071404627.html,2
2024-05-09,恒瑞医药：融资净买入821.58万元，融资余额33.52亿元（05-08）,http://stock.eastmoney.com/a/202405093070832757.html,1
2024-05-09,恒瑞医药05月08日获沪股通增持641.66万股,http://stock.eastmoney.com/a/202405093070445157.html,3
2024-05-09,恒瑞医药两款药物获临床试验批准,http://finance.eastmoney.com/a/202405093070419679.html,2
2024-05-08,累计投入研发近亿元 恒瑞医药两款药物获临床试验批准,http://finance.eastmoney.com/a/202405083070333786.html,2
2024-05-08,恒瑞医药：两款药物临床试验获批,http://finance.eastmoney.com/a/202405083070316313.html,3
2024-05-08,北向资金全天净卖出超40亿元 汇川技术、恒瑞医药等获加仓,http://stock.eastmoney.com/a/202405083070244583.html,2
2024-05-08,恒瑞医药：子公司获得《药物临床试验批准通知书》,http://finance.eastmoney.com/a/202405083070165458.html,2
2024-05-08,恒瑞医药：子公司获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202405083070167587.html,2
2024-05-08,恒瑞医药：子公司注射用HRS5580获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202405083070152896.html,2
2024-05-08,恒瑞医药：子公司注射用HRS5580获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202405083070151294.html,2
2024-05-08,恒瑞医药：融资余额33.44亿元，创近一年新低（05-07）,http://stock.eastmoney.com/a/202405083069429097.html,-2
2024-05-07,恒瑞医药：融资余额33.61亿元，创近一年新低（05-06）,http://stock.eastmoney.com/a/202405073068032791.html,-2
2024-05-06,恒瑞医药：累计回购约1435万股,http://finance.eastmoney.com/a/202405063067435245.html,2
2024-05-01,恒瑞医药：融资余额33.73亿元，创近一年新低（04-30）,http://stock.eastmoney.com/a/202405013065923061.html,-2
2024-04-30,恒瑞医药：融资余额34亿元，创近一年新低（04-29）,http://stock.eastmoney.com/a/202404303064672861.html,-2
2024-04-27,恒瑞医药：融资净偿还8642.27万元，两市排名第16（04-26）,http://stock.eastmoney.com/a/202404273061984755.html,-2
2024-04-27,恒瑞医药04月26日获沪股通增持553.44万股,http://stock.eastmoney.com/a/202404273061697175.html,3
2024-04-26,恒瑞医药：获得门冬胰岛素注射液药物临床试验批准通知书,http://finance.eastmoney.com/a/202404263061127238.html,1
2024-04-26,恒瑞医药：连续4日融资净偿还累计1.12亿元（04-25）,http://stock.eastmoney.com/a/202404263060233651.html,-2
2024-04-25,华源证券给予恒瑞医药买入评级 迈入新一轮新药兑现期 国际化持续提速,http://finance.eastmoney.com/a/202404253059435167.html,3
2024-04-25,恒瑞医药：获得门冬胰岛素注射液药物临床试验批准通知书,http://finance.eastmoney.com/a/202404253059318465.html,2
2024-04-25,恒瑞医药：连续3日融资净偿还累计1.08亿元（04-24）,http://stock.eastmoney.com/a/202404253058399488.html,-2
2024-04-24,东吴证券给予恒瑞医药买入评级,http://finance.eastmoney.com/a/202404243057539855.html,3
2024-04-24,恒瑞医药：融资净偿还7411.24万元，融资余额35.47亿元（04-23）,http://stock.eastmoney.com/a/202404243056710815.html,-1
2024-04-23,恒瑞医药：融资净偿还1888.75万元，融资余额36.21亿元（04-22）,http://stock.eastmoney.com/a/202404233055135137.html,-1
2024-04-22,恒瑞医药：注射用卡瑞利珠单抗获得药物临床试验批准通知书,http://finance.eastmoney.com/a/202404223054569750.html,2
2024-04-22,恒瑞医药：注射用卡瑞利珠单抗获批药物临床试验,http://finance.eastmoney.com/a/202404223054398087.html,2
