发布时间,新闻标题,URL,影响评分
2024-05-16,恒生电子：融资净偿还816.47万元，融资余额25.53亿元（05-15）,http://stock.eastmoney.com/a/202405163077986080.html,-1
2024-05-15,恒生电子05月14日被沪股通减持123.75万股,http://stock.eastmoney.com/a/202405153077129956.html,-3
2024-05-15,恒生电子：融资净偿还1154.37万元，融资余额25.61亿元（05-14）,http://stock.eastmoney.com/a/202405153076537059.html,-1
2024-05-14,恒生电子：融资余额25.72亿元，创近一年新高（05-13）,http://stock.eastmoney.com/a/202405143075365667.html,2
2024-05-14,恒生电子05月13日被沪股通减持164.48万股,http://stock.eastmoney.com/a/202405143075135936.html,-2
2024-05-11,恒生电子：融资净偿还216.85万元，融资余额25.65亿元（05-10）,http://stock.eastmoney.com/a/202405113073507353.html,-1
2024-05-10,交银国信与恒生电子签署战略合作协议,http://finance.eastmoney.com/a/202405103072670598.html,2
2024-05-10,交银国信和恒生电子达成战略合作,http://finance.eastmoney.com/a/202405103072662910.html,3
2024-05-10,恒生电子：融资余额25.67亿元，创近一年新高（05-09）,http://stock.eastmoney.com/a/202405103072116580.html,1
2024-05-10,恒生电子05月09日获沪股通增持263.47万股,http://stock.eastmoney.com/a/202405103071877326.html,2
2024-05-09,恒生电子全面推进风险合规IT产品自主创新 助力金融机构提升风控水平,http://finance.eastmoney.com/a/202405093071739842.html,3
2024-05-09,恒生电子：融资余额25.66亿元，创近一年新高（05-08）,http://stock.eastmoney.com/a/202405093070748271.html,2
2024-05-09,恒生电子05月08日获沪股通增持348.85万股,http://stock.eastmoney.com/a/202405093070520161.html,2
2024-05-08,恒生电子：融资余额25.58亿元，创近一年新高（05-07）,http://stock.eastmoney.com/a/202405083069395581.html,2
2024-05-07,恒生电子：融资余额25.39亿元，创近一年新高（05-06）,http://stock.eastmoney.com/a/202405073068055015.html,2
2024-05-07,恒生电子05月06日获沪股通增持600.93万股,http://stock.eastmoney.com/a/202405073067805990.html,2
