发布时间,新闻标题,URL,影响评分
2024-05-16,大宗交易：招商银行成交203.28万元，折价6.54%（05-16）,http://stock.eastmoney.com/a/202405163078791323.html,-1
2024-05-16,大金融板块盘中拉升，招商银行涨3.3%，金融ETF（510230）涨1.7%,http://finance.eastmoney.com/a/202405163078487452.html,2
2024-05-16,招商银行：融资净买入5786万元，两市排名第16（05-15）,http://stock.eastmoney.com/a/202405163077868670.html,2
2024-05-15,城市资本力丨广东19家市值超千亿公司扫描：14家来自深圳 招商银行市值、净利润夺冠 比亚迪成为“黑马”,http://finance.eastmoney.com/a/202405153077766837.html,3
2024-05-15,招商银行：融资净买入7395.13万元，两市排名第12（05-14）,http://stock.eastmoney.com/a/202405153076508165.html,2
2024-05-14,招商银行：将停止智能通知存款业务服务并办理本业务结息,http://finance.eastmoney.com/a/202405143076414431.html,-3
2024-05-14,招商银行将终止智能通知存款业务,http://finance.eastmoney.com/a/202405143076359339.html,-2
2024-05-14,招商银行将终止智能通知存款业务,http://finance.eastmoney.com/a/202405143076347355.html,-2
2024-05-14,招商银行将终止智能通知存款业务,http://finance.eastmoney.com/a/202405143076333224.html,-2
2024-05-14,招商银行：融资净买入117.93万元，融资余额67.37亿元（05-13）,http://stock.eastmoney.com/a/202405143075355066.html,1
2024-05-13,招商银行搭建“金融盲道”：跨越数字鸿沟 让视觉障碍群体实现信息平等｜聚焦全国助残日,http://finance.eastmoney.com/a/202405133074791516.html,2
2024-05-13,大宗交易：招商银行成交207万元，折价3.93%（05-13）,http://stock.eastmoney.com/a/202405133074768430.html,-1
2024-05-11,招商银行：融资净偿还404.77万元，融资余额67.36亿元（05-10）,http://stock.eastmoney.com/a/202405113073539282.html,-1
2024-05-10,招商银行即将下架智能通知存款 有银行一年前已停发，此前浮动利率高达2.3%,http://finance.eastmoney.com/a/202405103073016131.html,-2
2024-05-10,北向资金全天净卖出超63亿元 招商银行、贵州茅台等获加仓,http://stock.eastmoney.com/a/202405103072988267.html,2
2024-05-10,北向资金今日净买入招商银行4亿元,http://finance.eastmoney.com/a/202405103072979089.html,2
2024-05-10,招商银行：融资净偿还401.36万元，融资余额67.4亿元（05-09）,http://stock.eastmoney.com/a/202405103072074735.html,-1
2024-05-10,继招商银行后民生银行亦下架中长期大额存单 定期存款将成各银行营销主打产品,http://finance.eastmoney.com/a/202405103071778238.html,-1
2024-05-09,招商银行：王云桂辞去副行长职务,http://finance.eastmoney.com/a/202405093071403724.html,0
2024-05-09,深公司早报丨证监会决定对东旭蓝天立案；招商银行副行长王云桂因到龄退休辞任,http://finance.eastmoney.com/a/202405093071264655.html,0
2024-05-09,招商银行：融资净买入662.67万元，融资余额67.44亿元（05-08）,http://stock.eastmoney.com/a/202405093070739354.html,2
2024-05-08,王云桂到龄退休 招商银行管理架构重回“一正五副两行助” 去年至今高管变阵终于画上句号,http://finance.eastmoney.com/a/202405083070406363.html,0
2024-05-08,招商银行：副行长王云桂因到龄退休辞任,http://finance.eastmoney.com/a/202405083070376695.html,0
2024-05-08,招商银行：王云桂辞去副行长职务,http://finance.eastmoney.com/a/202405083070369563.html,0
2024-05-08,招商银行副行长王云桂因到龄退休辞任,http://finance.eastmoney.com/a/202405083070335163.html,0
2024-05-08,招商银行副行长王云桂辞职,http://finance.eastmoney.com/a/202405083070234775.html,0
2024-05-08,招商银行：王云桂因到龄退休原因 辞去副行长职务,http://finance.eastmoney.com/a/202405083070226198.html,-1
2024-05-08,招商银行：王云桂辞去副行长职务,http://finance.eastmoney.com/a/202405083070219655.html,0
2024-05-08,招商银行(600036.SH)：副行长王云桂先生辞任,http://finance.eastmoney.com/a/202405083070216967.html,0
2024-05-08,招商银行：副行长王云桂辞任,http://finance.eastmoney.com/a/202405083070217367.html,-1
2024-05-08,招商银行：副行长王云桂先生辞任,http://finance.eastmoney.com/a/202405083070215634.html,0
2024-05-08,银行行业资金流出榜：招商银行、邮储银行等净流出资金居前,http://finance.eastmoney.com/a/202405083070167221.html,-3
2024-05-08,招商银行：融资净偿还8008.97万元，两市排名第16（05-07）,http://stock.eastmoney.com/a/202405083069380214.html,-1
