发布时间,新闻标题,URL,影响评分
2024-05-16,民生银行杭州分行行长张波或出任民生银行上海分行行长,http://finance.eastmoney.com/a/202405163078950587.html,0
2024-05-16,民生银行北京分行：银行服务新质生产力需提升产品、服务及效率,http://finance.eastmoney.com/a/202405163078833178.html,2
2024-05-16,民生银行：连续3日融资净买入累计9979.09万元（05-15）,http://stock.eastmoney.com/a/202405163077877365.html,2
2024-05-15,三位“70后”高管任职资格获批 民生银行“一正五副”格局落定,http://finance.eastmoney.com/a/202405153077369729.html,2
2024-05-15,债市公告精选（5月15日）|泛海控股被民生银行起诉，涉案金额超50亿元；“21奥园债”等3只债今日复牌,http://bond.eastmoney.com/a/202405153077315881.html,-2
2024-05-15,民生银行05月14日被沪股通减持966.85万股,http://stock.eastmoney.com/a/202405153077034596.html,-2
2024-05-15,民生银行：融资净买入3349.6万元，融资余额39.58亿元（05-14）,http://stock.eastmoney.com/a/202405153076505039.html,2
2024-05-15,中国民生银行东莞寮步支行正式开业,http://finance.eastmoney.com/a/202405153076470260.html,2
2024-05-14,两名“70后”正式出任民生银行副行长,http://finance.eastmoney.com/a/202405143076305524.html,1
2024-05-14,民生银行副行长张俊潼、黄红日任职资格获批,http://finance.eastmoney.com/a/202405143076298010.html,1
2024-05-14,民生银行：副行长任职资格获国家金融监督管理总局核准,http://finance.eastmoney.com/a/202405143076289620.html,0
2024-05-14,大宗交易：民生银行成交1318.71万元，成交价3.89元（05-14）,http://stock.eastmoney.com/a/202405143076214868.html,3
2024-05-14,民生银行：融资净买入3317.79万元，融资余额39.24亿元（05-13）,http://stock.eastmoney.com/a/202405143075335881.html,2
2024-05-11,民生银行再诉“泛海系”及卢志强 索偿金额超50亿,http://finance.eastmoney.com/a/202405113073619246.html,-3
2024-05-11,民生银行：融资净偿还229.26万元，融资余额38.91亿元（05-10）,http://stock.eastmoney.com/a/202405113073475354.html,-1
2024-05-10,民生银行：北京分行对泛海集团等提起诉讼 请求判令相关机构合计偿还54.66亿元,http://finance.eastmoney.com/a/202405103073117568.html,-2
2024-05-10,逾54亿！民生银行因金融借款合同纠纷 起诉泛海集团等,http://finance.eastmoney.com/a/202405103073099984.html,-2
2024-05-10,民生银行：北京分行收到案件受理通知书,http://finance.eastmoney.com/a/202405103073077777.html,-2
2024-05-10,民生银行与广汽埃安共同举办“新能源汽车以链为基客商大会”,http://finance.eastmoney.com/a/202405103072962873.html,2
2024-05-10,民生银行：连续4日融资净买入累计1.87亿元（05-09）,http://stock.eastmoney.com/a/202405103072077187.html,2
2024-05-10,民生银行已停售长期限大额存单产品,http://finance.eastmoney.com/a/202405103072034543.html,-2
2024-05-10,民生银行05月09日被沪股通减持902.44万股,http://stock.eastmoney.com/a/202405103071812522.html,-3
2024-05-10,继招商银行后民生银行亦下架中长期大额存单 定期存款将成各银行营销主打产品,http://finance.eastmoney.com/a/202405103071778238.html,-2
2024-05-09,民生银行：连续3日融资净买入累计1.54亿元（05-08）,http://stock.eastmoney.com/a/202405093070722561.html,2
2024-05-08,大额存单又遭下架 民生银行停售半年及以上期限产品,http://finance.eastmoney.com/a/202405083070038132.html,-2
2024-05-08,民生银行停售6个月及以上期限的大额存单产品 转让区可“捡漏”,http://finance.eastmoney.com/a/202405083069940790.html,-2
2024-05-08,民生银行：融资净买入4298.41万元，融资余额38.55亿元（05-07）,http://stock.eastmoney.com/a/202405083069375669.html,2
2024-05-07,又有银行对大额存单“下手”！民生银行停售半年及以上期限大额存单 银行压降高成本存款产品动作持续,http://finance.eastmoney.com/a/202405073069054739.html,-2
2024-05-07,5月7日起 民生银行停售半年期及以上大额存单产品,http://finance.eastmoney.com/a/202405073068960173.html,-2
2024-05-07,民生银行：融资净买入1.05亿元，融资余额38.12亿元（05-06）,http://stock.eastmoney.com/a/202405073068033359.html,2
2024-05-07,民生银行05月06日被沪股通减持6539.41万股,http://stock.eastmoney.com/a/202405073067747257.html,-3
2024-05-06,民生银行成功发行300亿元二级资本债券,http://finance.eastmoney.com/a/202405063067572884.html,2
2024-05-01,民生银行：融资净偿还535.9万元，融资余额37.07亿元（04-30）,http://stock.eastmoney.com/a/202405013065968515.html,-1
2024-04-30,监管批复！王晓永就任民生银行行长,http://finance.eastmoney.com/a/202404303065833828.html,2
2024-04-30,民生银行行长王晓永任职资格获核准,http://finance.eastmoney.com/a/202404303065783077.html,2
2024-04-30,民生银行：300亿元二级资本债券完成发行,http://finance.eastmoney.com/a/202404303065783643.html,2
2024-04-30,民生银行：王晓永行长任职资格获核准,http://finance.eastmoney.com/a/202404303065719330.html,1
2024-04-30,民生银行：王晓永行长任职资格获国家金融监管总局核准,http://finance.eastmoney.com/a/202404303065698147.html,2
2024-04-30,民生银行：完成发行300亿元二级资本债券,http://finance.eastmoney.com/a/202404303065700579.html,2
2024-04-30,民生银行：王晓永行长任职资格获核准,http://finance.eastmoney.com/a/202404303065702028.html,0
2024-04-30,民生银行王静文：外需有较大韧性,http://finance.eastmoney.com/a/202404303065383410.html,2
2024-04-30,民生银行一季报：资产总额微增 净息差降幅收窄,http://finance.eastmoney.com/a/202404303065253356.html,2
