发布时间,新闻标题,URL,影响评分
2024-05-16,一心一意为客户精益求精优服务——浦发银行海口分行11年用心服务海南自贸港建设,http://finance.eastmoney.com/a/202405163078847525.html,2
2024-05-16,大宗交易：浦发银行成交1428.8万元，折价6.23%（05-16）,http://stock.eastmoney.com/a/202405163078730190.html,-1
2024-05-16,浦发银行：融资余额25.35亿元，创近一年新低（05-15）,http://stock.eastmoney.com/a/202405163077870665.html,-2
2024-05-15,融资+融智 浦发银行为企业出海增添新“动能”,http://finance.eastmoney.com/a/202405153077718318.html,3
2024-05-15,优化外籍来华人员支付服务体验 浦发银行杭州分行在行动,http://finance.eastmoney.com/a/202405153077531077.html,2
2024-05-15,“反假货币，人人有责”，浦发银行丽水分行开展“反假货币进校园”活动,http://finance.eastmoney.com/a/202405153077518648.html,0
2024-05-15,浦发银行：融资净偿还28.45万元，融资余额25.4亿元（05-14）,http://stock.eastmoney.com/a/202405153076505130.html,-1
2024-05-14,“上海市政府债券柜台业务”全面启动 浦发银行支持投资者多渠道认购,http://finance.eastmoney.com/a/202405143076015918.html,3
2024-05-14,浦发银行：融资净买入350.78万元，融资余额25.4亿元（05-13）,http://stock.eastmoney.com/a/202405143075333127.html,3
2024-05-11,打造便捷金融新体验 浦发银行万事达双应用芯片卡全新上市,http://finance.eastmoney.com/a/202405113073653196.html,2
2024-05-11,浦发银行：融资余额25.37亿元，创近一年新低（05-10）,http://stock.eastmoney.com/a/202405113073497131.html,-2
2024-05-11,浦发银行05月10日获沪股通增持961.67万股,http://stock.eastmoney.com/a/202405113073215174.html,2
2024-05-10,浦发银行：融资净买入406.82万元，融资余额25.47亿元（05-09）,http://stock.eastmoney.com/a/202405103072074865.html,2
2024-05-09,浦发银行：融资余额25.43亿元，创近一年新低（05-08）,http://stock.eastmoney.com/a/202405093070752154.html,2
2024-05-09,浦发银行05月08日获沪股通增持932.03万股,http://stock.eastmoney.com/a/202405093070459390.html,2
2024-05-08,浦发银行：融资余额25.44亿元，创近一年新低（05-07）,http://stock.eastmoney.com/a/202405083069373186.html,-1
2024-05-07,浦发银行率先开展“旅行通卡”便利化试点 有效提升外籍来华人士支付服务体验,http://finance.eastmoney.com/a/202405073068642932.html,2
2024-05-07,浦发银行：融资净偿还1934.17万元，融资余额25.47亿元（05-06）,http://stock.eastmoney.com/a/202405073068016050.html,1
2024-05-07,浦发银行05月06日获沪股通增持798.66万股,http://stock.eastmoney.com/a/202405073067755789.html,2
2024-05-06,上海市委书记陈吉宁调研中国太保、浦发银行,http://finance.eastmoney.com/a/202405063067660667.html,3
2024-05-06,为金融强国和上海国际金融中心建设作出更大贡献！陈吉宁调研中国太保和浦发银行,http://finance.eastmoney.com/a/202405063067653480.html,3
2024-05-06,上海信托“掌门”变更 拟接任者同来自浦发银行,http://finance.eastmoney.com/a/202405063067615298.html,3
2024-05-02,浦发银行业绩会直击：数智引领 “浦”写新篇,http://finance.eastmoney.com/a/202405023066168583.html,3
2024-05-01,浦发银行一季报出炉：“五大赛道”全速发力 跨境金融持续做强,http://finance.eastmoney.com/a/202405013066099666.html,3
2024-05-01,直击浦发银行业绩发布会：一季度实现良好开局 “五大赛道”优势凸显,http://finance.eastmoney.com/a/202405013066087211.html,3
2024-05-01,“数智化”突围 浦发银行如何迎战“低息差”,http://finance.eastmoney.com/a/202405013066074864.html,3
2024-05-01,浦发银行明确“数智化战略”，一季度实现良好开局,http://finance.eastmoney.com/a/202405013066073290.html,1
2024-05-01,直击浦发银行业绩说明会：张为忠首次公开发声，详解“五大赛道”发展战略,http://finance.eastmoney.com/a/202405013066066781.html,3
2024-05-01,聚焦数智化战略 浦发银行发力五大赛道再出发,http://finance.eastmoney.com/a/202405013066043857.html,3
2024-05-01,浦发银行：融资净买入1955.3万元，融资余额25.67亿元（04-30）,http://stock.eastmoney.com/a/202405013065897656.html,2
2024-04-30,重整出发！浦发银行连续4年不良双降 深耕“五大赛道” 一季度成果初现,"http://finance.eastmoney.com/news/1354,202404303065837766.html",3
2024-04-30,直击业绩会！浦发银行新班子亮相 详谈新战略打法,http://finance.eastmoney.com/a/202404303065835928.html,3
2024-04-30,探索“数智化”新路径 浦发银行写好普惠金融大文章,http://finance.eastmoney.com/a/202404303065818285.html,3
2024-04-30,直击业绩会|浦发银行董事长张为忠：推进数智化新战略 筑牢“五大赛道”,http://finance.eastmoney.com/a/202404303065690128.html,3
2024-04-30,【财经分析】业绩会直击：浦发银行一季度业绩企稳向好 未来如何“浦”写新篇？,http://finance.eastmoney.com/a/202404303065576477.html,3
2024-04-30,浦发银行、美的集团领涨，分众传媒跌超7%，超大盘代表A50ETF（159601）收跌0.53%,http://finance.eastmoney.com/a/202404303065529678.html,3
2024-04-30,浦发银行杭州分行“零钱包”助推现金支付“零障碍”,http://finance.eastmoney.com/a/202404303065468671.html,2
