发布时间,新闻标题,URL,影响评分
2024-05-16,海尔智家：融资净买入697.33万元，融资余额5.76亿元（05-15）,http://stock.eastmoney.com/a/202405163077885554.html,1
2024-05-15,海尔智家：融资净偿还3004万元，融资余额5.69亿元（05-14）,http://stock.eastmoney.com/a/202405153076524392.html,-2
2024-05-14,海尔智家：连续4日融资净买入累计5281.94万元（05-13）,http://stock.eastmoney.com/a/202405143075329412.html,2
2024-05-11,海尔智家：连续3日融资净买入累计980.64万元（05-10）,http://stock.eastmoney.com/a/202405113073476462.html,0
2024-05-10,海尔智家获沪股通连续6日净买入 累计净买入8.53亿元,http://finance.eastmoney.com/a/202405103073023875.html,3
2024-05-10,海尔智家：融资净买入381.97万元，融资余额5.53亿元（05-09）,http://stock.eastmoney.com/a/202405103072098090.html,1
2024-05-09,海尔智家获沪股通连续5日净买入 累计净买入7.30亿元,http://finance.eastmoney.com/a/202405093071635621.html,3
2024-05-09,海尔智家：融资净买入262.47万元，融资余额5.49亿元（05-08）,http://stock.eastmoney.com/a/202405093070779530.html,1
2024-05-08,海尔智家获沪股通连续4日净买入 累计净买入6.63亿元,http://finance.eastmoney.com/a/202405083070270559.html,3
2024-05-08,告别桑拿季蒸煮 海尔智家让美好生活一步到位,http://finance.eastmoney.com/a/202405083070171316.html,3
2024-05-08,海尔智家2023年净利166亿元 承诺2025-2026年度现金分红比例不低于50%,http://finance.eastmoney.com/a/202405083069924332.html,3
2024-05-08,实探海尔智家再循环互联工厂：打通“以旧换新”堵点 废旧家电重获新生,http://finance.eastmoney.com/a/202405083069481837.html,3
2024-05-08,海尔智家：融资余额5.46亿元，创近一年新低（05-07）,http://stock.eastmoney.com/a/202405083069396780.html,-2
2024-05-08,海尔智家05月07日获沪股通增持841.36万股,http://stock.eastmoney.com/a/202405083069152862.html,3
2024-05-07,连续3日净买入 海尔智家获沪股通净买入5.78亿元,http://finance.eastmoney.com/a/202405073068922935.html,3
2024-05-07,北向资金全天净卖出超21亿元 贵州茅台、海尔智家等获加仓,http://stock.eastmoney.com/a/202405073068895171.html,2
2024-05-07,海尔智家：融资净买入508.71万元，融资余额5.57亿元（05-06）,http://stock.eastmoney.com/a/202405073068011813.html,2
2024-05-01,海尔智家：融资余额5.52亿元，创近一年新低（04-30）,http://stock.eastmoney.com/a/202405013065939680.html,-2
2024-04-30,海量财经丨海尔智家杀进A股2023年业绩50强 多年转型初见成效,http://finance.eastmoney.com/a/202404303065715891.html,3
2024-04-30,海尔智家：融资余额5.63亿元，创近一年新低（04-29）,http://stock.eastmoney.com/a/202404303064654974.html,-2
2024-04-29,海尔智家：一季度业绩超预期 经营质量稳步提升,http://finance.eastmoney.com/a/202404293064123956.html,3
2024-04-29,利增20.2%、费降0.8pct！海尔智家2024Q1业绩超预期,http://finance.eastmoney.com/a/202404293064138634.html,3
2024-04-29,海尔智家：一季度净利润同比增长20.16%,http://finance.eastmoney.com/a/202404293063961558.html,3
2024-04-29,海尔智家：业绩说明会定于5月16日举行,http://finance.eastmoney.com/a/202404293063936263.html,0
2024-04-29,海尔智家：2024年第一季度净利润约47.73亿元 同比增加20.16%,http://finance.eastmoney.com/a/202404293063865236.html,3
2024-04-29,海尔智家：一季度净利润47.73亿元 同比增长20.16%,http://finance.eastmoney.com/a/202404293063849671.html,3
2024-04-29,海尔智家：一季度净利润47.73亿元 同比增长20.16%,http://finance.eastmoney.com/a/202404293063846410.html,3
2024-04-29,海尔智家：一季度归母净利润47.73亿元，同比增长20.16%,http://finance.eastmoney.com/a/202404293063827152.html,3
2024-04-27,海尔智家：融资净偿还1030.53万元，融资余额5.72亿元（04-26）,http://stock.eastmoney.com/a/202404273062000490.html,-2
2024-04-26,海尔智家大宗交易成交926.48万元,http://finance.eastmoney.com/a/202404263061529320.html,1
2024-04-26,大宗交易：机构账户买入海尔智家926.48万元（04-26）,http://stock.eastmoney.com/a/202404263061363067.html,2
2024-04-26,海尔智家：融资净买入955.97万元，融资余额5.82亿元（04-25）,http://stock.eastmoney.com/a/202404263060206245.html,1
2024-04-25,海尔智家：融资净买入216.88万元，融资余额5.72亿元（04-24）,http://stock.eastmoney.com/a/202404253058365937.html,1
2024-04-25,海尔智家04月24日获沪股通增持764.88万股,http://stock.eastmoney.com/a/202404253058115484.html,3
2024-04-24,海尔智家：融资余额5.7亿元，创近一年新低（04-23）,http://stock.eastmoney.com/a/202404243056653421.html,-2
2024-04-23,大宗交易：海尔智家成交3405.6万元，成交价28.38元（04-23）,http://stock.eastmoney.com/a/202404233056063824.html,0
2024-04-23,海尔智家：融资净买入38.57万元，融资余额5.75亿元（04-22）,http://stock.eastmoney.com/a/202404233055087873.html,1
2024-04-23,海尔智家04月22日获沪股通增持697.31万股,http://stock.eastmoney.com/a/202404233054826158.html,2
2024-04-22,奥马电器更名“TCL智家”短期难成“海尔智家”第二？新整合体系能否实现1+1>2?,http://finance.eastmoney.com/a/202404223054059436.html,-3
2024-04-20,海尔智家：融资余额5.75亿元，创近一年新低（04-19）,http://stock.eastmoney.com/a/202404203052813843.html,-2
2024-04-19,海尔智家：融资余额5.87亿元，创近一年新低（04-18）,http://stock.eastmoney.com/a/202404193051186767.html,-3
2024-04-18,海尔智家：融资净买入252.58万元，融资余额6.08亿元（04-17）,http://stock.eastmoney.com/a/202404183049529454.html,1
2024-04-17,海尔智家：融资余额6.06亿元，创近一年新低（04-16）,http://stock.eastmoney.com/a/202404173047582453.html,-2
2024-04-16,海尔智家投资5000万元成立智慧洗碗机公司,http://finance.eastmoney.com/a/202404163046674889.html,2
2024-04-16,海尔智家5000万元投资成立智慧洗碗机公司,http://finance.eastmoney.com/a/202404163046532439.html,2
2024-04-16,海尔智家：融资余额6.08亿元，创近一年新低（04-15）,http://stock.eastmoney.com/a/202404163045256622.html,-2
2024-04-13,海尔智家：融资净买入103.83万元，融资余额6.1亿元（04-12）,http://stock.eastmoney.com/a/202404133042876569.html,2
2024-04-12,海尔智家：融资余额6.09亿元，创近一年新低（04-11）,http://stock.eastmoney.com/a/202404123041409137.html,-1
2024-04-11,海尔智家：融资净买入314.84万元，融资余额6.13亿元（04-10）,http://stock.eastmoney.com/a/202404113039940595.html,1
2024-04-10,海尔智家：融资余额6.1亿元，创近一年新低（04-09）,http://stock.eastmoney.com/a/202404103038307740.html,-2
2024-04-10,海尔智家04月09日获沪股通增持835.77万股,http://stock.eastmoney.com/a/202404103038063467.html,2
2024-04-09,太平洋给予海尔智家买入评级,http://finance.eastmoney.com/a/202404093037841918.html,3
2024-04-09,海尔智家获沪股通连续3日净买入 累计净买入5.43亿元,http://finance.eastmoney.com/a/202404093037840713.html,3
2024-04-09,北向资金今日净买入10.55亿元 紫金矿业、海尔智家等获加仓,http://stock.eastmoney.com/a/202404093037796857.html,2
2024-04-09,财信证券维持海尔智家买入评级 业绩稳增 盈利能力持续改善 加大分红力度,http://finance.eastmoney.com/a/202404093037598541.html,3
2024-04-09,海尔智家：融资余额6.12亿元，创近一年新低（04-08）,http://stock.eastmoney.com/a/202404093036898690.html,-2
2024-04-09,海尔智家04月08日获沪股通增持1046.72万股,http://stock.eastmoney.com/a/202404093036639834.html,2
2024-04-08,北向资金今日净卖出30.45亿元 汇川技术、海尔智家等获加仓,http://finance.eastmoney.com/a/202404083036342528.html,2
2024-04-08,开源证券给予海尔智家买入评级,http://finance.eastmoney.com/a/202404083035981379.html,3
2024-04-04,海尔智家：融资余额6.17亿元，创近一年新低（04-03）,http://stock.eastmoney.com/a/202404043034729050.html,-2
2024-04-03,海尔智家：融资余额6.37亿元，创近一年新低（04-02）,http://stock.eastmoney.com/a/202404033033301258.html,-2
2024-04-02,海尔智家：累计回购约8335万股,http://finance.eastmoney.com/a/202404023032668272.html,2
2024-04-02,计划未来现金分红比例不低于50% 海尔智家2023年实现营业收入2614亿元,http://finance.eastmoney.com/a/202404023032549945.html,3
2024-04-02,海尔智家：连续5日融资净偿还累计6021.59万元（04-01）,http://stock.eastmoney.com/a/202404023031816484.html,-1
2024-04-01,西南证券给予海尔智家买入评级 持续引领高端白电 经营效率稳健提升,http://finance.eastmoney.com/a/202404013031150229.html,3
2024-03-30,海外逆势增长！海尔智家五年间净利翻倍 高端品牌成新亮点,http://finance.eastmoney.com/a/202403303030166363.html,3
2024-03-30,海尔智家：连续4日融资净偿还累计5968.39万元（03-29）,http://stock.eastmoney.com/a/202403303030002253.html,-2
2024-03-29,海尔智家年度业绩稳步增长 分红方案获分析师“点赞”,http://finance.eastmoney.com/a/202403293029532493.html,3
2024-03-29,开源证券给予海尔智家买入评级,http://finance.eastmoney.com/a/202403293029428360.html,3
2024-03-29,中泰证券给予海尔智家买入评级,http://finance.eastmoney.com/a/202403293029403958.html,3
2024-03-29,天风证券给予海尔智家买入评级 盈利能力持续改善 大幅上调分红,http://finance.eastmoney.com/a/202403293029405921.html,3
2024-03-29,华安证券给予海尔智家买入评级,http://finance.eastmoney.com/a/202403293029305871.html,3
2024-03-29,海尔智家：连续3日融资净偿还累计5911.9万元（03-28）,http://stock.eastmoney.com/a/202403293028619134.html,-2
2024-03-28,海尔智家2023年实现营收2614亿元 全球售出超过一亿台家电,http://finance.eastmoney.com/a/202403283028023651.html,3
2024-03-28,补贴力度拉动消费者以旧换新意愿，龙头家电ETF大涨超2%，海尔智家涨超4%,http://finance.eastmoney.com/a/202403283027589032.html,3
2024-03-28,美的集团与海尔智家“相约”公布财报 两大家电巨头去年成色几何,http://finance.eastmoney.com/a/202403283027522777.html,2
2024-03-28,海尔智家2023年净利润同比增长12.8%,http://finance.eastmoney.com/a/202403283027498952.html,3
2024-03-28,国投证券给予海尔智家买入评级，公司计划逐步提升现金分红比例,http://finance.eastmoney.com/a/202403283027439221.html,3
2024-03-28,信达证券给予海尔智家买入评级，高端创牌引领增长，提高分红回报投资者,http://finance.eastmoney.com/a/202403283027230698.html,3
