发布时间,新闻标题,URL,影响评分
2024-05-16,港股建材水泥板块震荡走高 中国建材、海螺水泥涨超6%,http://stock.eastmoney.com/a/202405163078459835.html,3
2024-05-16,海螺水泥：融资余额12.99亿元，创近一年新低（05-15）,http://stock.eastmoney.com/a/202405163077935383.html,-2
2024-05-15,海螺水泥：连续5日融资净偿还累计1.18亿元（05-14）,http://stock.eastmoney.com/a/202405153076533723.html,1
2024-05-14,海螺水泥：连续4日融资净偿还累计9206.57万元（05-13）,http://stock.eastmoney.com/a/202405143075352980.html,-2
2024-05-11,海螺水泥：连续3日融资净偿还累计8202.56万元（05-10）,http://stock.eastmoney.com/a/202405113073471464.html,2
2024-05-10,海螺水泥：融资净偿还4288.31万元，融资余额13.65亿元（05-09）,http://stock.eastmoney.com/a/202405103072101346.html,-2
2024-05-09,海螺水泥：融资净偿还1227.21万元，融资余额14.08亿元（05-08）,http://stock.eastmoney.com/a/202405093070746862.html,-1
2024-05-09,海螺水泥05月08日获沪股通增持325.94万股,http://stock.eastmoney.com/a/202405093070439320.html,2
2024-05-08,海螺水泥：融资净买入162.07万元，融资余额14.21亿元（05-07）,http://stock.eastmoney.com/a/202405083069377726.html,1
2024-05-07,受贿、滥用职权！海螺水泥原董事长获刑11年半,http://finance.eastmoney.com/a/202405073068600474.html,-4
2024-05-07,海螺水泥：融资净买入2269.49万元，融资余额14.19亿元（05-06）,http://stock.eastmoney.com/a/202405073068002610.html,2
2024-05-06,1700万国有资产损失，海螺水泥前董事长一审获刑11年半,http://finance.eastmoney.com/a/202405063067644411.html,-3
2024-05-01,海螺水泥：连续4日融资净偿还累计6447.77万元（04-30）,http://stock.eastmoney.com/a/202405013065910813.html,-2
2024-04-30,海螺水泥：连续3日融资净偿还累计3853.84万元（04-29）,http://stock.eastmoney.com/a/202404303064676445.html,-2
2024-04-30,海螺水泥04月29日被沪股通减持182.3万股,http://stock.eastmoney.com/a/202404303064358737.html,1
2024-04-28,民生证券给予海螺水泥推荐评级 2024年一季报点评：龙头表现稳定并优于行业 节能减排继续引领行业,http://finance.eastmoney.com/a/202404283062759441.html,2
2024-04-27,海螺水泥：2024年第一季度净利润约15.02亿元,http://finance.eastmoney.com/a/202404273062192313.html,-3
2024-04-27,海螺水泥：融资净偿还1595.28万元，融资余额14.33亿元（04-26）,http://stock.eastmoney.com/a/202404273061998532.html,1
2024-04-27,产品销量及售价下降 海螺水泥一季度净利同比下降逾四成,http://finance.eastmoney.com/a/202404273061635194.html,-3
2024-04-26,海螺水泥：一季度净利润15.02亿元,http://finance.eastmoney.com/a/202404263061416087.html,2
2024-04-26,海螺水泥：一季度归母净利润15.02亿元，同比下滑41.14%,http://finance.eastmoney.com/a/202404263061281989.html,-3
2024-04-26,海螺水泥：一季度净利润15.02亿元 同比下降41.14%,http://finance.eastmoney.com/a/202404263061269410.html,-3
2024-04-26,海螺水泥：第一季度归母净利润15.02亿元 同比下降41.14%,http://finance.eastmoney.com/a/202404263061253329.html,-3
2024-04-26,海螺水泥：第一季度归母净利润15.02亿元 同比下降41.14%,http://finance.eastmoney.com/a/202404263061262826.html,-3
2024-04-26,海螺水泥：融资净偿还1157.41万元，融资余额14.49亿元（04-25）,http://stock.eastmoney.com/a/202404263060207089.html,-1
2024-04-25,海螺水泥：融资净买入1375.07万元，融资余额14.61亿元（04-24）,http://stock.eastmoney.com/a/202404253058384387.html,2
2024-04-25,海螺水泥04月24日获沪股通增持180.7万股,http://stock.eastmoney.com/a/202404253058095586.html,3
2024-04-24,海螺水泥：融资净买入291.81万元，融资余额14.47亿元（04-23）,http://stock.eastmoney.com/a/202404243056666746.html,1
2024-04-24,海螺水泥04月23日获沪股通增持200.73万股,http://stock.eastmoney.com/a/202404243056392476.html,3
2024-04-23,注意！海螺水泥将于5月30日召开股东大会,http://finance.eastmoney.com/a/202404233056100032.html,0
2024-04-23,海螺水泥：连续6日融资净偿还累计4657.71万元（04-22）,http://stock.eastmoney.com/a/202404233055115177.html,-2
2024-04-22,海螺水泥：15.00亿元中期票据完成备案,http://stock.eastmoney.com/a/202404223054444011.html,2
2024-04-20,海螺水泥：连续5日融资净偿还累计3560.28万元（04-19）,http://stock.eastmoney.com/a/202404203052792298.html,-1
2024-04-19,海螺水泥：15.00亿元中期票据完成备案。,http://stock.eastmoney.com/a/202404193052302451.html,2
2024-04-19,海螺水泥：15.00亿元中期票据完成备案,http://stock.eastmoney.com/a/202404193052301068.html,2
2024-04-19,海螺水泥：连续4日融资净偿还累计3262.88万元（04-18）,http://stock.eastmoney.com/a/202404193051228884.html,-2
2024-04-19,海螺水泥04月18日获沪股通增持214.9万股,http://stock.eastmoney.com/a/202404193050905462.html,2
2024-04-18,海螺水泥：连续3日融资净偿还累计2549.34万元（04-17）,http://stock.eastmoney.com/a/202404183049529666.html,-2
2024-04-17,大宗交易：海螺水泥成交713.9万元，折价0.99%（04-17）,http://stock.eastmoney.com/a/202404173048874181.html,0
2024-04-17,海螺水泥：融资净偿还936.01万元，融资余额14.74亿元（04-16）,http://stock.eastmoney.com/a/202404173047522423.html,-1
2024-04-16,海螺水泥：融资净偿还714.6万元，融资余额14.83亿元（04-15）,http://stock.eastmoney.com/a/202404163045364219.html,1
2024-04-16,海螺水泥04月15日获沪股通增持162.97万股,http://stock.eastmoney.com/a/202404163044982722.html,3
2024-04-16,海螺水泥打造新利润增长点 今年将全力推进骨料、商混产业发展,http://finance.eastmoney.com/a/202404163044960127.html,2
2024-04-15,直击海螺水泥业绩说明会：预计2024年水泥价格持续震荡走势 公司将做强水泥主业及上下游产业链,http://finance.eastmoney.com/a/202404153044709284.html,2
2024-04-15,大宗交易：海螺水泥成交928.97万元，溢价0.35%（04-15）,http://stock.eastmoney.com/a/202404153044672859.html,0
2024-04-15,海螺水泥：预计2024年水泥价格行情将持续震荡走势,http://finance.eastmoney.com/a/202404153044557623.html,1
