发布时间,新闻标题,URL,影响评分
2024-05-16,用友网络：连续3日融资净偿还累计2245.02万元（05-15）,http://stock.eastmoney.com/a/202405163077931098.html,-2
2024-05-15,用友网络：融资净偿还417.82万元，融资余额11.21亿元（05-14）,http://stock.eastmoney.com/a/202405153076527478.html,-1
2024-05-14,用友网络：融资净偿还1645.33万元，融资余额11.25亿元（05-13）,http://stock.eastmoney.com/a/202405143075334332.html,-1
2024-05-14,用友网络05月13日被沪股通减持154.96万股,http://stock.eastmoney.com/a/202405143075032191.html,-3
2024-05-11,用友网络：融资净买入1098.45万元，融资余额11.41亿元（05-10）,http://stock.eastmoney.com/a/202405113073479446.html,2
2024-05-10,用友网络：连续4日融资净偿还累计1586.64万元（05-09）,http://stock.eastmoney.com/a/202405103072099663.html,1
2024-05-09,用友网络：连续3日融资净偿还累计1086.49万元（05-08）,http://stock.eastmoney.com/a/202405093070709129.html,1
2024-05-09,用友网络05月08日被沪股通减持151.66万股,http://stock.eastmoney.com/a/202405093070446081.html,-2
2024-05-08,用友网络：融资净偿还582.23万元，融资余额11.38亿元（05-07）,http://stock.eastmoney.com/a/202405083069356450.html,-1
2024-05-07,A股昨日343家公司披露股票回购实施进展，九安医疗、药明康德、用友网络回购金额最高,http://finance.eastmoney.com/a/202405073068356172.html,2
2024-05-07,用友网络：融资净偿还253.68万元，融资余额11.44亿元（05-06）,http://stock.eastmoney.com/a/202405073068004163.html,2
2024-05-06,用友网络：累计回购股份数量约为3901万股,http://finance.eastmoney.com/a/202405063067360595.html,2
2024-05-01,用友网络：融资净买入161.07万元，融资余额11.46亿元（04-30）,http://stock.eastmoney.com/a/202405013065974767.html,1
2024-04-30,用友网络：融资净买入26.26万元，融资余额11.45亿元（04-29）,http://stock.eastmoney.com/a/202404303064667847.html,0
2024-04-28,华安证券给予用友网络买入评级 2024Q1营收双位数增长 大型企业客户持续突破,http://finance.eastmoney.com/a/202404283062754257.html,3
2024-04-27,云服务业务快速增长！用友网络2024年一季度营收同比增长18.6%,http://finance.eastmoney.com/a/202404273062346557.html,2
2024-04-27,用友网络：连续7日融资净偿还累计6247.81万元（04-26）,http://stock.eastmoney.com/a/202404273061988079.html,-2
2024-04-27,用友网络04月26日获沪股通增持264.71万股,http://stock.eastmoney.com/a/202404273061684778.html,3
2024-04-26,用友网络股东户数增加1.01%，户均持股28.55万元,http://stock.eastmoney.com/a/202404263061364569.html,1
2024-04-26,用友网络发布2024年一季报 营业收入、云服务业务收入快速增长,http://finance.eastmoney.com/a/202404263061356290.html,3
2024-04-26,用友网络：一季度净亏4.53亿元,http://finance.eastmoney.com/a/202404263061289213.html,-3
2024-04-26,用友网络：2024年第一季度净利润亏损4.5亿元,http://finance.eastmoney.com/a/202404263061269243.html,4
2024-04-26,用友网络：连续6日融资净偿还累计4959.73万元（04-25）,http://stock.eastmoney.com/a/202404263060213198.html,-2
2024-04-26,用友网络04月25日获沪股通增持172.58万股,http://stock.eastmoney.com/a/202404263059914111.html,4
2024-04-25,用友网络：连续5日融资净偿还累计4746.41万元（04-24）,http://stock.eastmoney.com/a/202404253058436844.html,4
2024-04-25,用友网络04月24日获沪股通增持229.39万股,http://stock.eastmoney.com/a/202404253058093523.html,3
2024-04-24,用友网络：连续4日融资净偿还累计1911.08万元（04-23）,http://stock.eastmoney.com/a/202404243056701010.html,-2
2024-04-23,用友网络：连续3日融资净偿还累计1495.99万元（04-22）,http://stock.eastmoney.com/a/202404233055076863.html,-2
2024-04-20,用友网络：融资净偿还152.63万元，融资余额11.99亿元（04-19）,http://stock.eastmoney.com/a/202404203052822429.html,1
2024-04-20,用友网络04月19日被沪股通减持237.57万股,http://stock.eastmoney.com/a/202404203052535863.html,-2
2024-04-19,用友网络：融资净偿还676.51万元，融资余额12亿元（04-18）,http://stock.eastmoney.com/a/202404193051215211.html,1
2024-04-19,用友网络04月18日获沪股通增持185.21万股,http://stock.eastmoney.com/a/202404193050893535.html,2
2024-04-18,用友网络：融资净买入284.74万元，融资余额12.07亿元（04-17）,http://stock.eastmoney.com/a/202404183049501353.html,2
2024-04-17,用友网络：融资净偿还628.38万元，融资余额12.04亿元（04-16）,http://stock.eastmoney.com/a/202404173047557496.html,-1
2024-04-16,天风证券给予用友网络买入评级,http://finance.eastmoney.com/a/202404163047019178.html,2
2024-04-16,用友网络：融资净偿还232.54万元，融资余额12.1亿元（04-15）,http://stock.eastmoney.com/a/202404163045393273.html,-1
2024-04-13,用友网络：融资净买入11.09万元，融资余额12.13亿元（04-12）,http://stock.eastmoney.com/a/202404133042969155.html,1
2024-04-12,用友网络：连续3日融资净偿还累计1604.6万元（04-11）,http://stock.eastmoney.com/a/202404123041455495.html,-1
2024-04-11,用友网络：北京用友科技及其一致行动人累计质押数量约为3.43亿股,http://finance.eastmoney.com/a/202404113040964735.html,-1
2024-04-11,用友网络：融资净偿还274.02万元，融资余额12.16亿元（04-10）,http://stock.eastmoney.com/a/202404113039918782.html,-1
2024-04-10,用友网络：融资净偿还974.87万元，融资余额12.19亿元（04-09）,http://stock.eastmoney.com/a/202404103038277723.html,4
2024-04-09,首创证券给予用友网络增持评级，公司简评报告：客户质与量良好增长，长期回报值得期待,http://finance.eastmoney.com/a/202404093037586257.html,2
2024-04-09,国元证券给予用友网络买入评级 2023年年度报告点评：组织模式升级完成 业务重回增长轨道,http://finance.eastmoney.com/a/202404093037576765.html,3
