发布时间,新闻标题,URL,影响评分
2024-05-16,航发动力：连续6日融资净偿还累计5768.8万元（05-15）,http://stock.eastmoney.com/a/202405163077919763.html,No rating found
2024-05-15,航发动力：连续5日融资净偿还累计5677.61万元（05-14）,http://stock.eastmoney.com/a/202405153076551127.html,No rating found
2024-05-14,航发动力：连续4日融资净偿还累计5671.77万元（05-13）,http://stock.eastmoney.com/a/202405143075319526.html,No rating found
2024-05-11,航发动力：连续3日融资净偿还累计5509.6万元（05-10）,http://stock.eastmoney.com/a/202405113073435877.html,No rating found
2024-05-10,航发动力：融资净偿还1511.6万元，融资余额15.79亿元（05-09）,http://stock.eastmoney.com/a/202405103072119527.html,No rating found
2024-05-10,航发动力05月09日被沪股通减持162.4万股,http://stock.eastmoney.com/a/202405103071802952.html,No rating found
2024-05-09,航发动力：融资净偿还2435.3万元，融资余额15.94亿元（05-08）,http://stock.eastmoney.com/a/202405093070710762.html,No rating found
2024-05-08,航发动力：融资净买入675.16万元，融资余额16.18亿元（05-07）,http://stock.eastmoney.com/a/202405083069363697.html,No rating found
2024-05-07,航发动力：融资净买入1214.51万元，融资余额16.12亿元（05-06）,http://stock.eastmoney.com/a/202405073068008856.html,No rating found
2024-05-16,航发动力：连续6日融资净偿还累计5768.8万元（05-15）,http://stock.eastmoney.com/a/202405163077919763.html,No rating found
2024-05-15,航发动力：连续5日融资净偿还累计5677.61万元（05-14）,http://stock.eastmoney.com/a/202405153076551127.html,No rating found
2024-05-14,航发动力：连续4日融资净偿还累计5671.77万元（05-13）,http://stock.eastmoney.com/a/202405143075319526.html,No rating found
2024-05-11,航发动力：连续3日融资净偿还累计5509.6万元（05-10）,http://stock.eastmoney.com/a/202405113073435877.html,No rating found
2024-05-10,航发动力：融资净偿还1511.6万元，融资余额15.79亿元（05-09）,http://stock.eastmoney.com/a/202405103072119527.html,No rating found
2024-05-10,航发动力05月09日被沪股通减持162.4万股,http://stock.eastmoney.com/a/202405103071802952.html,No rating found
2024-05-09,航发动力：融资净偿还2435.3万元，融资余额15.94亿元（05-08）,http://stock.eastmoney.com/a/202405093070710762.html,No rating found
2024-05-08,航发动力：融资净买入675.16万元，融资余额16.18亿元（05-07）,http://stock.eastmoney.com/a/202405083069363697.html,No rating found
2024-05-07,航发动力：融资净买入1214.51万元，融资余额16.12亿元（05-06）,http://stock.eastmoney.com/a/202405073068008856.html,No rating found
2024-05-07,航发动力05月06日被沪股通减持87.33万股,http://stock.eastmoney.com/a/202405073067716890.html,No rating found
2024-05-01,航发动力：连续4日融资净偿还累计4946.97万元（04-30）,http://stock.eastmoney.com/a/202405013065882326.html,No rating found
2024-04-30,航发动力(600893.SH)：2024年一季度净利润为1.55亿元 同比增长76.03%,http://finance.eastmoney.com/a/202404303065675122.html,No rating found
2024-05-16,航发动力：连续6日融资净偿还累计5768.8万元（05-15）,http://stock.eastmoney.com/a/202405163077919763.html,-2
2024-05-16,航发动力：连续6日融资净偿还累计5768.8万元（05-15）,http://stock.eastmoney.com/a/202405163077919763.html,-2
2024-05-15,航发动力：连续5日融资净偿还累计5677.61万元（05-14）,http://stock.eastmoney.com/a/202405153076551127.html,-2
2024-05-14,航发动力：连续4日融资净偿还累计5671.77万元（05-13）,http://stock.eastmoney.com/a/202405143075319526.html,-2
2024-05-11,航发动力：连续3日融资净偿还累计5509.6万元（05-10）,http://stock.eastmoney.com/a/202405113073435877.html,-2
2024-05-10,航发动力：融资净偿还1511.6万元，融资余额15.79亿元（05-09）,http://stock.eastmoney.com/a/202405103072119527.html,-1
2024-05-10,航发动力05月09日被沪股通减持162.4万股,http://stock.eastmoney.com/a/202405103071802952.html,2
2024-05-09,航发动力：融资净偿还2435.3万元，融资余额15.94亿元（05-08）,http://stock.eastmoney.com/a/202405093070710762.html,-2
2024-05-08,航发动力：融资净买入675.16万元，融资余额16.18亿元（05-07）,http://stock.eastmoney.com/a/202405083069363697.html,1
2024-05-07,航发动力：融资净买入1214.51万元，融资余额16.12亿元（05-06）,http://stock.eastmoney.com/a/202405073068008856.html,2
2024-05-07,航发动力05月06日被沪股通减持87.33万股,http://stock.eastmoney.com/a/202405073067716890.html,-2
2024-05-01,航发动力：连续4日融资净偿还累计4946.97万元（04-30）,http://stock.eastmoney.com/a/202405013065882326.html,-2
2024-04-30,航发动力(600893.SH)：2024年一季度净利润为1.55亿元 同比增长76.03%,http://finance.eastmoney.com/a/202404303065675122.html,-2
2024-05-16,航发动力：连续6日融资净偿还累计5768.8万元（05-15）,http://stock.eastmoney.com/a/202405163077919763.html,-1
2024-05-15,航发动力：连续5日融资净偿还累计5677.61万元（05-14）,http://stock.eastmoney.com/a/202405153076551127.html,-1
