发布时间,新闻标题,URL,影响评分
2024/4/22,北上资金净买入13.89亿元 贵州茅台净买入居首,http://stock.eastmoney.com/a/202404223054467232.html,3
2024/4/22,数据复盘丨主力资金加仓国防军工、食品饮料等行业 北向资金抢筹贵州茅台、紫金矿业等,http://finance.eastmoney.com/a/202404223054450360.html,3
2024/4/22,贵州茅台现2笔大宗交易 合计成交1.95万股,http://finance.eastmoney.com/a/202404223054443915.html,1
2024/4/22,04月22日北向资金成交股TOP榜：贵州茅台成交额16.07亿元,http://finance.eastmoney.com/a/202404223054433132.html,2
2024/4/22,北向资金今日净买入13.89亿元 贵州茅台、紫金矿业等获加仓,http://finance.eastmoney.com/a/202404223054409134.html,2
2024/4/22,北向资金今日净买入贵州茅台8.91亿元,http://stock.eastmoney.com/a/202404223054397513.html,2
2024/4/22,大宗交易：贵州茅台成交3266.37万元，成交均价1675.06元（04-22）,http://stock.eastmoney.com/a/202404223054388180.html,2
2024/4/22,北向资金今日净买入贵州茅台8.91亿元,http://finance.eastmoney.com/a/202404223054388512.html,2
2024/4/22,食品饮料行业资金流入榜：贵州茅台等5股净流入资金超5000万元,http://finance.eastmoney.com/a/202404223054319234.html,3
2024/4/22,20只白酒股涨幅超1% 贵州茅台1675.06元/股收盘,http://stock.eastmoney.com/a/202404223054281547.html,3
2024/4/22,白酒板块午盘走强 贵州茅台股价涨幅1.47%,http://stock.eastmoney.com/a/202404223054092661.html,2
2024/4/22,加仓贵州茅台、美的集团，汇添富基金胡昕炜一季度这样买！,http://finance.eastmoney.com/a/202404223053896467.html,2
2024/4/20,贵州茅台：融资净买入1.26亿元，两市排名第三（04-19）,http://stock.eastmoney.com/a/202404203052792954.html,2
2024/4/19,大宗交易：贵州茅台成交3869.6万元，成交价1646.64元（04-19）,http://stock.eastmoney.com/a/202404193052300361.html,0
2024/4/19,04月19日北向资金成交股TOP榜：贵州茅台成交额15.11亿元,http://stock.eastmoney.com/a/202404193052273684.html,2
2024/4/19,北向资金今日净卖出贵州茅台8.46亿元,http://stock.eastmoney.com/a/202404193052240444.html,4
2024/4/19,北向资金今日净卖出64.90亿元 贵州茅台遭净卖出8.46亿元,http://finance.eastmoney.com/a/202404193052233691.html,-2
2024/4/19,白酒股微跌 贵州茅台1646.64元/股收盘,http://stock.eastmoney.com/a/202404193052108751.html,-2
2024/4/19,白酒板块午盘下跌 贵州茅台股价跌幅1.47%,http://stock.eastmoney.com/a/202404193051948521.html,-2
2024/4/19,昨日12只个股获北向资金净买入超1亿元，贵州茅台净买入4.2亿元,http://finance.eastmoney.com/a/202404193051643844.html,3
2024/4/19,12只个股昨日获北向资金净买入超1亿元，贵州茅台净买入4.2亿元,http://stock.eastmoney.com/a/202404193051553155.html,3
2024/4/19,04月18日北向资金流入TOP榜：贵州茅台获买入4.2亿,http://finance.eastmoney.com/a/202404193051350251.html,2
2024/4/19,贵州茅台：融资净偿还1.46亿元，两市排名第一（04-18）,http://stock.eastmoney.com/a/202404193051205358.html,-2
2024/4/18,04月18日北向资金成交股TOP榜：贵州茅台成交额17.68亿元,http://finance.eastmoney.com/a/202404183050612130.html,-2
2024/4/18,北向资金今日净买入贵州茅台4.20亿元,http://stock.eastmoney.com/a/202404183050591015.html,2
2024/4/18,白酒股微跌 贵州茅台1670.78元/股收盘,http://stock.eastmoney.com/a/202404183050587059.html,1
2024/4/18,北向资金今日净卖出中信银行3.76亿元，净买入贵州茅台4.2亿元,http://stock.eastmoney.com/a/202404183050582980.html,2
2024/4/18,白酒板块午盘微增 贵州茅台股价涨幅0.72%,http://stock.eastmoney.com/a/202404183050437788.html,1
2024/4/18,贵州茅台：融资净买入1.55亿元，两市排名第三（04-17）,http://stock.eastmoney.com/a/202404183049496638.html,2
2024/4/17,贵州茅台今日大宗交易成交5.45万股 成交额9085.15万元,http://finance.eastmoney.com/a/202404173049004779.html,4
2024/4/17,18只白酒股上涨 贵州茅台1667元/股收盘,http://stock.eastmoney.com/a/202404173048906459.html,-1
2024/4/17,大宗交易：贵州茅台成交9085.15万元，成交均价1667.00元（04-17）,http://stock.eastmoney.com/a/202404173048874576.html,0
2024/4/17,食品饮料行业资金流出榜：贵州茅台等9股净流出资金超千万元,http://stock.eastmoney.com/a/202404173048847226.html,-2
2024/4/17,白酒板块午盘拉升 贵州茅台股价微跌0.34%,http://finance.eastmoney.com/a/202404173048612089.html,-1
2024/4/17,北上资金连续买入贵州茅台 机构抢筹中信海直丨龙虎榜,http://finance.eastmoney.com/a/202404173048591966.html,2
2024/4/17,昨日10只个股获北向资金净买入超1亿元 贵州茅台净买入2.48亿元,http://finance.eastmoney.com/a/202404173047892810.html,2
2024/4/17,04月16日北向资金流入TOP榜：贵州茅台获买入2.48亿,http://finance.eastmoney.com/a/202404173047675440.html,3
2024/4/17,贵州茅台：融资净偿还7829.66万元，两市排名第11（04-16）,http://stock.eastmoney.com/a/202404173047610042.html,-1
2024/4/16,贵州茅台今日大宗交易成交90.58万股 成交额15.13亿元,http://finance.eastmoney.com/a/202404163047128287.html,0
2024/4/16,白酒股下跌4.18% 贵州茅台1670元/股收盘,http://stock.eastmoney.com/a/202404163047023515.html,-2
2024/4/16,04月16日北向资金成交股TOP榜：贵州茅台成交额21.86亿元,http://finance.eastmoney.com/a/202404163046997462.html,2
2024/4/16,大宗交易：贵州茅台成交15.13亿元，成交均价1669.97元（04-16）,http://stock.eastmoney.com/a/202404163046986444.html,1
2024/4/16,北向资金今日净买入贵州茅台2.48亿元,http://stock.eastmoney.com/a/202404163046974187.html,2
2024/4/16,贵州茅台居首！卖方最新关注个股曝光,http://finance.eastmoney.com/a/202404163046870422.html,3
2024/4/16,22只个股昨日获北向资金净买入超1亿元，贵州茅台净买入8.79亿元,http://finance.eastmoney.com/a/202404163045707994.html,2
2024/4/16,04月15日北向资金流入TOP榜：贵州茅台获买入8.79亿,http://finance.eastmoney.com/a/202404163045428936.html,3
2024/4/16,贵州茅台：融资净偿还1.74亿元，两市排名第一（04-15）,http://stock.eastmoney.com/a/202404163045245418.html,-1
2024/4/16,摩根士丹利将中国石油H股纳入中港重点关注名单 贵州茅台从关注名单中剔除,http://finance.eastmoney.com/a/202404163045231928.html,-2
2024/4/15,北上资金净买入81.08亿元 贵州茅台净买入居首,http://stock.eastmoney.com/a/202404153044726611.html,3
2024/4/15,数据复盘丨主力资金加仓交通运输、非银金融等行业 北向资金抢筹贵州茅台、五粮液等,http://finance.eastmoney.com/a/202404153044710550.html,3
2024/4/15,北向资金今日净买入贵州茅台8.79亿元,http://stock.eastmoney.com/a/202404153044673313.html,2
2024/4/15,北向资金今日净买入贵州茅台8.79亿元,http://stock.eastmoney.com/a/202404153044666467.html,2
2024/4/15,北向资金今日大幅净买入81.08亿元 贵州茅台获净买入8.79亿元,http://finance.eastmoney.com/a/202404153044660215.html,3
2024/4/15,白酒股下跌1.03% 贵州茅台1672.98元/股收盘,http://finance.eastmoney.com/a/202404153044560165.html,2
2024/4/15,因商标侵权 贵州茅台起诉北京二锅头并索赔30万,http://finance.eastmoney.com/a/202404153044544943.html,2
2024/4/15,再推文化酒 贵州茅台酒春系列产品发布,http://finance.eastmoney.com/a/202404153044540469.html,2
2024/4/15,白酒板块午盘微跌 贵州茅台股价涨幅1.9%,http://stock.eastmoney.com/a/202404153044356837.html,2
2024/4/15,贵州茅台、铜陵有色等12股上周获融资净买入超2亿元,http://stock.eastmoney.com/a/202404153043919127.html,3
2024/4/14,持续加码文创酒赛道 贵州茅台出海再提速,http://finance.eastmoney.com/a/202404143043289943.html,3
2024/4/14,一周个股动向：“黄金热”催化这只个股9连板 贵州茅台遭北向大幅抛售,http://finance.eastmoney.com/a/202404133043175627.html,1
2024/4/13,贵州茅台：融资净买入1.17亿元，两市排名第四（04-12）,http://stock.eastmoney.com/a/202404133042837918.html,2
2024/4/12,白酒板块午盘微跌 贵州茅台股价下跌0.28%,http://finance.eastmoney.com/a/202404123042225976.html,-1
2024/4/12,19只白酒股下跌 贵州茅台1634.03元/股收盘,http://stock.eastmoney.com/a/202404123042193345.html,-2
2024/4/12,索赔30万元 贵州茅台起诉北京二锅头酒业商标侵权及不正当竞争,http://finance.eastmoney.com/a/202404123042097471.html,-2
2024/4/12,申港证券给予贵州茅台买入评级,http://finance.eastmoney.com/a/202404123041987124.html,3
2024/4/12,赛力斯、贵州茅台等股获融资净买入超1亿元,http://stock.eastmoney.com/a/202404123041877097.html,1
2024/4/12,贵州茅台：融资净买入1.32亿元，两市排名第二（04-11）,http://stock.eastmoney.com/a/202404123041407433.html,2
2024/4/11,贵州茅台状告北京二锅头商标包装侵权索赔30万元,http://finance.eastmoney.com/a/202404113040866436.html,-2
2024/4/11,大宗交易：贵州茅台成交3378.15万元，折价0.01%（04-11）,http://stock.eastmoney.com/a/202404113040805473.html,0
2024/4/11,北京二锅头酒业公司被贵州茅台诉商标侵权,http://finance.eastmoney.com/a/202404113040716433.html,-1
2024/4/11,贵州茅台状告北京二锅头商标包装侵权索赔30万元,http://finance.eastmoney.com/a/202404113040583472.html,-2
2024/4/11,白酒板块午盘走弱 贵州茅台股价下跌0.66%,http://stock.eastmoney.com/a/202404113040552669.html,0
2024/4/11,资金流向（4月10日）丨万丰奥威、紫金矿业、贵州茅台获融资资金买入排名前三，万丰奥威获买入近9亿元,http://finance.eastmoney.com/a/202404113040511285.html,2
2024/4/11,贵州茅台、广汽集团等股获融资净买入超1亿元,http://finance.eastmoney.com/a/202404113040377379.html,2
2024/4/11,昨日5只个股获融资资金净买入超1亿元 贵州茅台净买入1.44亿元,http://stock.eastmoney.com/a/202404113040275115.html,2
2024/4/11,首创证券给予贵州茅台买入评级,http://finance.eastmoney.com/a/202404113040041683.html,3
2024/4/11,贵州茅台：融资净买入1.44亿元，两市排名第一（04-10）,http://stock.eastmoney.com/a/202404113039873187.html,2
2024/4/10,大宗交易：贵州茅台成交3872.75万元，成交价1647.98元（04-10）,http://stock.eastmoney.com/a/202404103039354755.html,-1
2024/4/10,白酒板块午盘走弱 贵州茅台股价下跌0.42%,http://finance.eastmoney.com/a/202404103039267476.html,-1
2024/4/10,白酒板块下跌1.49% 贵州茅台1647.98元/股收盘,http://finance.eastmoney.com/a/202404103039267211.html,-2
2024/4/10,光大证券：贵州茅台批价扰动股价 配置价值提升,http://finance.eastmoney.com/a/202404103039189631.html,2
2024/4/10,光大证券：贵州茅台批价扰动股价，配置价值提升,http://finance.eastmoney.com/a/202404103039198124.html,2
2024/4/10,贵州茅台：一季度市场表现符合预期，主要目标实现了开门红,http://finance.eastmoney.com/a/202404103038667922.html,2
2024/4/10,贵州茅台：连续4日融资净买入累计8.52亿元（04-09）,http://stock.eastmoney.com/a/202404103038264548.html,2
2024/4/9,“飞天”终端价格松动，股价连跌两日：贵州茅台白酒淡季添烦恼,http://finance.eastmoney.com/a/202404093037936589.html,3
2024/4/9,14只白酒股上涨 贵州茅台1662.22元/股收盘,http://stock.eastmoney.com/a/202404093037842162.html,-1
2024/4/9,大宗交易：贵州茅台成交1.15亿元，成交均价1662.22元（04-09）,http://stock.eastmoney.com/a/202404093037758156.html,0
2024/4/9,贵州茅台：巽风酒不会对茅台酒现有价格体系产生影响 茅台酒动销良好,http://finance.eastmoney.com/a/202404093037520810.html,1
2024/4/9,白酒板块午盘微涨 贵州茅台股价下跌0.19%,http://stock.eastmoney.com/a/202404093037512731.html,0
2024/4/9,贵州茅台：会关注飞天茅台终端价格变化 目前动销、发货正常,http://finance.eastmoney.com/a/202404093037505224.html,-2
2024/4/9,资金流向（4月8日）丨贵州茅台、赛力斯、铜陵有色获融资资金买入排名前三，贵州茅台获买入11.54亿元,http://finance.eastmoney.com/a/202404093037470812.html,1
2024/4/9,贵州茅台回应飞天茅台批价下跌，食品饮料ETF(515170)累计流入近7000万元,http://finance.eastmoney.com/a/202404093037408216.html,-2
2024/4/9,贵州茅台：融资净买入6.73亿元，两市排名第一（04-08）,http://stock.eastmoney.com/a/202404093036869815.html,2
2024/4/8,贵州茅台现2笔大宗交易 总成交金额6666.64万元,http://finance.eastmoney.com/a/202404083036507429.html,-2
2024/4/8,西南证券给予贵州茅台买入评级 2023年靓丽收官 2024年定调积极,http://finance.eastmoney.com/a/202404083036378326.html,3
2024/4/8,太平洋给予贵州茅台买入评级,http://finance.eastmoney.com/a/202404083036338441.html,3
2024/4/8,北向资金今日净卖出30.45亿元 贵州茅台遭净卖出10.73亿元,http://finance.eastmoney.com/a/202404083036317664.html,-3
