发布时间,新闻标题,URL,影响评分
2024-05-16,通威股份：连续4日融资净偿还累计3922.14万元（05-15）,http://stock.eastmoney.com/a/202405163077907568.html,-1
2024-05-15,通威股份：连续3日融资净偿还累计2452.71万元（05-14）,http://stock.eastmoney.com/a/202405153076528340.html,-1
2024-05-14,通威股份：融资净偿还306.12万元，融资余额37.04亿元（05-13）,http://stock.eastmoney.com/a/202405143075298453.html,0
2024-05-13,通威股份：公司于四川省广元市苍溪县暂无光伏组件项目投资,http://finance.eastmoney.com/a/202405133074819279.html,0
2024-05-13,通威股份：公司目前拥有高纯晶硅年产能45万吨,http://finance.eastmoney.com/a/202405133074819130.html,2
2024-05-13,请问集团是否考虑在猪周期复苏起点布局养猪产业以扩大发展？通威股份：暂无相关业务发展规划,http://finance.eastmoney.com/a/202405133074803326.html,0
2024-05-13,新能源早参｜通威股份旗下公司与隆基绿能及子公司签订近400亿元大单,http://finance.eastmoney.com/a/202405133073987739.html,3
2024-05-12,通威股份与中材海外签署战略合作协议,http://finance.eastmoney.com/a/202405123073867856.html,2
2024-05-12,通威股份董事长、CEO刘舒琪一行拜访华能能源交通公司,http://finance.eastmoney.com/a/202405123073843428.html,2
2024-05-12,两大千亿巨头携手！通威股份与隆基绿能签订391亿元销售长单,http://finance.eastmoney.com/a/202405113073693515.html,2
2024-05-11,光伏行业巨头“抱团取暖” 通威股份牵手隆基绿能签391亿长单,http://finance.eastmoney.com/a/202405113073768236.html,1
2024-05-11,两大光伏巨头大单落地 通威股份与隆基绿能签订391亿元销售长单,http://finance.eastmoney.com/a/202405113073747077.html,2
2024-05-11,近400亿，隆基绿能与通威股份再签硅料长单,http://finance.eastmoney.com/a/202405113073643438.html,1
2024-05-11,通威股份与隆基绿能签订不少于86.24万吨高纯晶硅销售合同,http://finance.eastmoney.com/a/202405113073640750.html,2
2024-05-11,通威股份：融资净偿还1245.52万元，融资余额37.07亿元（05-10）,http://stock.eastmoney.com/a/202405113073442181.html,0
2024-05-11,看好光伏行业长期向好趋势 通威股份和隆基绿能再签“长单”,http://finance.eastmoney.com/a/202405113073164787.html,3
2024-05-10,公告精选丨浙商证券：拟参与竞拍国都证券7.4159%股份；通威股份：与隆基绿能签订391亿元高纯晶硅产品销售合同,http://finance.eastmoney.com/a/202405103073146159.html,3
2024-05-10,5月11日上市公司重要公告集锦：通威股份与隆基绿能签订2024年—2026年高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073128959.html,2
2024-05-10,通威股份：与隆基绿能方面签订高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073086154.html,3
2024-05-10,公告精选：通威股份与隆基绿能签订2024年—2026年高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073086321.html,1
2024-05-10,通威股份：与隆基绿能签署不少于86.24万吨高纯晶硅销售合同 总金额约391亿元,http://finance.eastmoney.com/a/202405103073064448.html,3
2024-05-10,近400亿大单！通威股份与隆基绿能签订高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073066461.html,3
2024-05-10,通威股份：与隆基绿能签署高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073058887.html,3
2024-05-10,通威股份：与隆基绿能签订高纯晶硅销售合同 预计总金额约391亿元,http://finance.eastmoney.com/a/202405103073033641.html,3
2024-05-10,通威股份：与隆基绿能签订2024年—2026年高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073015455.html,2
2024-05-10,通威股份：与隆基绿能签订高纯晶硅销售合同,http://finance.eastmoney.com/a/202405103073017636.html,3
2024-05-10,通威股份：与隆基绿能签订高纯晶硅销售合同 预计总金额约391亿元,http://finance.eastmoney.com/a/202405103073013257.html,2
2024-05-10,通威股份：融资净买入504.04万元，融资余额37.2亿元（05-09）,http://stock.eastmoney.com/a/202405103072071798.html,1
2024-05-09,通威股份：融资净偿还432.03万元，融资余额37.15亿元（05-08）,http://stock.eastmoney.com/a/202405093070702886.html,0
2024-05-08,通威股份：融资净偿还1054.5万元，融资余额37.19亿元（05-07）,http://stock.eastmoney.com/a/202405083069338861.html,0
2024-05-07,【调研快报】通威股份接待博时基金等多家机构调研,http://stock.eastmoney.com/a/202405073068983655.html,2
2024-05-07,通威股份5月7日大宗交易成交329.43万元,http://finance.eastmoney.com/a/202405073068935220.html,2
2024-05-07,通威股份：累计回购约525万股,http://finance.eastmoney.com/a/202405073068908761.html,2
2024-05-07,通威股份：截至2024年4月29日前十大流通股东持股占比54.37%,http://finance.eastmoney.com/a/202405073068908631.html,1
2024-05-07,大宗交易：通威股份成交329.43万元，成交价22.38元（05-07）,http://stock.eastmoney.com/a/202405073068852788.html,0
2024-05-07,通威股份：融资净买入7207.66万元，融资余额37.3亿元（05-06）,http://stock.eastmoney.com/a/202405073067981246.html,1
2024-05-06,通威股份拟斥资20亿-40亿元回购：一季度业绩转亏 坦承“票据池业务存风险”,http://finance.eastmoney.com/a/202405063067274120.html,-2
2024-05-05,通威股份：首次回购公司股份成交总金额1.14亿元,http://finance.eastmoney.com/a/202405053066553593.html,1
2024-05-05,通威股份：首次回购公司股份1.14亿元,"http://finance.eastmoney.com/news/1354,202405053066548156.html",2
2024-05-05,通威股份：以1.14亿元首次回购524.95万股公司股份,http://finance.eastmoney.com/a/202405053066549924.html,2
2024-05-05,通威股份：首次回购约525万股,http://finance.eastmoney.com/a/202405053066536888.html,1
2024-05-01,光伏革新加速 通威股份打造光伏“生态”,http://finance.eastmoney.com/a/202405013066101376.html,3
2024-05-01,通威股份发布2023年报，组件出货量首次进入全球前五,http://finance.eastmoney.com/a/202405013066061740.html,-2
2024-05-01,通威股份：融资净买入7723.53万元，两市排名第九（04-30）,http://stock.eastmoney.com/a/202405013065885818.html,2
2024-04-30,行业暴利时代终结 去年“光伏盈利王”通威股份一季度亏近8亿元,http://finance.eastmoney.com/a/202404303065658483.html,-3
2024-04-30,通威股份2023年实现净利润135.74亿元 拟分红超40亿元,http://finance.eastmoney.com/a/202404303065643065.html,-3
2024-04-30,光伏产业链价格持续探底，通威股份2023年净利同比降47.25%,http://finance.eastmoney.com/a/202404303065422917.html,-3
2024-04-30,通威股份(600438.SH)：2024年一季度净亏损7.87亿元，同比由盈转亏,http://finance.eastmoney.com/a/202404303065364384.html,-4
2024-04-30,光伏行业鏖战寒冬 通威股份稳字当头穿越周期,http://finance.eastmoney.com/a/202404303065338932.html,-2
2024-04-30,通威股份2023年净利润136亿元 拟回购20亿元-40亿元公司股份,http://finance.eastmoney.com/a/202404303065274581.html,-2
2024-04-30,千亿巨头通威股份7年来首次季度亏损！,http://finance.eastmoney.com/a/202404303064779961.html,-4
2024-04-30,通威股份：融资余额35.8亿元，创近一年新低（04-29）,http://stock.eastmoney.com/a/202404303064615082.html,-2
2024-04-29,通威股份去年盈利135.74亿元 管理层预计今年Topcon占比超过80%,http://finance.eastmoney.com/a/202404293064222938.html,-1
2024-04-29,多家公司将大额回购股份 通威股份拟以20亿元-40亿元回购,http://finance.eastmoney.com/a/202404293064192534.html,-1
2024-04-29,年报观察|通威股份2023年营收1391.04亿元 光伏业务表现亮眼,http://finance.eastmoney.com/a/202404293064185025.html,-3
