发布时间,新闻标题,URL,影响评分
2024-05-16,闻泰科技：融资净买入168.66万元，融资余额24.65亿元（05-15）,http://stock.eastmoney.com/a/202405163077901414.html,1
2024-05-15,闻泰科技05月14日被沪股通减持106.17万股,http://stock.eastmoney.com/a/202405153076921156.html,-2
2024-05-15,闻泰科技：融资净买入762.7万元，融资余额24.63亿元（05-14）,http://stock.eastmoney.com/a/202405153076542738.html,1
2024-05-14,闻泰科技：融资余额24.56亿元，创近一年新低（05-13）,http://stock.eastmoney.com/a/202405143075286660.html,-2
2024-05-11,闻泰科技：融资余额24.56亿元，创近一年新低（05-10）,http://stock.eastmoney.com/a/202405113073431591.html,2
2024-05-10,闻泰科技：5月10日召开董事会会议,http://finance.eastmoney.com/a/202405103073009921.html,0
2024-05-10,闻泰科技：融资余额24.64亿元，创近一年新低（05-09）,http://stock.eastmoney.com/a/202405103072076197.html,-2
2024-05-09,闻泰科技：融资净买入87.92万元，融资余额24.71亿元（05-08）,http://stock.eastmoney.com/a/202405093070694390.html,2
2024-05-08,闻泰科技：融资净买入228.86万元，融资余额24.7亿元（05-07）,http://stock.eastmoney.com/a/202405083069340691.html,2
2024-05-07,闻泰科技：融资余额24.68亿元，创近一年新低（05-06）,http://stock.eastmoney.com/a/202405073067974458.html,-2
2024-05-07,闻泰科技05月06日获沪股通增持79.27万股,http://stock.eastmoney.com/a/202405073067740991.html,2
2024-05-01,闻泰科技：融资净买入993.43万元，融资余额24.86亿元（04-30）,http://stock.eastmoney.com/a/202405013065871991.html,1
2024-04-30,闻泰科技：融资余额24.76亿元，创近一年新低（04-29）,http://stock.eastmoney.com/a/202404303064615337.html,-2
2024-04-30,闻泰科技04月29日获沪股通增持157.79万股,http://stock.eastmoney.com/a/202404303064408241.html,1
2024-04-30,【调研快报】闻泰科技接待Acuity Knowledge Partners (Hong Kong) Limited等多家机构调研,http://stock.eastmoney.com/a/202404303064294954.html,0
2024-04-27,闻泰科技：融资净偿还1271.73万元，融资余额24.99亿元（04-26）,http://stock.eastmoney.com/a/202404273061992085.html,-1
2024-04-27,闻泰科技04月26日获沪股通增持116.79万股,http://stock.eastmoney.com/a/202404273061713728.html,3
2024-04-26,闻泰科技：融资净偿还872.66万元，融资余额25.12亿元（04-25）,http://stock.eastmoney.com/a/202404263060162151.html,-1
2024-04-26,闻泰科技04月25日被沪股通减持85.09万股,http://stock.eastmoney.com/a/202404263059951396.html,-2
2024-04-25,东方财富证券给予闻泰科技买入评级，2023年报&一季报点评：23年多双“靴子”落地，阶段性推进ODM业务领域扩展,http://finance.eastmoney.com/a/202404253059269657.html,3
2024-04-25,中邮证券给予闻泰科技买入评级，短期业务承压，特定客户业务稳步上量,http://finance.eastmoney.com/a/202404253058910613.html,2
2024-04-25,增收不增利！闻泰科技业绩下滑股价跌停，格力电器天价浮盈消失,http://finance.eastmoney.com/a/202404253058903379.html,-3
2024-04-25,闻泰科技：融资净买入1849.22万元，融资余额25.21亿元（04-24）,http://stock.eastmoney.com/a/202404253058355456.html,2
2024-04-25,闻泰科技04月24日获沪股通增持43.93万股,http://stock.eastmoney.com/a/202404253058112541.html,2
2024-04-24,闻泰科技扩大在汽车半导体行业领先地位,http://finance.eastmoney.com/a/202404243057909096.html,3
2024-04-24,闻泰科技2023年净利下滑19% 光学模组业务量产不到两年便折戟,http://finance.eastmoney.com/a/202404243057656586.html,-4
2024-04-24,闻泰科技年报发布：2023年营收增长5.40% AI PC项目量产有望引领新增长,http://finance.eastmoney.com/a/202404243057358117.html,2
